tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
87,20230917,Icon,red,"('Terizla', 'Hanzo', 'Gord', 'Beatrix', 'Edith')","('Valentina', 'Angela', 'Novaria', 'Yve', 'Valir')",1,Night Raid,blue,"('Diggie', 'Bruno', 'Faramis', 'Baxia', 'Lapu-Lapu')","('Fredrinn', 'Martis', 'Kaja', 'Joy', 'X.Borg')",0,19:43,1183,5,1,0,0,bracket
87,20230917,Icon,blue,"('Terizla', 'Fredrinn', 'Joy', 'Claude', 'Kaja')","('Angela', 'Diggie', 'Valentina', 'Bruno', 'Khufra')",1,Night Raid,red,"('Kadita', 'Lesley', 'Gord', 'Martis', 'Lapu-Lapu')","('X.Borg', 'Novaria', 'Edith', 'Irithel', 'Yve')",0,14:41,881,5,2,1,0,bracket
87,20230917,Icon,red,"('Terizla', 'Alpha', 'Gord', 'Claude', 'Grock')","('Angela', 'Novaria', 'Bruno', 'Lesley', 'Diggie')",1,Night Raid,blue,"('Franco', 'Beatrix', 'Yve', 'Martis', 'Edith')","('Kaja', 'Fredrinn', 'Valentina', 'X.Borg', 'Joy')",0,13:47,827,5,3,2,0,bracket
87,20231007,Deus Vult,blue,"('Terizla', 'Fredrinn', 'Gord', 'Brody', 'Grock')","('Diggie', 'Rafaela', 'X.Borg', 'Khaleed', 'Yu Zhong')",1,Icon,red,"('Minotaur', 'Irithel', 'Valentina', 'Martis', 'Edith')","('Lancelot', 'Baxia', 'Novaria', 'Angela', 'Mathilda')",0,14:42,882,3,1,0,0,bracket
87,20231007,Deus Vult,blue,"('Grock', 'Baxia', 'Novaria', 'Beatrix', 'Minotaur')","('Diggie', 'Rafaela', 'X.Borg', 'Fredrinn', 'Martis')",1,Icon,red,"('Edith', 'Brody', 'Gord', 'Joy', 'Yu Zhong')","('Khaleed', 'Paquito', 'Terizla', 'Angela', 'Mathilda')",0,14:40,880,3,2,1,0,bracket
87,20230917,Victory Song Gamers,red,"('Terizla', 'Martis', 'Pharsa', 'Beatrix', 'Kaja')","('Kadita', 'Valir', 'Valentina', 'Lesley', 'Irithel')",1,Rukh Esports,blue,"('Edith', 'Brody', 'Gord', 'Fredrinn', 'Lapu-Lapu')","('Angela', 'Claude', 'Novaria', 'Bruno', 'Diggie')",0,17:10,1030,5,1,0,0,bracket
87,20230917,Victory Song Gamers,red,"('Terizla', 'Baxia', 'Valentina', 'Beatrix', 'Grock')","('Fredrinn', 'Kadita', 'Valir', 'X.Borg', 'Lancelot')",1,Rukh Esports,blue,"('Edith', 'Bruno', 'Yve', 'Balmond', 'Yu Zhong')","('Kaja', 'Lesley', 'Martis', 'Novaria', 'Diggie')",0,13:42,822,5,2,1,0,bracket
87,20230917,Victory Song Gamers,red,"('Paquito', 'Baxia', 'Valentina', 'Brody', 'Kaja')","('Fredrinn', 'Kadita', 'Valir', 'Edith', 'Lapu-Lapu')",1,Rukh Esports,blue,"('Franco', 'Irithel', 'Novaria', 'X.Borg', 'Yu Zhong')","('Claude', 'Beatrix', 'Terizla', 'Bruno', 'Diggie')",0,15:43,943,5,3,2,0,bracket
87,20231007,Umbrella Squad,blue,"('Terizla', 'Joy', 'Rafaela', 'Brody', 'Hilda')","('Diggie', 'Edith', 'Baxia', 'Fredrinn', 'Martis')",1,Victory Song Gamers,red,"('Kaja', 'Irithel', 'Valentina', 'Barats', 'Yu Zhong')","('Bruno', 'Novaria', 'Fanny', 'Mathilda', 'Angela')",0,21:02,1262,3,1,0,0,bracket
87,20231007,Umbrella Squad,blue,"('Paquito', 'Joy', 'Mathilda', 'Beatrix', 'Edith')","('Diggie', 'Kaja', 'Baxia', 'Franco', 'Bruno')",1,Victory Song Gamers,red,"('Rafaela', 'Brody', 'Lylia', 'Fredrinn', 'Yu Zhong')","('Irithel', 'Novaria', 'Fanny', 'Terizla', 'Angela')",0,13:09,789,3,2,1,0,bracket
87,20231007,Deus Vult,red,"('Terizla', 'Fredrinn', 'Gord', 'Ixia', 'Grock')","('Mathilda', 'Joy', 'Angela', 'Yu Zhong', 'Paquito')",0,Umbrella Squad,blue,"('Rafaela', 'Irithel', 'Valentina', 'Lancelot', 'Lapu-Lapu')","('Franco', 'Brody', 'Bruno', 'Baxia', 'Minotaur')",1,23:36,1416,3,1,0,0,bracket
87,20231007,Deus Vult,blue,"('Terizla', 'Lancelot', 'Kadita', 'Brody', 'Mathilda')","('Diggie', 'Rafaela', 'Joy', 'Melissa', 'Beatrix')",1,Umbrella Squad,red,"('Kaja', 'Irithel', 'Valentina', 'Martis', 'Yu Zhong')","('Novaria', 'Barats', 'Fredrinn', 'Baxia', 'Angela')",0,15:37,937,3,2,0,1,bracket
87,20231007,Deus Vult,red,"('Edith', 'Lancelot', 'Valentina', 'Brody', 'Hilda')","('Mathilda', 'Rafaela', 'Angela', 'Novaria', 'Kadita')",0,Umbrella Squad,blue,"('Kaja', 'Ixia', 'Gusion', 'Joy', 'Terizla')","('Franco', 'Grock', 'Diggie', 'Baxia', 'Minotaur')",1,18:42,1122,3,3,1,1,bracket
87,20231007,Icon,blue,"('Terizla', 'Fredrinn', 'Novaria', 'Brody', 'Hilda')","('Baxia', 'Edith', 'Diggie', 'Martis', 'Yu Zhong')",1,Victory Song Gamers,red,"('Kaja', 'Ixia', 'Valentina', 'X.Borg', 'Paquito')","('Franco', 'Khufra', 'Rafaela', 'Mathilda', 'Angela')",0,23:10,1390,5,1,0,0,bracket
87,20231007,Icon,red,"('Khaleed', 'Akai', 'Rafaela', 'Bruno', 'Edith')","('Mathilda', 'Baxia', 'Terizla', 'Lesley', 'Irithel')",1,Victory Song Gamers,blue,"('Grock', 'Harith', 'Angela', 'Martis', 'Yu Zhong')","('Gord', 'Edith', 'Novaria', 'Diggie', 'Fredrinn')",0,12:46,766,5,2,1,0,bracket
87,20231007,Icon,blue,"('Terizla', 'Fredrinn', 'Faramis', 'Bruno', 'Minotaur')","('Baxia', 'Edith', 'Diggie', 'Bruno', 'Ixia')",1,Victory Song Gamers,red,"('Rafaela', 'Irithel', 'Gord', 'Barats', 'Paquito')","('Kaja', 'Kadita', 'Novaria', 'Mathilda', 'Angela')",0,13:46,826,5,3,2,0,bracket
87,20231008,Deus Vult,blue,"('Yu Zhong', 'Barats', 'Novaria', 'Karrie', 'Angela')","('Diggie', 'Rafaela', 'X.Borg', 'Kadita', 'Valentina')",1,Icon,red,"('Edith', 'Irithel', 'Gord', 'Fredrinn', 'Khaleed')","('Martis', 'Lancelot', 'Terizla', 'Baxia', 'Mathilda')",0,14:23,863,5,1,0,0,bracket
87,20231008,Deus Vult,red,"('Benedetta', 'Fredrinn', 'Novaria', 'Irithel', 'Minotaur')","('Mathilda', 'Rafaela', 'Angela', 'Joy', 'Jawhead')",1,Icon,blue,"('Edith', 'Bruno', 'Gord', 'Martis', 'Terizla')","('Paquito', 'Yu Zhong', 'Diggie', 'Grock', 'Baxia')",0,18:55,1135,5,2,1,0,bracket
87,20231008,Deus Vult,red,"('X.Borg', 'Fredrinn', 'Gord', 'Bruno', 'Grock')","('Mathilda', 'Rafaela', 'Angela', 'Valentina', 'Brody')",1,Icon,blue,"('Edith', 'Irithel', 'Gusion', 'Martis', 'Terizla')","('Benedetta', 'Minotaur', 'Diggie', 'Novaria', 'Baxia')",0,29:59,1799,5,3,2,0,bracket
87,20231008,Umbrella Squad,blue,"('Terizla', 'Joy', 'Kadita', 'Irithel', 'Kaja')","('Diggie', 'Baxia', 'Minotaur', 'X.Borg', 'Edith')",0,Deus Vult,red,"('Grock', 'Beatrix', 'Novaria', 'Fredrinn', 'Yu Zhong')","('Gusion', 'Valentina', 'Rafaela', 'Angela', 'Mathilda')",1,18:31,1111,7,1,0,0,bracket
87,20231008,Umbrella Squad,blue,"('Khaleed', 'Joy', 'Valentina', 'Beatrix', 'Diggie')","('Baxia', 'Novaria', 'Fredrinn', 'Minotaur', 'Kaja')",0,Deus Vult,red,"('Hilda', 'Irithel', 'Gord', 'Lancelot', 'Terizla')","('Paquito', 'Yu Zhong', 'Rafaela', 'Angela', 'Mathilda')",1,15:36,936,7,2,0,1,bracket
87,20231008,Umbrella Squad,blue,"('Yu Zhong', 'Fanny', 'Novaria', 'Irithel', 'Minotaur')","('Baxia', 'Grock', 'Valentina', 'Bruno', 'Kadita')",0,Deus Vult,red,"('Diggie', 'Brody', 'Joy', 'Lancelot', 'Terizla')","('Ixia', 'Martis', 'Rafaela', 'Angela', 'Mathilda')",1,19:41,1181,7,3,0,2,bracket
87,20231008,Umbrella Squad,red,"('Lapu-Lapu', 'Fanny', 'Valentina', 'Ixia', 'Kaja')","('Mathilda', 'Baxia', 'Novaria', 'Franco', 'Hilda')",1,Deus Vult,blue,"('Floryn', 'Irithel', 'Gord', 'Fredrinn', 'Terizla')","('Lancelot', 'Yu Zhong', 'Angela', 'Diggie', 'Rafaela')",0,19:33,1173,7,4,0,3,bracket
87,20231008,Umbrella Squad,red,"('Terizla', 'Lancelot', 'Valentina', 'Karrie', 'Minotaur')","('Mathilda', 'Angela', 'Baxia', 'Yu Zhong', 'Edith')",1,Deus Vult,blue,"('Grock', 'Beatrix', 'Novaria', 'Fredrinn', 'Paquito')","('Kaja', 'Melissa', 'Diggie', 'Rafaela', 'Ixia')",0,15:11,911,7,5,1,3,bracket
87,20231008,Umbrella Squad,blue,"('Terizla', 'Fredrinn', 'Kadita', 'Ixia', 'Kaja')","('Diggie', 'Baxia', 'Novaria', 'Brody', 'Bruno')",1,Deus Vult,red,"('Grock', 'Harith', 'Valentina', 'Lancelot', 'Yu Zhong')","('Fanny', 'Gusion', 'Angela', 'Rafaela', 'Mathilda')",0,14:20,860,7,6,2,3,bracket
