tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
88,20230930,TheOhioBrothers,blue,"('Terizla', 'Lancelot', 'Faramis', 'Ixia', 'Mathilda')","('Martis', 'Paquito', 'Baxia', 'Angela', 'Valir')",1,Area 77,red,"('Edith', 'Irithel', 'Gusion', 'Fredrinn', 'Esmeralda')","('Yve', 'Novaria', 'Ling', 'Valentina', 'Fanny')",0,18:59,1139,3,1,0,0,bracket
88,20230930,TheOhioBrothers,red,"('Terizla', 'Lancelot', 'Angela', 'Karrie', 'Minotaur')","('Martis', 'Paquito', 'Mathilda', 'Kaja', 'Rafaela')",1,Area 77,blue,"('Franco', 'Irithel', 'Novaria', 'Baxia', 'Esmeralda')","('Yve', 'Wanwan', 'Valentina', 'Ling', 'Fanny')",0,13:30,810,3,2,1,0,bracket
88,20230930,Avalon,red,"('Paquito', 'Fredrinn', 'Gord', 'Karrie', 'Minotaur')","('Novaria', 'Baxia', 'Kaja', 'Brody', 'Bruno')",0,BloodThirstyKings,blue,"('Edith', 'Beatrix', 'Valentina', 'Akai', 'Terizla')","('Valir', 'Franco', 'Mathilda', 'Angela', 'Faramis')",1,16:42,1002,3,1,0,0,bracket
88,20230930,Avalon,blue,"('Terizla', 'Guinevere', 'Valentina', 'Brody', 'Kaja')","('Novaria', 'Baxia', 'Akai', 'Ixia', 'Edith')",0,BloodThirstyKings,red,"('Franco', 'Karrie', 'Kadita', 'Fredrinn', 'X.Borg')","('Paquito', 'Martis', 'Angela', 'Mathilda', 'Rafaela')",1,14:18,858,3,2,0,1,bracket
88,20230930,TheOhioBrothers,blue,"('Terizla', 'Ling', 'Lylia', 'Irithel', 'Mathilda')","('Fredrinn', 'Akai', 'Kadita', 'Franco', 'Kaja')",1,BloodThirstyKings,red,"('Edith', 'Bruno', 'Novaria', 'Baxia', 'X.Borg')","('Martis', 'Lancelot', 'Angela', 'Valentina', 'Fanny')",0,22:23,1343,3,1,0,0,bracket
88,20230930,TheOhioBrothers,red,"('Terizla', 'Lancelot', 'Lylia', 'Karrie', 'Khufra')","('Fredrinn', 'Akai', 'Mathilda', 'X.Borg', 'Yu Zhong')",1,BloodThirstyKings,blue,"('Kaja', 'Irithel', 'Kadita', 'Baxia', 'Khaleed')","('Minotaur', 'Edith', 'Valentina', 'Angela', 'Fanny')",0,17:43,1063,3,2,1,0,bracket
88,20230930,Area 77,red,"('Terizla', 'Lancelot', 'Harley', 'Karrie', 'Mathilda')","('Kaja', 'Valentina', 'Edith', 'Irithel', 'Brody')",0,Avalon,blue,"('Franco', 'Beatrix', 'Faramis', 'Fredrinn', 'Esmeralda')","('Gord', 'Valir', 'Baxia', 'Novaria', 'Martis')",1,10:52,652,3,1,0,0,bracket
88,20230930,Area 77,blue,"('Esmeralda', 'Barats', 'Gusion', 'Irithel', 'Angela')","('Valentina', 'Kaja', 'Novaria', 'Yu Zhong', 'Brody')",0,Avalon,red,"('Rafaela', 'Beatrix', 'Kadita', 'Akai', 'Dyrroth')","('Valir', 'Paquito', 'Fredrinn', 'Baxia', 'Martis')",1,18:37,1117,3,2,0,1,bracket
88,20231001,BloodThirstyKings,blue,"('X.Borg', 'Lancelot', 'Novaria', 'Irithel', 'Mathilda')","('Rafaela', 'Angela', 'Valentina', 'Kadita', 'Yve')",0,Avalon,red,"('Kaja', 'Beatrix', 'Faramis', 'Fredrinn', 'Esmeralda')","('Brody', 'Karrie', 'Baxia', 'Terizla', 'Akai')",1,14:57,897,3,1,0,0,bracket
88,20231001,BloodThirstyKings,red,"('Yu Zhong', 'Martis', 'Valentina', 'Brody', 'Kaja')","('Rafaela', 'Mathilda', 'Angela', 'Kadita', 'Esmeralda')",0,Avalon,blue,"('Franco', 'Beatrix', 'Novaria', 'Fredrinn', 'Uranus')","('Wanwan', 'Karrie', 'Baxia', 'Terizla', 'Akai')",1,22:35,1355,3,2,0,1,bracket
88,20231001,TheOhioBrothers,blue,"('Edith', 'Martis', 'Faramis', 'Melissa', 'Khufra')","('Fredrinn', 'Akai', 'Baxia', 'Uranus', 'Esmeralda')",1,Avalon,red,"('Kaja', 'Karrie', 'Valentina', 'Balmond', 'X.Borg')","('Bruno', 'Ixia', 'Terizla', 'Lancelot', 'Mathilda')",0,08:55,535,7,1,0,0,bracket
88,20231001,TheOhioBrothers,red,"('Uranus', 'Lancelot', 'Valentina', 'Beatrix', 'Kaja')","('Fredrinn', 'Akai', 'Baxia', 'Angela', 'Rafaela')",1,Avalon,blue,"('Khufra', 'Irithel', 'Novaria', 'Martis', 'Esmeralda')","('Brody', 'Karrie', 'Mathilda', 'Edith', 'Terizla')",0,11:44,704,7,2,1,0,bracket
88,20231001,TheOhioBrothers,blue,"('Arlott', 'Martis', 'Valentina', 'Irithel', 'Franco')","('Fredrinn', 'Akai', 'Baxia', 'Lancelot', 'Beatrix')",1,Avalon,red,"('Kaja', 'Wanwan', 'Kadita', 'Guinevere', 'Paquito')","('Karrie', 'Brody', 'Mathilda', 'Edith', 'Terizla')",0,15:13,913,7,3,2,0,bracket
88,20231001,TheOhioBrothers,red,"('Paquito', 'Fanny', 'Valentina', 'Bruno', 'Kaja')","('Fredrinn', 'Akai', 'Baxia', 'Kadita', 'Valir')",1,Avalon,blue,"('Franco', 'Beatrix', 'Lylia', 'Lancelot', 'Lapu-Lapu')","('Wanwan', 'Brody', 'Mathilda', 'Edith', 'Terizla')",0,10:57,657,7,4,3,0,bracket
88,20230805,TheOhioBrothers,red,"('Terizla', 'Ling', 'Valentina', 'Brody', 'Chou')","('Uranus', 'Yve', 'Kaja', 'Martis', 'Alpha')",1,Area 77,blue,"('Khufra', 'Beatrix', 'Valir', 'Lancelot', 'X.Borg')","('Angela', 'Grock', 'Arlott', 'Kadita', 'Fanny')",0,14:24,864,3,1,0,0,qualifiers
88,20230805,TheOhioBrothers,blue,"('Fredrinn', 'Lancelot', 'Yve', 'Karrie', 'Franco')","('Valentina', 'Terizla', 'Kaja', 'Khufra', 'Minotaur')",1,Area 77,red,"('Grock', 'Karrie', 'Faramis', 'Martis', 'Arlott')","('Lapu-Lapu', 'Ling', 'Uranus', 'Kadita', 'Fanny')",0,11:30,690,3,2,1,0,qualifiers
88,20230805,The Night Horde,red,"('Terizla', 'Fanny', 'Faramis', 'Beatrix', 'Grock')","('X.Borg', 'Alpha', 'Kaja', 'Khufra', 'Martis')",1,BloodHounds,blue,"('Atlas', 'Karrie', 'Valentina', 'Fredrinn', 'Uranus')","('Kadita', 'Lesley', 'Floryn', 'Yve', 'Ling')",0,15:08,908,3,1,0,0,qualifiers
88,20230805,The Night Horde,blue,"('Terizla', 'Hayabusa', 'Valentina', 'Claude', 'Minotaur')","('Kaja', 'X.Borg', 'Alpha', 'Kadita', 'Faramis')",0,BloodHounds,red,"('Franco', 'Lesley', 'Valir', 'Martis', 'Grock')","('Khufra', 'Lancelot', 'Yve', 'Ling', 'Fanny')",1,14:27,867,3,2,1,0,qualifiers
88,20230805,The Night Horde,red,"('Yu Zhong', 'Fredrinn', 'Valentina', 'Claude', 'Grock')","('X.Borg', 'Alpha', 'Kaja', 'Lesley', 'Brody')",0,BloodHounds,blue,"('Minotaur', 'Beatrix', 'Valir', 'Martis', 'Terizla')","('Uranus', 'Lancelot', 'Yve', 'Ling', 'Fanny')",1,10:48,648,3,3,1,1,qualifiers
88,20230806,TheOhioBrothers,blue,"('Arlott', 'Joy', 'Angela', 'Beatrix', 'Chou')","('Kadita', 'Uranus', 'Claude', 'Kaja', 'Franco')",0,BloodHounds,red,"('Minsitthar', 'Lesley', 'Novaria', 'Alpha', 'Terizla')","('Faramis', 'Ling', 'Valentina', 'Yve', 'Fanny')",1,25:09,1509,3,1,0,0,qualifiers
88,20230806,TheOhioBrothers,red,"('Arlott', 'Hayabusa', 'Kadita', 'Beatrix', 'Khufra')","('Uranus', 'Lesley', 'Terizla', 'Faramis', 'Novaria')",1,BloodHounds,blue,"('Kaja', 'Claude', 'Valir', 'Martis', 'Grock')","('Franco', 'Ling', 'Yve', 'Valentina', 'Fanny')",0,13:39,819,3,2,0,1,qualifiers
88,20230806,TheOhioBrothers,blue,"('Terizla', 'Hayabusa', 'Pharsa', 'Karrie', 'Franco')","('Lesley', 'Kadita', 'Uranus', 'Minotaur', 'Beatrix')",1,BloodHounds,red,"('Grock', 'Wanwan', 'Valir', 'Martis', 'Akai')","('Ling', 'Faramis', 'Valentina', 'Yve', 'Fanny')",0,13:15,795,3,3,1,1,qualifiers
88,20230805,BloodThirstyKings,blue,"('Uranus', 'Baxia', 'Kadita', 'Wanwan', 'Franco')","('Fanny', 'Angela', 'Khufra', 'Minotaur', 'Karrie')",1,Knights of Fate,red,"('Hylos', 'Lesley', 'Yve', 'Alpha', 'X.Borg')","('Chou', 'Kaja', 'Floryn', 'Arlott', 'Claude')",0,14:35,875,3,1,0,0,qualifiers
88,20230805,BloodThirstyKings,red,"('Terizla', 'Granger', 'Angela', 'Harith', 'Chou')","('Fanny', 'Khufra', 'Uranus', 'Kaja', 'Franco')",1,Knights of Fate,blue,"('Grock', 'Minsitthar', 'Kadita', 'Ling', 'Lapu-Lapu')","('Fredrinn', 'Alpha', 'Valentina', 'Arlott', 'Claude')",0,19:06,1146,3,2,1,0,qualifiers
88,20230805,Avalon,blue,"('Terizla', 'Hayabusa', 'Faramis', 'Brody', 'Grock')","('X.Borg', 'Kadita', 'Valentina', 'Alpha', 'Lolita')",1,Aggravate One,red,"('Kaja', 'Beatrix', 'Pharsa', 'Fredrinn', 'Joy')","('Claude', 'Karrie', 'Lancelot', 'Yve', 'Ling')",0,09:59,599,3,1,0,0,qualifiers
88,20230805,Avalon,red,"('Terizla', 'Ling', 'Gusion', 'Karrie', 'Khufra')","('X.Borg', 'Yve', 'Faramis', 'Alpha', 'Fredrinn')",1,Aggravate One,blue,"('Grock', 'Lunox', 'Hanabi', 'Hayabusa', 'Uranus')","('Floryn', 'Angela', 'Valentina', 'Kadita', 'Kaja')",0,11:40,700,3,2,1,0,qualifiers
88,20230806,BloodThirstyKings,blue,"('Uranus', 'Martis', 'Valentina', 'Wanwan', 'Kaja')","('Angela', 'Terizla', 'Kadita', 'Novaria', 'Faramis')",1,Avalon,red,"('Khufra', 'Claude', 'Pharsa', 'Alpha', 'Paquito')","('Franco', 'Lesley', 'Fredrinn', 'Baxia', 'Yve')",0,14:24,864,3,1,0,0,qualifiers
88,20230806,BloodThirstyKings,red,"('Arlott', 'Alpha', 'Valentina', 'Claude', 'Grock')","('Angela', 'Yve', 'Terizla', 'Ling', 'Hayabusa')",1,Avalon,blue,"('Kaja', 'Beatrix', 'Novaria', 'Helcurt', 'Edith')","('Martis', 'Wanwan', 'Uranus', 'Baxia', 'Fredrinn')",0,19:50,1190,3,2,1,0,qualifiers
88,20230806,TheOhioBrothers,red,"('Fredrinn', 'Lancelot', 'Valentina', 'Beatrix', 'Kadita')","('Yve', 'Kaja', 'Terizla', 'Wanwan', 'Grock')",1,BloodThirstyKings,blue,"('Franco', 'Lesley', 'Faramis', 'Baxia', 'Arlott')","('Hayabusa', 'Martis', 'Uranus', 'Angela', 'Fanny')",0,22:07,1327,5,1,0,0,qualifiers
88,20230806,TheOhioBrothers,blue,"('Uranus', 'Lancelot', 'Valentina', 'Melissa', 'Lolita')","('Kadita', 'Terizla', 'Baxia', 'Pharsa', 'Claude')",1,BloodThirstyKings,red,"('Kaja', 'Beatrix', 'Faramis', 'Fredrinn', 'Arlott')","('Khufra', 'Grock', 'Yve', 'Angela', 'Fanny')",0,26:35,1595,5,2,1,0,qualifiers
88,20230806,TheOhioBrothers,red,"('Grock', 'Joy', 'Valentina', 'Karrie', 'Kaja')","('Baxia', 'Yve', 'Terizla', 'Franco', 'Wanwan')",0,BloodThirstyKings,blue,"('Khufra', 'Lesley', 'Kadita', 'Fredrinn', 'Arlott')","('Martis', 'Lancelot', 'Angela', 'Uranus', 'Fanny')",1,15:38,938,5,3,2,0,qualifiers
88,20230806,TheOhioBrothers,blue,"('Terizla', 'Ling', 'Valentina', 'Brody', 'Edith')","('Baxia', 'Kadita', 'Arlott', 'Lapu-Lapu', 'Yu Zhong')",1,BloodThirstyKings,red,"('Kaja', 'Claude', 'Yve', 'Martis', 'Fredrinn')","('Franco', 'Grock', 'Uranus', 'Angela', 'Fanny')",0,15:53,953,5,4,2,1,qualifiers
88,20230806,BloodHounds,red,"('X.Borg', 'Joy', 'Hylos', 'Lesley', 'Grock')","('Yve', 'Valentina', 'Kaja', 'Melissa', 'Khufra')",0,Avalon,blue,"('Minotaur', 'Karrie', 'Novaria', 'Ling', 'Terizla')","('Faramis', 'Kadita', 'Valir', 'Uranus', 'Fanny')",1,14:06,846,3,1,0,0,qualifiers
88,20230806,BloodHounds,blue,"('Terizla', 'Fredrinn', 'Valentina', 'Lesley', 'Diggie')","('Ling', 'Novaria', 'Faramis', 'Kaja', 'Franco')",0,Avalon,red,"('Khufra', 'Clint', 'Kadita', 'Lancelot', 'Edith')","('Grock', 'Minotaur', 'Uranus', 'Fanny', 'Yve')",1,19:21,1161,3,2,0,1,qualifiers
88,20230812,TheOhioBrothers,blue,"('Uranus', 'Granger', 'Gord', 'Claude', 'Franco')","('Kadita', 'Bruno', 'Terizla', 'Angela', 'Lesley')",1,Aggravate One,red,"('Khufra', 'Clint', 'Valentina', 'Fredrinn', 'Joy')","('Hayabusa', 'Yve', 'Ling', 'Beatrix', 'Fanny')",0,11:57,717,3,1,0,0,qualifiers
88,20230812,TheOhioBrothers,red,"('Edith', 'Natan', 'Kagura', 'Aldous', 'Natalia')","('Baxia', 'Fredrinn', 'Terizla', 'Alpha', 'Lapu-Lapu')",1,Aggravate One,blue,"('Floryn', 'Arlott', 'Valentina', 'Bane', 'Joy')","('Kaja', 'Kadita', 'Claude', 'Franco', 'Uranus')",0,17:23,1043,3,2,1,0,qualifiers
88,20230812,BloodHounds,blue,"('X.Borg', 'Martis', 'Gord', 'Irithel', 'Franco')","('Ling', 'Kaja', 'Valentina', 'Hayabusa', 'Grock')",1,Area 77,red,"('Chou', 'Beatrix', 'Yve', 'Lancelot', 'Arlott')","('Lapu-Lapu', 'Terizla', 'Valir', 'Kadita', 'Uranus')",0,13:50,830,3,1,0,0,qualifiers
88,20230812,BloodHounds,red,"('X.Borg', 'Alpha', 'Cecilion', 'Claude', 'Edith')","('Valentina', 'Ling', 'Kaja', 'Faramis', 'Gord')",1,Area 77,blue,"('Franco', 'Karrie', 'Pharsa', 'Paquito', 'Uranus')","('Lylia', 'Lesley', 'Valir', 'Martis', 'Kadita')",0,22:52,1372,3,2,1,0,qualifiers
88,20230813,TheOhioBrothers,blue,"('Uranus', 'Hayabusa', 'Cyclops', 'Wanwan', 'Franco')","('Lesley', 'Terizla', 'Kadita', 'Martis', 'Baxia')",1,BloodHounds,red,"('Edith', 'Claude', 'Valir', 'Akai', 'X.Borg')","('Beatrix', 'Irithel', 'Ling', 'Valentina', 'Fanny')",0,13:47,827,3,1,0,0,qualifiers
88,20230813,TheOhioBrothers,red,"('Terizla', 'Fanny', 'Angela', 'Cecilion', 'Chou')","('Uranus', 'Lesley', 'Baxia', 'Valir', 'Faramis')",1,BloodHounds,blue,"('Kaja', 'Brody', 'Luo Yi', 'Martis', 'Ruby')","('Grock', 'Beatrix', 'Kadita', 'Valentina', 'Ling')",0,19:52,1192,3,2,1,0,qualifiers
88,20230812,BloodThirstyKings,blue,"('Arlott', 'Baxia', 'Kadita', 'Irithel', 'Khufra')","('Fanny', 'Terizla', 'Faramis', 'Ling', 'Lancelot')",1,The Night Horde,red,"('Kaja', 'Karrie', 'Valir', 'Martis', 'Lapu-Lapu')","('Yu Zhong', 'Lesley', 'Valentina', 'Uranus', 'Fredrinn')",0,16:40,1000,3,1,0,0,qualifiers
88,20230812,BloodThirstyKings,red,"('Lapu-Lapu', 'Aulus', 'Lylia', 'Harith', 'Kaja')","('Fanny', 'Uranus', 'Terizla', 'Ling', 'Lancelot')",1,The Night Horde,blue,"('Khufra', 'Lesley', 'Kadita', 'Hayabusa', 'Esmeralda')","('Baxia', 'Martis', 'Valentina', 'Faramis', 'Fredrinn')",0,15:03,903,3,2,1,0,qualifiers
88,20230812,Avalon,red,"('Terizla', 'Ling', 'Esmeralda', 'Brody', 'Edith')","('Fanny', 'Khufra', 'Kadita', 'Helcurt', 'Lancelot')",0,Knights of Fate,blue,"('Angela', 'Freya', 'Alice', 'Baxia', 'Dyrroth')","('Karrie', 'Wanwan', 'Kaja', 'Valentina', 'Claude')",1,11:00,660,3,1,0,0,qualifiers
88,20230812,Avalon,blue,"('Terizla', 'Hayabusa', 'Novaria', 'Brody', 'Khufra')","('Fanny', 'Angela', 'Freya', 'Alice', 'Faramis')",1,Knights of Fate,red,"('Kaja', 'Harith', 'Valir', 'Ling', 'X.Borg')","('Lancelot', 'Beatrix', 'Kadita', 'Valentina', 'Claude')",0,16:26,986,3,2,0,1,qualifiers
88,20230812,Avalon,red,"('Terizla', 'Fredrinn', 'Lylia', 'Lesley', 'Khufra')","('Fanny', 'Angela', 'Freya', 'Alice', 'Karrie')",1,Knights of Fate,blue,"('Franco', 'Irithel', 'Kadita', 'X.Borg', 'Lapu-Lapu')","('Novaria', 'Faramis', 'Kaja', 'Valentina', 'Claude')",0,16:34,994,3,3,1,1,qualifiers
88,20230813,BloodThirstyKings,blue,"('Yu Zhong', 'Baxia', 'Valentina', 'Irithel', 'Khufra')","('Terizla', 'Claude', 'Kaja', 'Lapu-Lapu', 'Valir')",1,Avalon,red,"('Franco', 'Lesley', 'Novaria', 'Fredrinn', 'Edith')","('Wanwan', 'Akai', 'Uranus', 'Kadita', 'Joy')",0,13:38,818,3,1,0,0,qualifiers
