tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
89,20230927,Team Lilgun,blue,"('Khaleed', 'Baxia', 'Faramis', 'Bruno', 'Minotaur')","('Edith', 'Martis', 'Fanny', 'Uranus', 'Diggie')",1,Afnnmi,red,"('Estes', 'Irithel', 'Angela', 'Fredrinn', 'Lapu-Lapu')","('Franco', 'Yu Zhong', 'Terizla', 'Ixia', 'Mathilda')",0,10:05,605,3,1,0,0,bracket
89,20230927,Team Lilgun,red,"('Terizla', 'Lancelot', 'Angela', 'Lesley', 'Grock')","('Ixia', 'Mathilda', 'Fanny', 'Edith', 'Kadita')",1,Afnnmi,blue,"('Franco', 'Karrie', 'Cyclops', 'Martis', 'Yu Zhong')","('Kaja', 'Bruno', 'Fredrinn', 'Faramis', 'Baxia')",0,10:52,652,3,2,1,0,bracket
89,20230927,Team Lilgun,red,"('Lapu-Lapu', 'Martis', 'Faramis', 'Brody', 'Franco')","('Ixia', 'Edith', 'Terizla', 'Alpha', 'Lancelot')",1,Team Bosuul,blue,"('Kaja', 'Bruno', 'Mathilda', 'Joy', 'Paquito')","('Angela', 'Rafaela', 'Novaria', 'Fredrinn', 'Baxia')",0,12:01,721,3,1,0,0,bracket
89,20230927,Team Lilgun,blue,"('Yu Zhong', 'Martis', 'Angela', 'Ixia', 'Faramis')","('Edith', 'Terizla', 'Harith', 'Hayabusa')",1,Team Bosuul,red,"('Minotaur', 'Beatrix', 'Rafaela', 'Julian', 'Lapu-Lapu')","('Kaja', 'Diggie', 'Baxia', 'Fredrinn', 'Mathilda')",0,16:13,973,3,2,1,0,bracket
89,20230927,Superior,blue,"('Arlott', 'Harith', 'Mathilda', 'Karrie', 'Minotaur')","('Fanny', 'Novaria', 'Terizla', 'Ixia', 'Beatrix')",0,GEUD Gaming,red,"('Chou', 'Bruno', 'Valentina', 'Fredrinn', 'Edith')","('Martis', 'Baxia', 'Angela', 'Kaja', 'Faramis')",1,9:59,599,3,1,0,0,bracket
89,20230927,Superior,red,"('Paquito', 'Baxia', 'Novaria', 'Ixia', 'Ruby')","('Fanny', 'Fredrinn', 'Valentina', 'Terizla', 'Karrie')",0,GEUD Gaming,blue,"('Kaja', 'Beatrix', 'Gord', 'Alpha', 'Khaleed')","('Mathilda', 'Minotaur', 'Edith', 'Angela', 'Faramis')",1,17:29,1049,3,2,0,1,bracket
89,20230927,Last Chance,blue,"('Terizla', 'Martis', 'Novaria', 'Clint', 'Minotaur')","('Joy', 'Edith', 'Kaja', 'Franco', 'Lapu-Lapu')",1,GEUD Gaming,red,"('Grock', 'Brody', 'Valentina', 'Fanny', 'Uranus')","('Faramis', 'Angela', 'Fredrinn', 'Khufra', 'Bruno')",0,14:19,859,3,1,0,0,bracket
89,20230927,Last Chance,red,"('Terizla', 'Lancelot', 'Lylia', 'Bruno', 'Minotaur')","('Franco', 'Irithel', 'Kaja', 'Novaria', 'Joy')",1,GEUD Gaming,blue,"('Angela', 'Karrie', 'Valentina', 'Fredrinn', 'Edith')","('Akai', 'Baxia', 'Fanny', 'Martis', 'Faramis')",0,21:51,1311,3,2,1,0,bracket
89,20230928,Team Lilgun,red,"('Arlott', 'Baxia', 'Mathilda', 'Ixia', 'Faramis')","('Diggie', 'Yu Zhong', 'Fanny', 'Edith', 'Novaria')",1,Last Chance,blue,"('Grock', 'Irithel', 'Angela', 'Martis', 'Lapu-Lapu')","('Minotaur', 'Franco', 'Terizla', 'Kaja', 'Joy')",0,13:29,809,3,1,0,0,bracket
89,20230928,Team Lilgun,blue,"('Terizla', 'Martis', 'Lylia', 'Ixia', 'Khufra')","('Edith', 'Fanny', 'Novaria', 'X.Borg', 'Lancelot')",1,Last Chance,red,"('Mathilda', 'Karrie', 'Valentina', 'Fredrinn', 'Yu Zhong')","('Joy', 'Faramis', 'Angela', 'Minotaur', 'Estes')",0,21:13,1273,3,2,1,0,bracket
