tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
90,20230901,Team Gryffin,blue,"('Terizla', 'Martis', 'Novaria', 'Claude', 'Chou')","('Fanny', 'Diggie', 'Kadita', 'Floryn', 'Angela')",1,Jordan Legends,red,"('Minotaur', 'Irithel', 'Valentina', 'Baxia', 'X.Borg')","('Fredrinn', 'Bane', 'Yve', 'Paquito', 'Joy')",0,13:21,801,3,1,0,0,bracket
90,20230901,Team Gryffin,red,"('Terizla', 'Baxia', 'Novaria', 'Brody', 'Floryn')","('Joy', 'Claude', 'Kadita', 'Chou', 'X.Borg')",1,Jordan Legends,blue,"('Edith', 'Karrie', 'Valentina', 'Martis', 'Yu Zhong')","('Irithel', 'Beatrix', 'Yve', 'Diggie', 'Fanny')",0,18:07,1087,3,2,1,0,bracket
90,20230902,EVOS Icon,blue,"('X.Borg', 'Paquito', 'Yve', 'Claude', 'Chou')","('Floryn', 'Valentina', 'Estes', 'Fredrinn', 'Pharsa')",0,Team Gryffin,red,"('Angela', 'Irithel', 'Novaria', 'Baxia', 'Terizla')","('Martis', 'Lancelot', 'Diggie', 'Fanny', 'Kadita')",1,13:15,795,3,1,0,0,bracket
90,20230902,EVOS Icon,red,"('Grock', 'Baxia', 'Valentina', 'Irithel', 'Khufra')","('Terizla', 'Angela', 'Floryn', 'Edith', 'Chou')",1,Team Gryffin,blue,"('Minotaur', 'Claude', 'Novaria', 'Fredrinn', 'Arlott')","('Uranus', 'Paquito', 'Diggie', 'Fanny', 'Kadita')",0,20:14,1214,3,2,0,1,bracket
90,20230902,EVOS Icon,blue,"('Lapu-Lapu', 'Joy', 'Valentina', 'Beatrix', 'Minotaur')","('Terizla', 'Angela', 'Floryn', 'Fredrinn', 'Martis')",0,Team Gryffin,red,"('Estes', 'Bruno', 'Faramis', 'Bane', 'Edith')","('Khufra', 'Grock', 'Baxia', 'Fanny', 'Kadita')",1,10:26,626,3,3,1,1,bracket
90,20230901,Tiger Wong Esports,blue,"('Edith', 'Fanny', 'Terizla', 'Beatrix', 'Angela')","('Joy', 'Novaria', 'Yve', 'Khufra', 'Uranus')",1,RANS Esports,red,"('Ruby', 'Claude', 'Valentina', 'Fredrinn', 'Grock')","('Martis', 'Baxia', 'Paquito', 'Kadita', 'Franco')",0,19:08,1148,3,1,0,0,bracket
90,20230901,Tiger Wong Esports,red,"('Edith', 'Martis', 'Lylia', 'Beatrix', 'Kaja')","('Joy', 'Yve', 'Novaria', 'Fredrinn', 'Minotaur')",1,RANS Esports,blue,"('Kadita', 'Claude', 'Faramis', 'Akai', 'Uranus')","('Angela', 'Karrie', 'Valentina', 'Paquito', 'Franco')",0,10:59,659,3,2,1,0,bracket
90,20230902,AURA Esports,blue,"('Terizla', 'Lancelot', 'Lylia', 'Claude', 'Khufra')","('Angela', 'Franco', 'Edith', 'Paquito', 'Kaja')",0,Tiger Wong Esports,red,"('Grock', 'Beatrix', 'Yve', 'Martis', 'Uranus')","('Novaria', 'Kadita', 'Fanny', 'Valentina', 'Joy')",1,19:12,1152,3,1,0,0,bracket
90,20230902,AURA Esports,red,"('X.Borg', 'Fredrinn', 'Valentina', 'Claude', 'Chou')","('Martis', 'Franco', 'Angela', 'Bane', 'Akai')",0,Tiger Wong Esports,blue,"('Kaja', 'Beatrix', 'Kadita', 'Baxia', 'Edith')","('Terizla', 'Grock', 'Novaria', 'Fanny', 'Joy')",1,16:13,973,3,2,0,1,bracket
90,20230909,Team Gryffin,blue,"('Yu Zhong', 'Fredrinn', 'Yve', 'Claude', 'Kadita')","('Fanny', 'Angela', 'Franco', 'Martis', 'Baxia')",0,Tiger Wong Esports,red,"('Edith', 'Irithel', 'Novaria', 'Joy', 'Paquito')","('Esmeralda', 'Terizla', 'Valentina', 'Bruno', 'Floryn')",1,19:58,1198,3,1,0,0,bracket
