tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
92,20230908,Nine Esports,blue,"('Terizla', 'Martis', 'Novaria', 'Irithel', 'Edith')","('Kadita', 'Kaja', 'Paquito', 'Lunox', 'Valir')",1,Wawa Gaming,red,"('Angela', 'Harith', 'Pharsa', 'Fredrinn', 'X.Borg')","('Brody', 'Bruno', 'Claude', 'Yve', 'Franco')",0,14:20,860,5,1,0,0,bracket
92,20230908,Nine Esports,red,"('Lapu-Lapu', 'Martis', 'Novaria', 'Irithel', 'Kaja')","('Kadita', 'Edith', 'Lunox', 'Valir', 'Brody')",1,Wawa Gaming,blue,"('Angela', 'Bruno', 'Valentina', 'Fredrinn', 'Paquito')","('Yu Zhong', 'X.Borg', 'Yve', 'Terizla', 'Franco')",0,17:46,1066,5,2,1,0,bracket
92,20230908,Nine Esports,blue,"('Yu Zhong', 'Lancelot', 'Pharsa', 'Irithel', 'Edith')","('Kadita', 'Kaja', 'Lunox', 'Valir', 'Brody')",0,Wawa Gaming,red,"('Angela', 'Bruno', 'Novaria', 'Fredrinn', 'Paquito')","('Baxia', 'Martis', 'Yve', 'Terizla', 'Franco')",1,17:10,1030,5,3,2,0,bracket
92,20230908,Nine Esports,blue,"('Paquito', 'Fredrinn', 'Pharsa', 'Claude', 'Angela')","('Kadita', 'Kaja', 'Edith', 'Bruno', 'Brody')",1,Wawa Gaming,red,"('Novaria', 'Lesley', 'Valir', 'Martis', 'Lapu-Lapu')","('Irithel', 'Valentina', 'Yve', 'Terizla', 'Franco')",0,21:56,1316,5,4,2,1,bracket
92,20230908,ESB Legacy,red,"('Terizla', 'Martis', 'Cecilion', 'Irithel', 'Carmilla')","('Novaria', 'Yve', 'Paquito', 'Pharsa', 'Valentina')",0,Nine Esports,blue,"('Franco', 'Beatrix', 'Valir', 'Fredrinn', 'Edith')","('Faramis', 'Gord', 'Baxia', 'Kadita', 'Fanny')",1,14:53,893,5,1,0,0,bracket
92,20230908,ESB Legacy,red,"('Terizla', 'Martis', 'Faramis', 'Brody', 'Minotaur')","('Novaria', 'Yve', 'Fredrinn', 'Irithel', 'Beatrix')",0,Nine Esports,blue,"('Edith', 'Melissa', 'Valir', 'Paquito', 'X.Borg')","('Bruno', 'Khufra', 'Baxia', 'Kadita', 'Fanny')",1,16:57,1017,5,2,0,1,bracket
92,20230908,ESB Legacy,red,"('Uranus', 'Hanzo', 'Valir', 'Irithel', 'Ruby')","('Novaria', 'Yve', 'Terizla', 'Beatrix', 'Bruno')",0,Nine Esports,blue,"('Franco', 'Brody', 'Pharsa', 'Martis', 'Edith')","('Lancelot', 'Fredrinn', 'Baxia', 'Kadita', 'Fanny')",1,19:01,1141,5,3,0,2,bracket
92,20230909,Niightmare,blue,"('Dyrroth', 'Lancelot', 'Valentina', 'Brody', 'Minotaur')","('Kadita', 'Edith', 'Terizla', 'Franco', 'Angela')",0,Nine Esports,red,"('Khufra', 'Bruno', 'Novaria', 'Fredrinn', 'Arlott')","('Kaja', 'Chou', 'Paquito', 'Yve', 'Valir')",1,23:26,1406,5,1,0,0,bracket
92,20230909,Niightmare,blue,"('Yu Zhong', 'Martis', 'Gord', 'Claude', 'Angela')","('Edith', 'Novaria', 'Kadita', 'Valentina', 'Faramis')",1,Nine Esports,red,"('Franco', 'Bruno', 'Pharsa', 'Baxia', 'Terizla')","('Irithel', 'Beatrix', 'Paquito', 'Yve', 'Valir')",0,23:01,1381,5,2,0,1,bracket
92,20230909,Niightmare,blue,"('Yu Zhong', 'Baxia', 'Angela', 'Beatrix', 'Floryn')","('Edith', 'Novaria', 'Kadita', 'Lancelot', 'Martis')",0,Nine Esports,red,"('Franco', 'Bruno', 'Faramis', 'Fredrinn', 'Terizla')","('Gord', 'Valentina', 'Paquito', 'Yve', 'Valir')",1,26:14,1574,5,3,1,1,bracket
92,20230909,Niightmare,red,"('Dyrroth', 'Lancelot', 'Novaria', 'Bruno', 'Khufra')","('Edith', 'Kadita', 'Yve', 'Claude', 'Irithel')",1,Nine Esports,blue,"('Franco', 'Brody', 'Valentina', 'Baxia', 'Terizla')","('Lapu-Lapu', 'X.Borg', 'Angela', 'Paquito', 'Valir')",0,14:55,895,5,4,1,2,bracket
92,20230909,Niightmare,blue,"('Lapu-Lapu', 'Fredrinn', 'Yve', 'Beatrix', 'Khufra')","('Valir', 'Paquito', 'Angela', 'Dyrroth', 'Valentina')",1,Nine Esports,red,"('Franco', 'Bruno', 'Lylia', 'Lancelot', 'Terizla')","('Claude', 'Irithel', 'Novaria', 'Kadita', 'Edith')",0,19:13,1153,5,5,2,2,bracket
92,20230908,MyWay Esports,blue,"('Edith', 'Fredrinn', 'Pharsa', 'Irithel', 'Angela')","('Ling', 'Yve', 'Novaria', 'Hayabusa', 'Lancelot')",1,AV Gaming TH,red,"('Floryn', 'Beatrix', 'Valentina', 'Baxia', 'Paquito')","('Joy', 'Helcurt', 'Khufra', 'Uranus', 'Claude')",0,21:49,1309,5,1,0,0,bracket
92,20230908,MyWay Esports,blue,"('Terizla', 'Fredrinn', 'Pharsa', 'Beatrix', 'Angela')","('Ling', 'Yve', 'Lancelot', 'Helcurt', 'Diggie')",0,AV Gaming TH,red,"('Kaja', 'Bruno', 'Novaria', 'Joy', 'Paquito')","('Franco', 'Baxia', 'Khufra', 'Claude', 'Edith')",1,24:58,1498,5,2,1,0,bracket
92,20230908,MyWay Esports,red,"('Dyrroth', 'Martis', 'Kadita', 'Brody', 'Kaja')","('Novaria', 'Ling', 'Paquito', 'Valentina', 'Angela')",0,AV Gaming TH,blue,"('Grock', 'Bruno', 'Pharsa', 'Joy', 'Terizla')","('Baxia', 'Helcurt', 'Uranus', 'Edith', 'Claude')",1,17:24,1044,5,3,1,1,bracket
92,20230908,MyWay Esports,red,"('Terizla', 'Fredrinn', 'Xavier', 'Brody', 'Khufra')","('Joy', 'Ling', 'Novaria', 'Diggie', 'Martis')",1,AV Gaming TH,blue,"('Grock', 'Bruno', 'Pharsa', 'Fanny', 'Paquito')","('Irithel', 'Helcurt', 'Edith', 'Uranus', 'Claude')",0,18:47,1127,5,4,1,2,bracket
92,20230908,MyWay Esports,red,"('Paquito', 'Baxia', 'Gord', 'Bruno', 'Diggie')","('Joy', 'Ling', 'Novaria', 'Franco', 'Kaja')",1,AV Gaming TH,blue,"('Estes', 'Beatrix', 'Pharsa', 'X.Borg', 'Fredrinn')","('Valentina', 'Terizla', 'Khufra', 'Claude', 'Edith')",0,14:42,882,5,5,2,2,bracket
