tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
93,20230908,MBR Delphyne,red,"('Yu Zhong', 'Fredrinn', 'Valentina', 'Irithel', 'Angela')","('Martis', 'Baxia', 'Terizla', 'Beatrix', 'Melissa')",0,Kagendra,blue,"('Floryn', 'Brody', 'Cecilion', 'Akai', 'Edith')","('Paquito', 'Claude', 'Kaja', 'Khufra', 'Fanny')",1,15:48,948,5,1,0,0,bracket
93,20230908,MBR Delphyne,red,"('Terizla', 'Hayabusa', 'Pharsa', 'Claude', 'Lolita')","('Fredrinn', 'Baxia', 'Martis', 'Yu Zhong', 'Paquito')",1,Kagendra,blue,"('Kaja', 'Karrie', 'Yve', 'Lancelot', 'Masha')","('Brody', 'Beatrix', 'Edith', 'Khufra', 'Fanny')",0,12:28,748,5,2,0,1,bracket
93,20230908,MBR Delphyne,blue,"('Esmeralda', 'Lancelot', 'Novaria', 'Beatrix', 'Kaja')","('Martis', 'Fredrinn', 'Baxia', 'Ling', 'Helcurt')",1,Kagendra,red,"('Kadita', 'Clint', 'Faramis', 'Bane', 'Terizla')","('Hanzo', 'Joy', 'Khufra', 'Edith', 'Fanny')",0,14:46,886,5,3,1,1,bracket
93,20230908,MBR Delphyne,blue,"('Paquito', 'Ling', 'Yve', 'Brody', 'Chou')","('Martis', 'Baxia', 'Fredrinn', 'Yu Zhong', 'Gloo')",1,Kagendra,red,"('Grock', 'Beatrix', 'Pharsa', 'Aamon', 'Arlott')","('Minotaur', 'Franco', 'Khufra', 'Edith', 'Fanny')",0,16:31,991,5,4,2,1,bracket
93,20230908,GPX Basreng,red,"('Uranus', 'Hanzo', 'Novaria', 'Melissa', 'Khufra')","('Kaja', 'Valentina', 'Fanny', 'Hayabusa', 'Karrie')",1,MBR Delphyne,blue,"('Edith', 'Claude', 'Yve', 'Joy', 'Fredrinn')","('Lancelot', 'Ling', 'Brody', 'Angela', 'Martis')",0,19:49,1189,5,1,0,0,bracket
93,20230908,GPX Basreng,red,"('Gloo', 'Baxia', 'Yve', 'Beatrix', 'Kaja')","('Valentina', 'Pharsa', 'Fanny', 'Hayabusa', 'Hanzo')",1,MBR Delphyne,blue,"('Khufra', 'Karrie', 'Novaria', 'Lancelot', 'Terizla')","('Irithel', 'Claude', 'Brody', 'Edith', 'Martis')",0,19:06,1146,5,2,1,0,bracket
93,20230908,GPX Basreng,red,"('X.Borg', 'Fredrinn', 'Faramis', 'Clint', 'Diggie')","('Valentina', 'Pharsa', 'Fanny', 'Xavier', 'Lunox')",0,MBR Delphyne,blue,"('Kaja', 'Melissa', 'Cecilion', 'Martis', 'Yu Zhong')","('Floryn', 'Angela', 'Franco', 'Brody', 'Edith')",1,25:56,1556,5,3,2,0,bracket
93,20230908,GPX Basreng,red,"('Esmeralda', 'Hayabusa', 'Cecilion', 'Bruno', 'Akai')","('Valentina', 'Pharsa', 'Fanny', 'Lunox', 'Kadita')",1,MBR Delphyne,blue,"('Minotaur', 'Brody', 'Xavier', 'Hanzo', 'Paquito')","('Claude', 'Irithel', 'Terizla', 'Edith', 'Martis')",0,16:07,967,5,4,2,1,bracket
93,20230908,Tiger Wong Seiren,blue,"('Terizla', 'Joy', 'Edith', 'Clint', 'Angela')","('Arlott', 'Kaja', 'Kadita', 'Beatrix', 'Paquito')",1,RRQ Mika,red,"('Franco', 'Brody', 'Pharsa', 'Fredrinn', 'Uranus')","('Irithel', 'Faramis', 'Floryn', 'Valentina', 'Yve')",0,14:13,853,5,1,0,0,bracket
93,20230908,Tiger Wong Seiren,red,"('X.Borg', 'Martis', 'Lylia', 'Beatrix', 'Kadita')","('Arlott', 'Edith', 'Kaja', 'Akai', 'Baxia')",0,RRQ Mika,blue,"('Grock', 'Irithel', 'Yve', 'Bane', 'Paquito')","('Khufra', 'Uranus', 'Valentina', 'Floryn', 'Fredrinn')",1,14:05,845,5,2,1,0,bracket
