tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
94,20230818,DRoar Legends,blue,"('Edith', 'Alpha', 'Yve', 'Claude', 'Novaria')","('Angela', 'Joy', 'Kaja', 'Beatrix', 'Floryn')",0,CFU Gaming,red,"('Diggie', 'Lesley', 'Faramis', 'Fredrinn', 'Paquito')","('Uranus', 'Terizla', 'Franco', 'Martis', 'Kadita')",1,20:05,1205,3,1,0,0,bracket
94,20230818,DRoar Legends,blue,"('Edith', 'Fredrinn', 'Valir', 'Irithel', 'Khufra')","('Kaja', 'Angela', 'Claude', 'Diggie', 'Floryn')",0,CFU Gaming,red,"('Estes', 'Melissa', 'Valentina', 'Akai', 'Paquito')","('Pharsa', 'Xavier', 'Franco', 'Yve', 'Kadita')",1,12:41,761,3,2,0,1,bracket
94,20230818,PRO Esports,blue,"('Gloo', 'Joy', 'Cecilion', 'Claude', 'Khufra')","('Beatrix', 'Brody', 'Franco', 'Harith', 'Uranus')",1,Max Academy,red,"('Angela', 'Irithel', 'Valentina', 'Fredrinn', 'Paquito')","('Pharsa', 'Novaria', 'Yve', 'Kaja', 'Kadita')",0,17:24,1044,3,1,0,0,bracket
94,20230818,PRO Esports,blue,"('Khaleed', 'Baxia', 'Valentina', 'Brody', 'Natalia')","('Beatrix', 'Terizla', 'Joy', 'Khufra', 'X.Borg')",1,Max Academy,red,"('Angela', 'Claude', 'Pharsa', 'Ling', 'Uranus')","('Grock', 'Franco', 'Yve', 'Kaja', 'Kadita')",0,14:08,848,3,2,1,0,bracket
94,20230818,See You Soon,blue,"('Esmeralda', 'Bane', 'Yve', 'Beatrix', 'Franco')","('Martis', 'Fanny', 'Fredrinn', 'Terizla', 'Hayabusa')",1,Team Max,red,"('Khufra', 'Brody', 'Valentina', 'Paquito', 'Yu Zhong')","('Edith', 'Baxia', 'Lancelot', 'Claude', 'Joy')",0,12:18,738,3,1,0,0,bracket
94,20230818,See You Soon,red,"('Terizla', 'Paquito', 'Kadita', 'Claude', 'Kaja')","('Fanny', 'Fredrinn', 'Martis', 'Grock', 'Angela')",1,Team Max,blue,"('Hilda', 'Irithel', 'Valentina', 'Joy', 'X.Borg')","('Lancelot', 'Yu Zhong', 'Khufra', 'Chou', 'Franco')",0,10:52,652,3,2,1,0,bracket
94,20230902,See You Soon,blue,"('X.Borg', 'Fredrinn', 'Yve', 'Beatrix', 'Franco')","('Fanny', 'Angela', 'Valentina', 'Atlas', 'Diggie')",1,BURN x FLASH,red,"('Khufra', 'Brody', 'Novaria', 'Lancelot', 'Terizla')","('Hayabusa', 'Ling', 'Claude', 'Kadita', 'Kaja')",0,12:38,758,3,1,0,0,bracket
94,20230902,See You Soon,red,"('Yu Zhong', 'Lancelot', 'Kadita', 'Beatrix', 'Franco')","('Angela', 'Fredrinn', 'Edith', 'Diggie', 'Martis')",1,BURN x FLASH,blue,"('Floryn', 'Claude', 'Faramis', 'Baxia', 'Terizla')","('Paquito', 'Claude', 'Ling', 'Valentina', 'Kaja')",0,17:10,1030,3,2,1,0,bracket
94,20230902,CFU Gaming,red,"('X.Borg', 'Fredrinn', 'Pharsa', 'Claude', 'Floryn')","('Franco', 'Kadita', 'Yve', 'Baxia', 'Khaleed')",1,PRO Esports,blue,"('Kaja', 'Beatrix', 'Valentina', 'Akai', 'Esmeralda')","('Diggie', 'Angela', 'Edith', 'Joy', 'Martis')",0,12:13,733,3,1,0,0,bracket
94,20230902,CFU Gaming,blue,"('Joy', 'Fredrinn', 'Yve', 'Claude', 'Floryn')","('Franco', 'Kadita', 'Khaleed', 'Kaja', 'Baxia')",1,PRO Esports,red,"('Natalia', 'Beatrix', 'Valentina', 'Hylos', 'Edith')","('Angela', 'Diggie', 'Martis', 'Terizla', 'X.Borg')",0,18:25,1105,3,2,1,0,bracket
94,20230903,See You Soon,red,"('Lapu-Lapu', 'Ling', 'Valentina', 'Clint', 'Kaja')","('Fredrinn', 'Martis', 'Angela', 'Floryn', 'Baxia')",1,CFU Gaming,blue,"('Estes', 'Claude', 'Yve', 'Barats', 'X.Borg')","('Paquito', 'Beatrix', 'Lancelot', 'Kadita', 'Franco')",0,14:09,849,5,1,0,0,bracket
94,20230903,See You Soon,red,"('Lapu-Lapu', 'Ling', 'Joy', 'Beatrix', 'Kaja')","('Martis', 'Fredrinn', 'Angela', 'Floryn', 'Faramis')",0,CFU Gaming,blue,"('Edith', 'Claude', 'Pharsa', 'Akai', 'X.Borg')","('Terizla', 'Paquito', 'Valentina', 'Kadita', 'Franco')",1,19:41,1181,5,2,1,0,bracket
94,20230903,See You Soon,blue,"('Esmeralda', 'Lancelot', 'Yve', 'Beatrix', 'Chou')","('Angela', 'Fredrinn', 'Valentina', 'X.Borg', 'Terizla')",1,CFU Gaming,red,"('Edith', 'Wanwan', 'Pharsa', 'Akai', 'Paquito')","('Irithel', 'Clint', 'Claude', 'Kadita', 'Franco')",0,12:42,762,5,3,1,1,bracket
94,20230903,See You Soon,red,"('Terizla', 'Ling', 'Yve', 'Beatrix', 'Angela')","('Fredrinn', 'Martis', 'Kaja', 'Floryn', 'X.Borg')",1,CFU Gaming,blue,"('Edith', 'Claude', 'Faramis', 'Baxia', 'Joy')","('Khufra', 'Chou', 'Valentina', 'Kadita', 'Franco')",0,18:26,1106,5,4,2,1,bracket
94,20230903,BURN x FLASH,blue,"('Yu Zhong', 'Lancelot', 'Valentina', 'Claude', 'Atlas')","('Kadita', 'Kaja', 'Fredrinn', 'Beatrix', 'Lesley')",0,PRO Esports,red,"('Edith', 'Irithel', 'Yve', 'Martis', 'Khaleed')","('Khufra', 'Grock', 'Terizla', 'Franco', 'Joy')",1,18:06,1086,3,1,0,0,bracket
94,20230903,BURN x FLASH,red,"('Fredrinn', 'Hayabusa', 'Faramis', 'Beatrix', 'Edith')","('Kadita', 'Kaja', 'Khaleed', 'Baxia', 'Martis')",1,PRO Esports,blue,"('Franco', 'Claude', 'Pharsa', 'Akai', 'Grock')","('Yve', 'Lesley', 'Joy', 'Valentina', 'Terizla')",0,15:08,908,3,2,0,1,bracket
94,20230903,BURN x FLASH,blue,"('Terizla', 'Hayabusa', 'Faramis', 'Beatrix', 'Franco')","('Khaleed', 'Kaja', 'Kadita', 'Grock', 'Natalia')",0,PRO Esports,red,"('Khufra', 'Claude', 'Yve', 'Fredrinn', 'Hilda')","('Novaria', 'Valentina', 'X.Borg', 'Edith', 'Joy')",1,17:52,1072,3,3,1,1,bracket
94,20230809,CFU Gaming,red,"('Grock', 'Martis', 'Valentina', 'Melissa', 'Khufra')","('Yu Zhong', 'Paquito', 'Joy', 'Uranus', 'Lancelot')",0,See You Soon,blue,"('Franco', 'Claude', 'Kadita', 'Bane', 'Esmeralda')","('Lesley', 'X.Borg', 'Kaja', 'Angela', 'Fredrinn')",1,10:34,634,1,1,0,0,qualifiers
94,20230809,See You Soon,blue,"('X.Borg', 'Joy', 'Faramis', 'Beatrix', 'Chou')","('Angela', 'Fredrinn', 'Kaja', 'Lolita', 'Wanwan')",1,Brothers.Esports,red,"('Floryn', 'Brody', 'Kadita', 'Baxia', 'Arlott')","('Terizla', 'Khufra', 'Claude', 'Uranus', 'Fanny')",0,11:29,689,1,1,0,0,qualifiers
94,20230809,Brothers.Esports,blue,"('Yu Zhong', 'Lancelot', 'Yve', 'Beatrix', 'Minotaur')","('Fanny', 'Faramis', 'Kaja', 'Terizla', 'Valentina')",1,Eternity Bright,red,"('Floryn', 'Lesley', 'Pharsa', 'Fredrinn', 'X.Borg')","('Lolita', 'Angela', 'Uranus', 'Claude', 'Kadita')",0,11:56,716,1,1,0,0,qualifiers
94,20230809,Eternity Bright,blue,"('Edith', 'Fredrinn', 'Faramis', 'Beatrix', 'Minotaur')","('Franco', 'Valentina', 'Terizla', 'Yve', 'Karrie')",1,UnHappywithU,red,"('Atlas', 'Irithel', 'Joy', 'Martis', 'Lapu-Lapu')","('Khufra', 'Floryn', 'Lesley', 'Uranus', 'Ling')",0,13:42,822,1,1,0,0,qualifiers
94,20230809,UnHappywithU,red,"('Uranus', 'Martis', 'Faramis', 'Irithel', 'Franco')","('Fredrinn', 'Kaja', 'Floryn', 'Angela', 'Minotaur')",0,CFU Gaming,blue,"('Lolita', 'Claude', 'Lylia', 'Joy', 'Paquito')","('Lesley', 'Beatrix', 'Fanny', 'Valentina', 'Kadita')",1,12:55,775,1,1,0,0,qualifiers
94,20230809,CFU Gaming,blue,"('Paquito', 'Fredrinn', 'Pharsa', 'Melissa', 'Estes')","('Kadita', 'Fanny', 'Valentina', 'Martis', 'Lancelot')",1,Brothers.Esports,red,"('Lolita', 'Claude', 'Faramis', 'Baxia', 'Khaleed')","('Diggie', 'Floryn', 'Kaja', 'Uranus', 'Joy')",0,10:50,650,1,1,0,0,qualifiers
94,20230809,Brothers.Esports,red,"('Uranus', 'Lancelot', 'Yve', 'Harith', 'Angela')","('Joy', 'Fredrinn', 'Kaja', 'Martis', 'Franco')",1,UnHappywithU,blue,"('Grock', 'Beatrix', 'Valentina', 'Aulus', 'Terizla')","('Karrie', 'Brody', 'Kadita', 'Claude', 'Fanny')",0,19:40,1180,1,1,0,0,qualifiers
94,20230809,UnHappywithU,blue,"('Terizla', 'Akai', 'Valentina', 'Karrie', 'Floryn')","('Fanny', 'Chou', 'Franco', 'X.Borg', 'Ling')",0,See You Soon,red,"('Khufra', 'Claude', 'Kadita', 'Joy', 'Yu Zhong')","('Wanwan', 'Lesley', 'Baxia', 'Fredrinn', 'Angela')",1,11:08,668,1,1,0,0,qualifiers
94,20230809,See You Soon,red,"('Terizla', 'Ling', 'Valentina', 'Claude', 'Chou')","('Fredrinn', 'Angela', 'Uranus', 'Baxia', 'Martis')",1,Eternity Bright,blue,"('Diggie', 'Lesley', 'Kadita', 'Hayabusa', 'Yu Zhong')","('Kaja', 'Helcurt', 'Franco', 'Lancelot', 'Joy')",0,11:25,685,1,1,0,0,qualifiers
94,20230809,Eternity Bright,blue,"('Edith', 'Martis', 'Xavier', 'Beatrix', 'Khufra')","('Lancelot', 'Kaja', 'Fredrinn', 'Melissa', 'Karrie')",0,CFU Gaming,red,"('Diggie', 'Lesley', 'Kadita', 'Akai', 'Joy')","('Paquito', 'Pharsa', 'Faramis', 'Fanny', 'Valentina')",1,14:30,870,1,1,0,0,qualifiers
94,20230810,WIS International,blue,"('Paquito', 'Bane', 'Valentina', 'Claude', 'Arlott')","('Fredrinn', 'Angela', 'Joy', 'Khufra', 'Franco')",0,Max Academy,red,"('Floryn', 'Beatrix', 'Faramis', 'Martis', 'Edith')","('Helcurt', 'Hayabusa', 'Ling', 'Yve', 'Kaja')",1,10:29,629,1,1,0,0,qualifiers
94,20230810,Max Academy,red,"('X.Borg', 'Martis', 'Faramis', 'Harith', 'Khufra')","('Kaja', 'Yve', 'Ling', 'Baxia', 'Hayabusa')",0,DRoar Legends,blue,"('Grock', 'Claude', 'Valentina', 'Bane', 'Terizla')","('Melissa', 'Lesley', 'Kadita', 'Angela', 'Joy')",1,15:58,958,1,1,0,0,qualifiers
94,20230810,DRoar Legends,red,"('Edith', 'Joy', 'Gord', 'Beatrix', 'Khufra')","('Angela', 'Kadita', 'Fanny', 'Melissa', 'Floryn')",1,See You Soon Trail,blue,"('Grock', 'Lesley', 'Valentina', 'Fredrinn', 'Paquito')","('Bane', 'Harith', 'Claude', 'Ling', 'Kaja')",0,14:16,856,1,1,0,0,qualifiers
94,20230810,See You Soon Trail,blue,"('Grock', 'Fanny', 'Angela', 'Beatrix', 'Khufra')","('Kaja', 'Edith', 'Valentina', 'Martis', 'Bane')",0,Max Academy,red,"('Franco', 'Claude', 'Pharsa', 'Joy', 'Lapu-Lapu')","('Paquito', 'Terizla', 'Faramis', 'Fredrinn', 'Kadita')",1,15:21,921,1,1,0,0,qualifiers
94,20230810,Max Academy,blue,"('Edith', 'Fredrinn', 'Pharsa', 'Beatrix', 'Chou')","('Kadita', 'Kaja', 'Angela', 'Helcurt', 'Alpha')",1,Impunity KH,red,"('Grock', 'Claude', 'Valentina', 'Bane', 'Paquito')","('Khufra', 'Floryn', 'Franco', 'Novaria', 'Joy')",0,22:51,1371,1,1,0,0,qualifiers
94,20230810,Impunity KH,red,"('Grock', 'Baxia', 'Kadita', 'Beatrix', 'Kaja')","('Joy', 'Novaria', 'Ling', 'Karrie', 'Lesley')",0,WIS International,blue,"('Franco', 'Brody', 'Faramis', 'Paquito', 'X.Borg')","('Bane', 'Martis', 'Fredrinn', 'Fanny', 'Angela')",1,17:42,1062,1,1,0,0,qualifiers
94,20230810,WIS International,red,"('X.Borg', 'Martis', 'Odette', 'Beatrix', 'Edith')","('Angela', 'Paquito', 'Harith', 'Khufra', 'Chou')",0,DRoar Legends,blue,"('Floryn', 'Claude', 'Valentina', 'Fredrinn', 'Terizla')","('Uranus', 'Johnson', 'Ling', 'Joy', 'Kadita')",1,14:40,880,1,1,0,0,qualifiers
94,20230817,PRO Esports,red,"('Khaleed', 'Baxia', 'Novaria', 'Clint', 'Kadita')","('Yin', 'Claude', 'Beatrix', 'Terizla', 'Angela')",1,Team SV,blue,"('Chou', 'Harith', 'Valir', 'Dyrroth', 'Fredrinn')","('Khufra', 'Martis', 'Joy', 'Yve', 'Kaja')",0,23:42,1422,1,1,0,0,qualifiers
94,20230817,Team SV,red,"('Terizla', 'Benedetta', 'Novaria', 'Karrie', 'Chou')","('Fanny', 'Joy', 'Claude', 'X.Borg', 'Paquito')",1,Team Max,blue,"('Kaja', 'Beatrix', 'Valentina', 'Fredrinn', 'Yu Zhong')","('Baxia', 'Martis', 'Dyrroth', 'Valir', 'Yin')",0,16:38,998,1,1,0,0,qualifiers
94,20230817,Team Max,red,"('Fredrinn', 'Joy', 'Novaria', 'Wanwan', 'Khufra')","('Angela', 'Floryn', 'Yve', 'Kaja', 'Karrie')",1,Quantum,blue,"('Minotaur', 'Irithel', 'Valentina', 'Martis', 'Terizla')","('Beatrix', 'Chou', 'Franco', 'Fanny', 'Claude')",0,21:52,1312,1,1,0,0,qualifiers
94,20230817,Quantum,red,"('Terizla', 'Joy', 'Yve', 'Lesley', 'Diggie')","('Franco', 'Novaria', 'Fanny', 'Ling', 'Hayabusa')",1,Ice Eye Esports,blue,"('Kaja', 'Claude', 'Kadita', 'Lancelot', 'Akai')","('Grock', 'Fredrinn', 'Valentina', 'Arlott', 'Martis')",0,17:34,1054,1,1,0,0,qualifiers
94,20230817,Ice Eye Esports,red,"('Khaleed', 'Bane', 'Novaria', 'Beatrix', 'Grock')","('Arlott', 'Joy', 'Floryn', 'Ling', 'Martis')",0,PRO Esports,blue,"('Edith', 'Brody', 'Valentina', 'Hayabusa', 'Terizla')","('X.Borg', 'Uranus', 'Kaja', 'Lancelot', 'Fanny')",1,13:58,838,1,1,0,0,qualifiers
94,20230817,PRO Esports,red,"('Paquito', 'Barats', 'Valentina', 'Clint', 'Kaja')","('Fanny', 'Joy', 'Yu Zhong', 'Khufra', 'Fredrinn')",1,Team Max,blue,"('Chou', 'Claude', 'Pharsa', 'Martis', 'Terizla')","('Edith', 'Baxia', 'Novaria', 'Kadita', 'Yve')",0,20:52,1252,1,1,0,0,qualifiers
94,20230817,Team Max,red,"('Khaleed', 'Fanny', 'Faramis', 'Beatrix', 'Khufra')","('Angela', 'Floryn', 'Kaja', 'Martis', 'Fredrinn')",1,Ice Eye Esports,blue,"('Franco', 'Claude', 'Kadita', 'Lancelot', 'Yu Zhong')","('Irithel', 'Paquito', 'Terizla', 'Joy', 'Valentina')",0,12:38,758,1,1,0,0,qualifiers
94,20230817,Ice Eye Esports,blue,"('Badang', 'Hayabusa', 'Yve', 'Beatrix', 'Khufra')","('Valentina', 'Joy', 'Yin', 'Grock', 'Edith')",0,Team SV,red,"('Hilda', 'Claude', 'Novaria', 'Martis', 'Terizla')","('Lancelot', 'X.Borg', 'Khaleed', 'Kaja', 'Fanny')",1,16:59,1019,1,1,0,0,qualifiers
94,20230817,Team SV,red,"('Terizla', 'Martis', 'Pharsa', 'Clint', 'Chou')","('Joy', 'Yve', 'Fanny', 'Diggie', 'Claude')",0,Quantum,blue,"('Lolita', 'Irithel', 'Valentina', 'Helcurt', 'Edith')","('Beatrix', 'Kadita', 'Franco', 'Yin', 'Novaria')",1,18:58,1138,1,1,0,0,qualifiers
94,20230817,Quantum,red,"('Edith', 'Martis', 'Valentina', 'Lesley', 'Floryn')","('Franco', 'Kadita', 'Claude', 'Kaja', 'Novaria')",0,PRO Esports,blue,"('Chou', 'Beatrix', 'Pharsa', 'Hayabusa', 'Terizla')","('Karrie', 'Wanwan', 'Brody', 'Irithel', 'Fanny')",1,18:42,1122,1,1,0,0,qualifiers
