tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
96,20230823,Bigetron Sons,blue,"('Terizla', 'Hayabusa', 'Yve', 'Karrie', 'Khufra')","('Kaja', 'Franco', 'Faramis', 'Pharsa', 'Kadita')",1,Randoms,red,"('Grock', 'Beatrix', 'Gord', 'Akai', 'Uranus')","('Estes', 'Helcurt', 'Fredrinn', 'Joy', 'Claude')",0,17:25,1045,5,1,0,0,bracket
96,20230823,Bigetron Sons,red,"('Terizla', 'Hayabusa', 'Yve', 'Melissa', 'Khufra')","('Kaja', 'Franco', 'Kadita', 'Uranus', 'Ling')",0,Randoms,blue,"('Chou', 'Beatrix', 'Valentina', 'Lancelot', 'Fredrinn')","('Baxia', 'Helcurt', 'Joy', 'Claude', 'Estes')",1,17:24,1044,5,2,1,0,bracket
96,20230823,Bigetron Sons,blue,"('Uranus', 'Baxia', 'Kagura', 'Irithel', 'Estes')","('Kaja', 'Franco', 'Faramis', 'Lancelot', 'Yve')",1,Randoms,red,"('Chou', 'Beatrix', 'Valir', 'Bane', 'Paquito')","('Novaria', 'Pharsa', 'Fredrinn', 'Claude', 'Joy')",0,26:39,1599,5,3,1,1,bracket
96,20230823,Bigetron Sons,red,"('Terizla', 'Hylos', 'Pharsa', 'Brody', 'Floryn')","('Kaja', 'Franco', 'Faramis', 'Chou', 'Yve')",1,Randoms,blue,"('Grock', 'Beatrix', 'Valentina', 'Lancelot', 'Fredrinn')","('Baxia', 'Barats', 'Estes', 'Joy', 'Claude')",0,16:02,962,5,4,2,1,bracket
96,20230824,RRQ Akira,blue,"('Terizla', 'Baxia', 'Yve', 'Beatrix', 'Khufra')","('Uranus', 'Irithel', 'Estes', 'Paquito', 'Floryn')",1,Bigetron Sons,red,"('Lolita', 'Claude', 'Valentina', 'Helcurt', 'Fredrinn')","('Grock', 'Chou', 'Joy', 'Ling', 'Kaja')",0,20:13,1213,5,1,0,0,bracket
96,20230824,RRQ Akira,red,"('Fredrinn', 'Joy', 'Valentina', 'Beatrix', 'Atlas')","('Uranus', 'Irithel', 'Paquito', 'Baxia', 'Barats')",1,Bigetron Sons,blue,"('Ruby', 'Karrie', 'Yve', 'Hayabusa', 'Terizla')","('Chou', 'Claude', 'Kadita', 'Ling', 'Kaja')",0,24:09,1449,5,2,1,0,bracket
96,20230824,RRQ Akira,blue,"('Lapu-Lapu', 'Baxia', 'Valentina', 'Brody', 'Franco')","('Irithel', 'Terizla', 'Grock', 'Khufra', 'Gloo')",1,Bigetron Sons,red,"('Floryn', 'Karrie', 'Pharsa', 'Barats', 'Fredrinn')","('Paquito', 'Yu Zhong', 'Uranus', 'Yve', 'Kaja')",0,11:43,703,5,3,2,0,bracket
96,20230823,Team Zeus E-sports,blue,"('Paquito', 'Lancelot', 'Yve', 'Beatrix', 'Kaja')","('Fanny', 'Faramis', 'Uranus', 'Baxia', 'Hayabusa')",0,DreamMax,red,"('Khufra', 'Irithel', 'Kadita', 'Helcurt', 'Edith')","('Claude', 'Wanwan', 'Pharsa', 'Terizla', 'Fredrinn')",1,23:50,1430,5,1,0,0,bracket
96,20230823,Team Zeus E-sports,red,"('Gloo', 'Paquito', 'Yve', 'Claude', 'Minotaur')","('Fanny', 'Uranus', 'Faramis', 'Diggie', 'Kadita')",0,DreamMax,blue,"('Edith', 'Irithel', 'Valentina', 'Hayabusa', 'Fredrinn')","('Melissa', 'Beatrix', 'Pharsa', 'Terizla', 'Wanwan')",1,26:13,1573,5,2,0,1,bracket
96,20230823,Team Zeus E-sports,blue,"('Lapu-Lapu', 'Grock', 'Valentina', 'Beatrix', 'Faramis')","('Fanny', 'Uranus', 'Irithel', 'Claude', 'Wanwan')",0,DreamMax,red,"('Edith', 'Brody', 'Kadita', 'Hayabusa', 'Paquito')","('Kaja', 'Gloo', 'Pharsa', 'Terizla', 'Fredrinn')",1,20:20,1220,5,3,0,2,bracket
96,20230824,Malvinas Brazil,blue,"('Uranus', 'Lancelot', 'Valentina', 'Karrie', 'Chou')","('Faramis', 'Paquito', 'Kadita', 'Novaria', 'Terizla')",0,DreamMax,red,"('Khufra', 'Irithel', 'Kagura', 'Baxia', 'Edith')","('Gloo', 'Bane', 'Fanny', 'Fredrinn', 'Ruby')",1,15:04,904,5,1,0,0,bracket
96,20230824,Malvinas Brazil,red,"('Terizla', 'Fredrinn', 'Pharsa', 'Irithel', 'Floryn')","('Faramis', 'Paquito', 'Kadita', 'Khufra', 'Grock')",1,DreamMax,blue,"('Franco', 'Brody', 'Valentina', 'Baxia', 'Gloo')","('Chou', 'Lancelot', 'Yve', 'Fanny', 'Ruby')",0,13:45,825,5,2,0,1,bracket
96,20230824,Malvinas Brazil,blue,"('Terizla', 'Bane', 'Kagura', 'Irithel', 'Chou')","('Faramis', 'Paquito', 'Hayabusa', 'Claude', 'Helcurt')",1,DreamMax,red,"('Khufra', 'Beatrix', 'Valentina', 'Lancelot', 'Edith')","('Yve', 'Pharsa', 'Fredrinn', 'Fanny', 'Ruby')",0,28:13,1693,5,3,1,1,bracket
96,20230824,Malvinas Brazil,red,"('Lapu-Lapu', 'Baxia', 'Pharsa', 'Claude', 'Estes')","('Paquito', 'Khufra', 'Irithel', 'Hayabusa', 'Kadita')",0,DreamMax,blue,"('Kaja', 'Lesley', 'Valentina', 'Fredrinn', 'Grock')","('Gloo', 'Terizla', 'Chou', 'Fanny', 'Ruby')",1,16:07,967,5,4,2,1,bracket
96,20230824,Malvinas Brazil,blue,"('Lapu-Lapu', 'Bane', 'Valentina', 'Beatrix', 'Ruby')","('Faramis', 'Paquito', 'Khufra', 'Claude', 'Wanwan')",0,DreamMax,red,"('Kaja', 'Lesley', 'Kadita', 'Baxia', 'Terizla')","('Edith', 'Gloo', 'Fredrinn', 'Irithel', 'Fanny')",1,12:48,768,5,5,2,2,bracket
96,20230825,RRQ Akira,blue,"('Paquito', 'Baxia', 'Yve', 'Wanwan', 'Khufra')","('Fanny', 'Irithel', 'Kadita', 'Kaja', 'Lolita')",1,DreamMax,red,"('Edith', 'Beatrix', 'Faramis', 'Hayabusa', 'Uranus')","('Terizla', 'Franco', 'Pharsa', 'Valentina', 'Fredrinn')",0,15:42,942,5,1,0,0,bracket
