tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
100,20230728,ECHO,blue,"[44, 103, 111, 73, 78]","[84, 65, 62, 89, 118]",0,ECHO Proud,red,"[10, 100, 52, 58, 119]","[95, 82, 75, 101, 117]",1,11:46,706,3,1,0,0,bracket
100,20230728,ECHO,red,"[82, 9, 111, 89, 78]","[84, 62, 119, 118, 17]",0,ECHO Proud,blue,"[19, 65, 75, 11, 37]","[58, 59, 101, 10, 117]",1,10:25,625,3,2,0,1,bracket
100,20230728,EVOS Icon,blue,"[103, 87, 76, 100, 75]","[65, 62, 111, 119, 114]",1,Onic Overlord,red,"[44, 105, 120, 117, 81]","[118, 47, 101, 84, 17]",0,13:06,786,3,1,0,0,bracket
100,20230728,EVOS Icon,red,"[119, 58, 111, 105, 48]","[17, 101, 76, 84, 59]",1,Onic Overlord,blue,"[19, 114, 75, 118, 117]","[44, 110, 55, 62, 65]",0,11:43,703,3,2,1,0,bracket
100,20230728,ECHO Proud,red,"[112, 118, 75, 100, 10]","[117, 62, 76, 114, 73]",1,EVOS Icon,blue,"[26, 11, 111, 17, 44]","[87, 58, 101, 65, 84]",0,17:44,1064,3,1,0,0,bracket
100,20230728,ECHO Proud,blue,"[59, 58, 52, 100, 62]","[117, 76, 75, 10, 114]",0,EVOS Icon,red,"[55, 105, 111, 87, 82]","[118, 17, 65, 101, 84]",1,17:21,1041,3,2,1,0,bracket
100,20230728,ECHO Proud,blue,"[112, 118, 101, 105, 62]","[117, 76, 55, 26, 73]",1,EVOS Icon,red,"[119, 114, 111, 17, 82]","[11, 58, 75, 65, 84]",0,17:23,1043,3,3,1,1,bracket
100,20230729,ECHO,red,"[59, 117, 52, 105, 10]","[17, 84, 101, 120, 89]",0,Onic Overlord,blue,"[62, 31, 68, 47, 82]","[26, 114, 111, 75, 65]",1,23:41,1421,3,1,0,0,bracket
100,20230729,ECHO,blue,"[119, 47, 101, 73, 19]","[17, 84, 117, 10, 118]",0,Onic Overlord,red,"[44, 105, 75, 51, 103]","[26, 114, 111, 62, 65]",1,13:12,792,3,2,0,1,bracket
100,20230729,EVOS Icon,red,"[37, 117, 52, 114, 112]","[65, 111, 75, 20, 119]",1,Onic Overlord,blue,"[62, 40, 76, 47, 82]","[31, 105, 101, 84, 17]",0,11:40,700,3,1,0,0,bracket
100,20230729,EVOS Icon,blue,"[119, 117, 52, 40, 76]","[17, 84, 101, 82, 120]",1,Onic Overlord,red,"[62, 105, 118, 47, 59]","[100, 114, 75, 111, 65]",0,14:27,867,3,2,1,0,bracket
100,20230730,ECHO Proud,red,"[119, 11, 75, 105, 10]","[117, 62, 55, 82, 44]",0,EVOS Icon,blue,"[29, 100, 111, 58, 83]","[84, 118, 76, 65, 101]",1,15:01,901,5,1,0,0,bracket
100,20230730,ECHO Proud,red,"[37, 17, 52, 73, 26]","[117, 62, 55, 51, 87]",0,EVOS Icon,blue,"[29, 105, 101, 103, 44]","[59, 82, 84, 75, 65]",1,11:27,687,5,2,0,1,bracket
100,20230730,ECHO Proud,blue,"[112, 11, 75, 100, 62]","[117, 55, 17, 83, 76]",1,EVOS Icon,red,"[110, 114, 111, 87, 82]","[47, 118, 101, 84, 65]",0,11:00,660,5,3,0,2,bracket
100,20230730,ECHO Proud,red,"[82, 47, 52, 100, 62]","[117, 101, 55, 29, 58]",1,EVOS Icon,blue,"[112, 105, 111, 21, 119]","[118, 17, 84, 75, 65]",0,20:13,1213,5,4,1,2,bracket
100,20230730,ECHO Proud,red,"[82, 84, 75, 105, 19]","[55, 17, 117, 29, 83]",0,EVOS Icon,blue,"[44, 65, 111, 58, 88]","[59, 10, 62, 101, 100]",1,12:20,740,5,5,2,2,bracket
