tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
102,20230720,Deus Vult,blue,"[118, 47, 101, 100, 44]","[84, 55, 17, 78, 103]",0,Team Max,red,"[62, 65, 76, 11, 119]","[111, 19, 120, 63, 59]",1,13:41,821,3,1,0,0,bracket
102,20230720,Deus Vult,red,"[119, 47, 15, 53, 62]","[84, 55, 76, 78, 103]",1,Team Max,blue,"[44, 65, 111, 17, 117]","[13, 100, 59, 120, 63]",0,11:34,694,3,2,0,1,bracket
102,20230720,Deus Vult,blue,"[82, 47, 57, 53, 62]","[84, 55, 76, 78, 9]",1,Team Max,red,"[29, 100, 111, 11, 119]","[13, 101, 59, 120, 63]",0,21:16,1276,3,3,1,1,bracket
102,20230720,Team Lilgun,blue,"[82, 117, 76, 40, 19]","[118, 17, 59, 84, 119]",1,Fire Flux Impunity,red,"[44, 65, 111, 58, 104]","[105, 53, 55, 120, 101]",0,11:18,678,3,1,0,0,bracket
102,20230720,Team Lilgun,red,"[59, 84, 55, 68, 44]","[17, 118, 117, 62, 87]",1,Fire Flux Impunity,blue,"[34, 65, 52, 11, 119]","[19, 53, 82, 101, 120]",0,13:30,810,3,2,1,0,bracket
102,20230721,Deus Vult,blue,"[82, 84, 111, 13, 20]","[55, 76, 117, 35, 19]",1,Team Lilgun,red,"[44, 65, 101, 17, 59]","[62, 120, 63, 78, 10]",0,15:33,933,3,1,0,0,bracket
102,20230721,Deus Vult,red,"[104, 47, 57, 100, 62]","[55, 76, 117, 103, 58]",0,Team Lilgun,blue,"[19, 105, 111, 21, 82]","[59, 13, 120, 84]",1,13:54,834,3,2,1,0,bracket
102,20230721,Deus Vult,blue,"[85, 47, 111, 100, 62]","[55, 76, 117, 19, 103]",0,Team Lilgun,red,"[78, 105, 101, 21, 59]","[65, 13, 82, 84, 120]",1,18:05,1085,3,3,1,1,bracket
102,20230721,Team Max,blue,"[59, 47, 76, 65, 78]","[118, 117, 17, 53, 114]",0,Fire Flux Impunity,red,"[19, 105, 111, 109, 103]","[21, 48, 75, 101, 55]",1,12:36,756,3,1,0,0,bracket
102,20230721,Team Max,red,"[119, 58, 120, 65, 26]","[118, 55, 117, 19, 73]",1,Fire Flux Impunity,blue,"[44, 53, 111, 17, 103]","[47, 11, 62, 75, 101]",0,19:22,1162,3,2,0,1,bracket
102,20230721,Team Max,blue,"[85, 58, 111, 65, 24]","[118, 19, 87, 17, 75]",0,Fire Flux Impunity,red,"[62, 40, 120, 11, 59]","[82, 103, 117, 119, 55]",1,12:06,726,3,3,1,1,bracket
