tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
103,20230711,Nepal,blue,"[95, 116, 86, 53, 9]","[59, 26, 101, 100, 105]",0,Saudi Arabia,red,"[44, 114, 52, 84, 119]","[82, 37, 62, 76, 118]",1,17:49,1069,3,1,0,0,bracket
103,20230711,Nepal,red,"[81, 84, 120, 105, 9]","[26, 59, 119, 117, 11]",0,Saudi Arabia,blue,"[62, 100, 101, 47, 37]","[82, 65, 35, 118, 76]",1,15:12,912,3,2,0,1,bracket
103,20230712,Mongolia,blue,"[85, 21, 101, 105, 48]","[84, 63, 75, 52, 76]",1,Kazakhstan,red,"[62, 40, 68, 47, 59]","[9, 11, 117, 17, 120]",0,12:06,726,3,1,0,0,bracket
103,20230712,Mongolia,red,"[97, 11, 76, 105, 78]","[63, 84, 75, 65, 37]",0,Kazakhstan,blue,"[120, 13, 101, 117, 95]","[20, 119, 48, 59, 17]",1,13:39,819,3,2,1,0,bracket
103,20230712,Mongolia,red,"[119, 9, 76, 100, 34]","[120, 101, 84, 37, 95]",1,Kazakhstan,blue,"[75, 40, 52, 117, 81]","[44, 20, 59, 48, 17]",0,14:48,888,3,3,1,1,bracket
103,20230712,Philippines,blue,"[59, 17, 55, 105, 44]","[24, 10, 62, 73, 40]",1,Cambodia,red,"[78, 68, 117, 84, 118]","[8, 39, 101, 75, 76]",0,10:44,644,3,1,0,0,bracket
103,20230712,Philippines,red,"[59, 47, 92, 65, 93]","[24, 10, 101, 48, 103]",1,Cambodia,blue,"[34, 100, 120, 117, 85]","[76, 118, 84, 55, 17]",0,16:13,973,3,2,1,0,bracket
103,20230713,Mongolia,blue,"[85, 9, 120, 53, 24]","[84, 55, 17, 101, 104]",0,Philippines,red,"[44, 65, 68, 21, 59]","[117, 103, 62, 10, 48]",1,11:23,683,3,1,0,0,bracket
103,20230713,Mongolia,red,"[82, 117, 120, 105, 76]","[84, 59, 17, 44, 26]",1,Philippines,blue,"[55, 65, 101, 47, 81]","[119, 85, 62, 10, 48]",0,14:03,843,3,2,0,1,bracket
103,20230713,Mongolia,blue,"[82, 9, 101, 65, 34]","[84, 17, 59, 118, 105]",0,Philippines,red,"[44, 40, 75, 21, 117]","[58, 11, 48, 76, 120]",1,19:37,1177,3,3,1,1,bracket
103,20230712,Kazakhstan,blue,"[95, 84, 101, 13, 75]","[34, 48, 59, 110, 76]",0,Cambodia,red,"[55, 65, 117, 39, 118]","[100, 53, 62, 120, 63]",1,14:28,868,3,1,0,0,bracket
103,20230712,Kazakhstan,red,"[81, 117, 52, 40, 55]","[120, 118, 119, 34, 48]",0,Cambodia,blue,"[10, 105, 101, 11, 104]","[65, 39, 84, 59, 75]",1,11:23,683,3,2,0,1,bracket
103,20230713,Mongolia,blue,"[97, 9, 120, 100, 34]","[84, 118, 59, 10, 65]",0,Cambodia,red,"[20, 114, 101, 117, 119]","[105, 95, 82, 76, 48]",1,15:59,959,3,1,0,0,bracket
103,20230713,Mongolia,red,"[59, 21, 76, 89, 20]","[84, 120, 118, 10, 11]",1,Cambodia,blue,"[44, 114, 101, 47, 104]","[105, 65, 48, 82, 117]",0,13:08,788,3,2,0,1,bracket
103,20230713,Mongolia,blue,"[37, 21, 120, 53, 76]","[118, 117, 84, 65, 20]",1,Cambodia,red,"[24, 105, 101, 11, 119]","[89, 100, 59, 82, 48]",0,20:45,1245,3,3,1,1,bracket
103,20230713,Philippines,blue,"[37, 117, 118, 65, 110]","[82, 101, 120, 53, 100]",1,Mongolia,red,"[48, 105, 76, 9, 119]","[44, 10, 17, 59, 84]",0,16:28,988,5,1,0,0,bracket
103,20230713,Philippines,red,"[82, 84, 76, 105, 19]","[120, 117, 101, 68, 44]",1,Mongolia,blue,"[10, 65, 48, 21, 59]","[37, 119, 118, 17, 55]",0,15:50,950,5,2,1,0,bracket
103,20230713,Philippines,blue,"[37, 117, 68, 100, 44]","[82, 120, 101, 9, 10]",1,Mongolia,red,"[20, 40, 76, 58, 59]","[75, 65, 118, 17, 84]",0,13:39,819,5,3,2,0,bracket
103,20230710,Cambodia,blue,"[118, 117, 76, 105, 24]","[96, 62, 75, 81, 10]",1,United Arab Emirates,red,"[120, 89, 52, 2, 37]","[114, 65, 17, 119, 101]",0,14:25,865,3,1,0,0,qualifiers
103,20230710,Cambodia,red,"[85, 84, 118, 37, 55]","[96, 62, 75, 81, 10]",1,United Arab Emirates,blue,"[29, 100, 101, 21, 81]","[89, 65, 120, 119, 17]",0,22:06,1326,3,2,1,0,qualifiers
103,20230710,Mongolia,blue,"[85, 117, 76, 53, 120]","[118, 84, 48, 51, 21]",1,Nepal,red,"[62, 40, 101, 47, 59]","[78, 75, 105, 10, 17]",0,11:30,690,3,1,0,0,qualifiers
103,20230710,Mongolia,red,"[37, 21, 101, 95, 78]","[120, 59, 76, 35, 75]",1,Nepal,blue,"[9, 105, 42, 17, 119]","[10, 62, 48, 84, 118]",0,13:07,787,3,2,1,0,qualifiers
103,20230710,Cambodia,blue,"[119, 11, 52, 65, 34]","[62, 75, 17, 100, 53]",0,Mongolia,red,"[48, 105, 101, 117, 59]","[47, 10, 120, 84, 118]",1,14:27,867,3,1,0,0,qualifiers
103,20230710,Cambodia,red,"[117, 21, 76, 105, 62]","[119, 17, 101, 59, 9]",0,Mongolia,blue,"[48, 100, 120, 11, 82]","[34, 10, 47, 84, 118]",1,15:25,925,3,2,0,1,qualifiers
103,20230711,United Arab Emirates,blue,"[59, 28, 68, 89, 62]","[84, 21, 118, 75, 76]",0,Nepal,red,"[9, 53, 86, 116, 82]","[37, 119, 117, 101, 120]",1,12:54,774,3,1,0,0,qualifiers
103,20230711,United Arab Emirates,red,"[82, 47, 52, 100, 48]","[84, 21, 62, 116, 118]",0,Nepal,blue,"[20, 53, 86, 9, 37]","[81, 17, 117, 101, 120]",1,22:01,1321,3,2,0,1,qualifiers
103,20230711,Cambodia,blue,"[59, 84, 26, 68, 55]","[53, 86, 9, 10, 62]",1,Nepal,red,"[20, 105, 76, 116, 81]","[65, 89, 117, 101, 120]",0,24:31,1471,3,1,0,0,qualifiers
103,20230711,Cambodia,red,"[118, 47, 76, 105, 10]","[53, 9, 86, 62, 20]",1,Nepal,blue,"[48, 65, 52, 117, 82]","[59, 21, 101, 120, 84]",0,18:24,1104,3,2,1,0,qualifiers
103,20230711,United Arab Emirates,blue,"[95, 28, 101, 37, 55]","[17, 119, 62, 65, 89]",0,Mongolia,red,"[19, 11, 76, 47, 59]","[51, 21, 120, 84, 118]",1,11:40,700,3,1,0,0,qualifiers
103,20230711,United Arab Emirates,red,"[59, 9, 101, 105, 26]","[17, 84, 48, 11, 85]",0,Mongolia,blue,"[10, 68, 120, 30, 37]","[8, 21, 118, 51, 62]",1,09:52,592,3,2,0,1,qualifiers
103,20230710,Kazakhstan,blue,"[37, 47, 52, 13, 63]","[62, 17, 119, 20, 78]",0,Saudi Arabia,red,"[26, 105, 101, 84, 59]","[89, 118, 120, 35, 95]",1,15:11,911,3,1,0,0,qualifiers
103,20230710,Kazakhstan,red,"[37, 117, 52, 40, 75]","[48, 20, 62, 26, 119]",1,Saudi Arabia,blue,"[44, 105, 101, 84, 82]","[114, 65, 89, 118, 120]",0,18:53,1133,3,2,0,1,qualifiers
103,20230710,Kazakhstan,blue,"[98, 47, 101, 40, 63]","[30, 21, 84, 62, 26]",1,Saudi Arabia,red,"[78, 105, 75, 11, 118]","[119, 48, 89, 117, 120]",0,15:23,923,3,3,1,1,qualifiers
103,20230710,Philippines,blue,"[37, 84, 76, 11, 26]","[75, 62, 10, 35, 78]",1,Bangladesh,red,"[19, 105, 86, 8, 119]","[17, 101, 59, 95, 65]",0,10:04,604,3,1,0,0,qualifiers
103,20230710,Philippines,red,"[119, 28, 118, 110, 65]","[82, 53, 75, 10, 101]",1,Bangladesh,blue,"[100, 44, 76, 58, 117]","[47, 84, 59, 62, 17]",0,11:07,667,3,2,1,0,qualifiers
103,20230710,Kazakhstan,blue,"[95, 47, 68, 40, 120]","[17, 62, 26, 105, 76]",0,Philippines,red,"[55, 65, 117, 84, 59]","[78, 81, 10, 101, 75]",1,11:37,697,3,1,0,0,qualifiers
103,20230710,Kazakhstan,red,"[81, 84, 46, 31, 48]","[26, 17, 120, 65, 101]",0,Philippines,blue,"[110, 11, 44, 8, 59]","[53, 105, 62, 10, 75]",1,13:39,819,3,2,0,1,qualifiers
103,20230711,Saudi Arabia,blue,"[37, 11, 76, 100, 26]","[89, 118, 119, 75, 52]",1,Bangladesh,red,"[20, 40, 86, 84, 59]","[51, 105, 47, 62, 101]",0,11:20,680,3,1,0,0,qualifiers
103,20230711,Saudi Arabia,red,"[59, 9, 75, 40, 10]","[89, 76, 118, 48, 35]",1,Bangladesh,blue,"[44, 105, 52, 58, 119]","[84, 47, 26, 101, 62]",0,16:38,998,3,2,1,0,qualifiers
103,20230711,Kazakhstan,blue,"[81, 84, 101, 53, 120]","[26, 62, 59, 21, 17]",1,Bangladesh,red,"[35, 65, 76, 3, 37]","[98, 40, 63, 47, 75]",0,12:33,753,3,1,0,0,qualifiers
103,20230711,Kazakhstan,red,"[85, 84, 55, 40, 26]","[62, 120, 48, 8, 3]",1,Bangladesh,blue,"[10, 114, 76, 58, 59]","[98, 52, 101, 63, 75]",0,14:57,897,3,2,1,0,qualifiers
103,20230711,Saudi Arabia,blue,"[119, 11, 101, 53, 26]","[89, 17, 118, 73, 68]",0,Philippines,red,"[55, 65, 117, 84, 59]","[100, 8, 62, 10, 75]",1,11:31,691,3,1,0,0,qualifiers
