tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
104,20230625,Modern Tiger Gaze,blue,"[118, 21, 52, 13, 62]","[75, 117, 76, 10, 19]",0,OPI Pegasus,red,"[78, 65, 111, 58, 119]","[89, 105, 47, 120, 101]",1,11:34,694,3,1,0,0,bracket
104,20230625,Modern Tiger Gaze,red,"[104, 21, 101, 13, 48]","[75, 117, 119]",0,OPI Pegasus,blue,"[120, 53, 111, 87, 82]","[17, 118, 76]",1,22:55,1375,3,2,0,1,bracket
104,20230625,Rise N Beyond,blue,"[118, 84, 119, 68, 20]","[17, 101, 62, 40, 95]",0,ESI Kalteng,red,"[10, 65, 120, 117, 37]","[53, 75, 74, 65, 104]",1,20:02,1202,3,1,0,0,bracket
104,20230625,Rise N Beyond,red,"[95, 21, 111, 40, 62]","[117, 120, 104, 114, 105]",1,ESI Kalteng,blue,"[75, 65, 101, 4, 118]","[84, 69, 119, 17, 47]",0,14:14,854,3,2,0,1,bracket
104,20230625,Rise N Beyond,blue,"[104, 11, 119, 73, 110]","[62, 101, 117, 48, 93]",1,ESI Kalteng,red,"[44, 105, 76, 58, 37]","[75, 111, 118, 47, 17]",0,13:35,815,3,3,1,1,bracket
104,20230625,OPI Pegasus,red,"[118, 58, 111, 114, 26]","[101, 76, 17, 105, 65]",1,Rise N Beyond,blue,"[75, 73, 119, 11, 104]","[78, 48, 117, 120, 62]",0,21:38,1298,3,1,0,0,bracket
104,20230625,OPI Pegasus,blue,"[82, 9, 111, 53, 120]","[75, 17, 62, 20, 78]",1,Rise N Beyond,red,"[10, 114, 61, 84, 119]","[47, 87, 101, 104, 117]",0,17:28,1048,3,2,1,0,bracket
104,20230625,Jamkrida Kalteng,blue,"[104, 4, 111, 105, 19]","[17, 47, 120, 37, 78]",1,KINGS Esports,red,"[62, 65, 75, 117, 59]","[89, 53, 118, 101, 119]",0,14:13,853,3,1,0,0,bracket
104,20230625,Jamkrida Kalteng,red,"[118, 109, 52, 105, 62]","[17, 104, 74, 40, 10]",0,KINGS Esports,blue,"[88, 53, 111, 47, 119]","[75, 117, 120, 101, 4]",1,19:13,1153,3,2,1,0,bracket
104,20230625,Jamkrida Kalteng,blue,"[118, 58, 52, 40, 62]","[17, 47, 120, 53, 10]",0,KINGS Esports,red,"[20, 65, 101, 117, 74]","[75, 111, 119, 104, 4]",1,18:59,1139,3,3,1,1,bracket
