tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
105,20230602,Bigetron Alpha,blue,"[117, 118, 101, 31, 78]","[62, 76, 111, 105, 40]",1,RRQ Sena,red,"[10, 114, 120, 47, 119]","[20, 93, 17, 104, 89]",0,14:12,852,3,1,0,0,bracket
105,20230602,Bigetron Alpha,red,"[117, 17, 52, 73, 10]","[89, 119, 76, 9, 78]",1,RRQ Sena,blue,"[29, 105, 75, 118, 104]","[65, 40, 111, 101, 62]",0,17:56,1076,3,2,1,0,bracket
105,20230602,Rex Regum Qeon,blue,"[118, 117, 101, 114, 19]","[17, 62, 111, 10, 75]",1,Pajajaran Esports,red,"[76, 105, 86, 47, 97]","[9, 74, 65, 119, 89]",0,14:54,894,3,1,0,0,bracket
105,20230602,Rex Regum Qeon,red,"[74, 117, 111, 105, 10]","[17, 89, 101, 76, 47]",1,Pajajaran Esports,blue,"[75, 114, 44, 58, 118]","[37, 40, 62, 119, 65]",0,24:36,1476,3,2,1,0,bracket
105,20230602,EVOS Legends,blue,"[104, 47, 111, 105, 10]","[76, 119, 118, 37, 82]",1,RRQ Sena,red,"[34, 114, 101, 117, 97]","[120, 52, 89, 75, 17]",0,19:37,1177,3,1,0,0,bracket
105,20230602,EVOS Legends,red,"[119, 47, 86, 65, 120]","[89, 118, 117, 109, 62]",1,RRQ Sena,blue,"[34, 105, 101, 44, 104]","[111, 52, 76, 75, 17]",0,23:28,1408,3,2,1,0,bracket
105,20230603,Bigetron Alpha,blue,"[44, 117, 111, 65, 75]","[47, 17, 76, 58, 48]",1,EVOS Legends,red,"[120, 53, 101, 9, 119]","[21, 84, 89, 104, 118]",0,15:43,943,3,1,0,0,bracket
105,20230603,Bigetron Alpha,red,"[119, 11, 42, 105, 62]","[89, 47, 111, 76, 101]",1,EVOS Legends,blue,"[78, 40, 120, 118, 44]","[84, 21, 117, 104, 17]",0,14:47,887,3,2,1,0,bracket
105,20230603,Rex Regum Qeon,blue,"[74, 118, 120, 114, 78]","[62, 111, 101, 10, 40]",0,RRQ Sena,red,"[93, 105, 76, 117, 119]","[24, 104, 75, 65, 89]",1,13:13,793,3,1,0,0,bracket
105,20230603,Rex Regum Qeon,red,"[119, 118, 120, 40, 78]","[101, 89, 62, 10, 93]",1,RRQ Sena,blue,"[19, 105, 111, 117, 37]","[75, 114, 104, 76, 65]",0,17:59,1079,3,2,0,1,bracket
