tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
106,20230619,Final Episode,blue,"[44, 117, 120, 13, 48]","[17, 111]",1,Divine Nine,red,"[20, 40, 68, 47, 74]","[65, 118, 76]",0,11:36,696,3,1,0,0,bracket
106,20230619,Final Episode,red,"[97, 4, 111, 40, 34]","[118, 17, 65]",1,Divine Nine,blue,"[10, 105, 68, 28, 119]","[44, 120, 76]",0,11:10,670,3,2,1,0,bracket
106,20230619,Team Lilgun,blue,"[59, 117, 120, 53, 48]","[118, 47, 84]",1,In Game Name,red,"[10, 65, 76, 58, 119]",[104],0,11:32,692,3,1,0,0,bracket
106,20230619,Team Lilgun,red,"[37, 58, 76, 40, 19]","[118, 120, 34]",1,In Game Name,blue,"[44, 105, 101, 9, 4]","[65, 48, 111]",0,18:01,1081,3,2,1,0,bracket
106,20230619,Positive Gaming,red,"[119, 47, 120, 40, 78]","[118, 111, 58]",1,Generation of Miracles,blue,"[76, 13, 52, 9, 59]","[62, 26, 17]",0,11:00,660,3,1,0,0,bracket
106,20230619,Positive Gaming,blue,"[59, 21, 111, 31, 26]","[119, 62, 10]",1,Generation of Miracles,red,"[78, 40, 115, 47, 77]","[117, 118, 17]",0,15:28,928,3,2,1,0,bracket
106,20230619,Marvist,blue,"[74, 8, 76, 105, 62]","[17, 120, 89]",0,Team Virtus,red,"[10, 114, 111, 117, 119]","[47, 58, 118]",1,19:31,1171,3,1,0,0,bracket
106,20230619,Marvist,red,"[44, 117, 111, 100, 48]","[120, 76, 89]",0,Team Virtus,blue,"[74, 65, 68, 21, 118]","[53, 62, 58]",1,13:39,819,3,2,0,1,bracket
106,20230619,NWS,red,"[104, 47, 111, 40, 62]","[76, 118, 65]",1,Illuminate,blue,"[34, 100, 101, 117, 95]","[114, 17, 119]",0,14:26,866,3,1,0,0,bracket
106,20230619,NWS,blue,"[104, 17, 76, 105, 78]","[118, 120, 101]",1,Illuminate,red,"[62, 40, 68, 47, 37]","[114, 119, 111]",0,15:59,959,3,2,1,0,bracket
106,20230619,Lybero,red,"[82, 58, 111, 12, 78]","[89, 10, 74]",0,Team Continue,blue,"[48, 65, 76, 17, 88]","[117, 118, 120]",1,10:58,658,3,1,0,0,bracket
106,20230619,Lybero,blue,"[82, 117, 57, 12, 19]","[89, 74, 105]",0,Team Continue,red,"[48, 40, 101, 17, 97]","[111, 120, 76]",1,12:43,763,3,2,0,1,bracket
106,20230619,Bosuul,red,"[37, 58, 111, 73, 62]","[76, 120, 48]",0,TokyoCherryBlossom,blue,"[34, 40, 101, 117, 112]","[21, 118, 104]",1,11:39,699,3,1,0,0,bracket
106,20230619,Bosuul,blue,"[112, 47, 115, 105, 34]","[76, 120, 48]",0,TokyoCherryBlossom,red,"[93, 114, 101, 117, 82]","[111, 118, 104]",1,15:18,918,3,2,0,1,bracket
106,20230619,Fourth Dimension,red,"[77, 56, 115, 13, 78]","[92, 74, 93]",0,Electricity,blue,"[19, 105, 120, 8, 104]","[71, 76, 17]",1,12:03,723,3,1,0,0,bracket
106,20230619,Fourth Dimension,blue,"[104, 58, 111, 13, 70]","[120, 92, 20]",0,Electricity,red,"[10, 105, 68, 8, 74]","[117, 76, 71]",1,17:51,1071,3,2,0,1,bracket
106,20230621,Final Episode,blue,"[95, 30, 120, 100, 78]","[10, 117, 111, 40, 75]",1,NWS,red,"[62, 105, 101, 47, 104]","[34, 65, 118, 76, 48]",0,21:57,1317,3,1,0,0,bracket
106,20230621,Final Episode,red,"[119, 47, 101, 31, 44]","[10, 117, 120, 17, 78]",1,NWS,blue,"[75, 65, 76, 21, 104]","[34, 114, 111, 118, 48]",0,16:33,993,3,2,1,0,bracket
106,20230621,Positive Gaming,red,"[104, 47, 111, 89, 26]","[17, 120, 74, 21, 84]",0,TokyoCherryBlossom,blue,"[34, 40, 76, 9, 112]","[48, 105, 101, 119, 118]",1,11:53,713,3,1,0,0,bracket
106,20230621,Positive Gaming,blue,"[74, 9, 101, 40, 10]","[17, 111, 76, 65, 75]",0,TokyoCherryBlossom,red,"[34, 100, 4, 84, 112]","[58, 117, 120, 119, 118]",1,17:12,1032,3,2,0,1,bracket
106,20230621,Final Episode,red,"[44, 117, 111, 114, 34]","[17, 76, 112, 93, 105]",1,TokyoCherryBlossom,blue,"[20, 40, 101, 9, 104]","[95, 65, 119, 120, 118]",0,16:21,981,3,1,0,0,bracket
106,20230621,Final Episode,blue,"[104, 30, 120, 105, 10]","[17, 112, 84, 21]",1,TokyoCherryBlossom,red,"[93, 40, 111, 9, 26]","[114, 47, 118, 76, 34]",0,11:56,716,3,2,1,0,bracket
106,20230621,NWS,red,"[95, 117, 101, 65, 10]","[120, 118, 76, 111, 9]",0,Positive Gaming,blue,"[62, 40, 52, 58, 112]","[20, 78, 34, 75, 104]",1,18:36,1116,3,1,0,0,bracket
106,20230621,NWS,blue,"[112, 9, 120, 65, 102]","[118, 76, 40, 101, 111]",0,Positive Gaming,red,"[48, 53, 115, 117, 119]","[62, 10, 104, 34, 75]",1,15:57,957,3,2,0,1,bracket
106,20230621,Team Lilgun,red,"[104, 47, 115, 105, 10]","[17, 120, 76, 9, 58]",1,Team Continue,blue,"[48, 89, 111, 116, 82]","[68, 40, 101, 119, 117]",0,10:04,604,3,1,0,0,bracket
106,20230621,Team Lilgun,red,"[59, 47, 76, 40, 78]","[17, 120, 118, 101, 65]",1,Team Continue,blue,"[26, 53, 52, 2, 58]","[10, 62, 117, 104, 119]",0,10:04,604,3,2,1,0,bracket
106,20230621,Team Virtus,blue,"[74, 17, 75, 105, 10]","[8, 92, 104, 47, 53]",1,Electricity,red,"[78, 65, 120, 58, 119]","[111, 114, 76, 118, 40]",0,13:33,813,3,1,0,0,bracket
106,20230621,Team Virtus,red,"[118, 58, 111, 53, 10]","[8, 92, 104, 78, 93]",1,Electricity,blue,"[19, 65, 120, 117, 77]","[101, 17, 76, 119, 74]",0,20:42,1242,3,2,1,0,bracket
106,20230621,Team Lilgun,red,"[97, 9, 120, 105, 76]","[118, 119, 74, 65, 40]",1,Team Virtus,blue,"[32, 114, 101, 47, 104]","[112, 82, 17, 117, 48]",0,12:14,734,3,1,0,0,bracket
106,20230621,Team Lilgun,blue,"[82, 9, 111, 100, 120]","[118, 119, 74, 10, 101]",1,Team Virtus,red,"[32, 65, 75, 17, 104]","[95, 53, 117, 76, 48]",0,13:01,781,3,2,1,0,bracket
106,20230621,Team Continue,blue,"[82, 21, 52, 40, 62]","[120, 8, 92, 65, 117]",1,Electricity,red,"[10, 53, 111, 58, 104]","[101, 76, 74, 89, 112]",0,17:49,1069,3,1,0,0,bracket
106,20230621,Team Continue,red,"[74, 116, 101, 105, 62]","[120, 8, 92, 65, 77]",1,Electricity,blue,"[10, 100, 52, 117, 95]","[111, 114, 40, 89, 17]",0,15:57,957,3,2,1,0,bracket
106,20230622,Team Virtus,red,"[104, 84, 76, 53, 78]","[17, 117, 58, 47, 8]",1,Team Continue,blue,"[62, 65, 120, 116, 82]","[10, 21, 74, 119, 118]",0,18:59,1139,3,1,0,0,bracket
