tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
107,20230531,RRQ Akira,blue,"[104, 30, 120, 68, 26]","[17, 118, 48, 21, 47]",1,LAST eSports,red,"[44, 65, 101, 85, 119]","[73, 53, 19, 111, 89]",0,09:13,553,3,1,0,0,qualifiers
107,20230531,RRQ Akira,red,"[106, 84, 75, 40, 10]","[120, 89, 17, 65, 19]",1,LAST eSports,blue,"[78, 100, 25, 58, 118]","[21, 104, 26, 62, 111]",0,11:42,702,3,2,1,0,qualifiers
107,20230531,Randoms,blue,"[118, 58, 101, 53, 26]","[17, 62, 65, 40, 105]",1,Team Ectuus,red,"[102, 73, 52, 47, 104]","[110, 114, 119, 10, 89]",0,26:37,1597,3,1,0,0,qualifiers
107,20230531,Randoms,red,"[119, 58, 52, 40, 78]","[89, 17, 62, 21, 99]",1,Team Ectuus,blue,"[44, 73, 111, 84, 118]","[47, 117, 104, 101, 10]",0,31:44,1904,3,2,1,0,qualifiers
107,20230531,DreamMax Ice,blue,"[59, 84, 118, 73, 26]","[114, 119, 76, 58, 47]",0,Team Zeus E-sports,red,"[44, 40, 101, 74, 104]","[105, 65, 62, 120, 89]",1,18:15,1095,3,1,0,0,qualifiers
107,20230531,DreamMax Ice,red,"[37, 47, 52, 40, 78]","[89, 119, 114, 74, 73]",0,Team Zeus E-sports,blue,"[44, 100, 111, 58, 104]","[10, 26, 76, 120, 62]",1,16:18,978,3,2,0,1,qualifiers
107,20230601,Team Ectuus,blue,"[118, 17, 120, 89, 62]","[73, 74, 76, 21, 106]",1,SNS Academy,red,"[19, 13, 92, 85, 16]","[102, 47, 119, 114, 58]",0,16:10,970,3,1,0,0,qualifiers
107,20230601,Team Ectuus,red,"[74, 11, 111, 53, 3]","[73, 62, 118, 19, 48]",1,SNS Academy,blue,"[10, 65, 120, 99, 119]","[78, 105, 114, 58, 89]",0,17:43,1063,3,2,1,0,qualifiers
107,20230601,Royal of Olimpo,blue,"[82, 69, 120, 45, 26]","[114, 111, 104, 65, 76]",0,DreamMax Ice,red,"[113, 11, 80, 117, 17]","[100, 62, 118, 119, 89]",1,18:11,1091,3,1,0,0,qualifiers
107,20230601,Royal of Olimpo,red,"[82, 58, 101, 114, 62]","[111, 104, 118, 21, 74]",1,DreamMax Ice,blue,"[5, 26, 46, 32, 17]","[44, 106, 48, 119, 89]",0,14:45,885,3,2,0,1,qualifiers
107,20230601,Royal of Olimpo,blue,"[98, 69, 101, 114, 62]","[111, 104, 118, 52, 65]",0,DreamMax Ice,red,"[95, 30, 56, 21, 87]","[68, 58, 89, 119, 17]",1,22:59,1379,3,3,1,1,qualifiers
107,20230601,DreamMax,blue,"[44, 47, 52, 65, 26]","[62, 119, 117, 76, 20]",1,Cyber E-Sports,red,"[74, 53, 101, 58, 37]","[97, 69, 89, 104, 118]",0,14:31,871,3,1,0,0,qualifiers
107,20230601,DreamMax,red,"[59, 58, 101, 105, 26]","[89, 118, 104, 114, 40]",0,Cyber E-Sports,blue,"[75, 94, 115, 117, 37]","[62, 65, 119, 44, 52]",1,37:20,2240,3,2,1,0,qualifiers
107,20230601,DreamMax,blue,"[104, 17, 111, 65, 78]","[117, 37, 118, 76, 62]",1,Cyber E-Sports,red,"[74, 40, 68, 58, 59]","[20, 26, 89, 44, 52]",0,12:03,723,3,3,1,1,qualifiers
107,20230602,DreamMax Ice,blue,"[119, 44, 75, 105, 48]","[65, 76, 104, 62, 26]",0,RRQ Akira,red,"[19, 40, 101, 47, 59]","[9, 21, 120, 118, 89]",1,15:05,905,3,1,0,0,qualifiers
107,20230602,DreamMax Ice,red,"[59, 69, 68, 100, 44]","[89, 119, 120, 21, 58]",0,RRQ Akira,blue,"[62, 65, 111, 11, 37]","[78, 52, 118, 104, 47]",1,12:49,769,3,2,0,1,qualifiers
107,20230602,Randoms,blue,"[119, 9, 25, 105, 10]","[62, 104, 114, 65, 52]",1,SNS Academy,red,"[78, 73, 76, 21, 113]","[68, 58, 118, 111, 89]",0,10:31,631,3,1,0,0,qualifiers
107,20230602,Randoms,red,"[118, 117, 86, 40, 44]","[76, 104, 62, 78, 19]",1,SNS Academy,blue,"[20, 73, 120, 85, 119]","[52, 58, 21, 111, 10]",0,14:23,863,3,2,1,0,qualifiers
107,20230605,SNS Academy,blue,"[119, 9, 52, 73, 10]","[17, 111, 58, 78, 106]",0,DreamMax,red,"[63, 105, 120, 47, 117]","[114, 40, 118, 104, 89]",1,13:19,799,3,1,0,0,qualifiers
107,20230605,SNS Academy,red,"[95, 28, 25, 13, 78]","[17, 58, 111, 89, 114]",0,DreamMax,blue,"[44, 1, 120, 84, 103]","[93, 117, 118, 104, 73]",1,10:49,649,3,2,0,1,qualifiers
107,20230608,Cyber E-Sports,blue,"[119, 117, 101, 40, 48]",,1,Team Ectuus,red,"[76, 65, 120, 58, 44]",,0,14:41,881,3,1,0,0,qualifiers
107,20230608,Cyber E-Sports,red,"[44, 117, 52, 94, 78]",,1,Team Ectuus,blue,"[9, 105, 111, 17, 119]",,0,10:04,604,3,2,1,0,qualifiers
