tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
108,20230601,HomeBois,blue,"[118, 117, 76, 40, 19]","[17, 62, 89, 69, 46]",1,Big Bang Club,red,"[78, 105, 96, 11, 104]","[44, 65, 111, 52, 119]",0,10:14,614,3,1,0,0,bracket
108,20230601,HomeBois,red,"[118, 117, 111, 100, 20]","[46, 17, 89, 69, 62]",1,Big Bang Club,blue,"[78, 107, 4, 47, 119]","[65, 40, 104, 101, 52]",0,11:47,707,3,2,1,0,bracket
108,20230601,Blacklist Academy,blue,"[82, 47, 101, 65, 78]","[76, 62, 117, 69, 48]",1,Kagendra,red,"[20, 105, 120, 21, 104]","[26, 44, 17, 118, 89]",0,14:09,849,3,1,0,0,bracket
108,20230601,Blacklist Academy,red,"[95, 117, 111, 65, 75]","[17, 118, 76, 69, 48]",1,Kagendra,blue,"[62, 40, 52, 11, 104]","[82, 78, 119, 89, 101]",0,23:56,1436,3,2,1,0,bracket
108,20230603,HomeBois,blue,"[119, 117, 120, 107, 19]","[17, 62, 101, 104, 37]",1,Blacklist Academy,red,"[44, 65, 75, 47, 95]","[53, 48, 76, 118, 89]",0,16:27,987,5,1,0,0,bracket
108,20230603,HomeBois,red,"[104, 117, 111, 107, 19]","[118, 17, 89, 62, 78]",1,Blacklist Academy,blue,"[57, 65, 75, 47, 82]","[119, 53, 120, 101, 76]",0,28:57,1737,5,2,1,0,bracket
108,20230603,HomeBois,blue,"[104, 117, 76, 114, 48]","[17, 62, 111, 82, 119]",1,Blacklist Academy,red,"[10, 65, 101, 47, 44]","[19, 107, 120, 89, 118]",0,15:10,910,5,3,2,0,bracket
108,20230601,See You Soon,blue,"[117, 21, 75, 89, 78]","[62, 111, 101, 106, 52]",1,MAO Esports,red,"[10, 65, 92, 47, 119]","[74, 44, 76, 104, 118]",0,16:12,972,3,1,0,0,bracket
108,20230601,See You Soon,red,"[119, 21, 111, 65, 44]","[118, 89, 104, 78, 84]",1,MAO Esports,blue,"[48, 89, 76, 117, 106]","[17, 10, 101, 75, 62]",0,12:44,764,3,2,1,0,bracket
108,20230601,Bigetron Alpha,blue,"[117, 47, 111, 40, 10]","[62, 76, 119, 65, 104]",1,MAB Esports,red,"[78, 105, 52, 17, 37]","[95, 31, 74, 118, 89]",0,12:28,748,3,1,0,0,bracket
108,20230601,Bigetron Alpha,red,"[44, 84, 111, 65, 74]","[76, 89, 117, 100, 48]",1,MAB Esports,blue,"[20, 53, 101, 58, 119]","[21, 47, 104, 118, 17]",0,14:08,848,3,2,1,0,bracket
108,20230603,See You Soon,blue,"[104, 84, 75, 40, 10]","[76, 62, 47, 44, 9]",0,Bigetron Beta,red,"[112, 105, 111, 17, 119]","[58, 74, 117, 89, 118]",1,11:20,680,5,1,0,0,bracket
108,20230603,See You Soon,red,"[44, 21, 52, 105, 62]","[89, 118, 76, 78, 93]",0,Bigetron Beta,blue,"[112, 114, 75, 47, 119]","[104, 37, 117, 111, 101]",1,21:27,1287,5,2,0,1,bracket
108,20230603,See You Soon,red,"[106, 17, 76, 105, 29]","[118, 47, 62, 20, 9]",0,Bigetron Beta,blue,"[10, 89, 52, 87, 119]","[48, 74, 117, 101, 111]",1,14:32,872,5,3,0,2,bracket
