tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
110,20230520,Fire Flux Esports,red,"[95, 79, 76, 73, 44]","[111, 104, 118, 65, 114]",1,Chaos,blue,"[62, 100, 101, 9, 117]","[40, 105, 10, 17, 89]",0,20:39,1239,3,1,0,0,bracket
110,20230520,Fire Flux Esports,red,"[117, 17, 101, 40, 74]","[111, 104, 62, 58, 9]",1,Chaos,blue,"[10, 65, 86, 26, 37]","[48, 93, 76, 44, 89]",0,19:44,1184,3,2,1,0,bracket
110,20230520,Venus,red,"[37, 47, 111, 40, 62]","[101, 89, 74, 76, 68]",1,BRA Esports,blue,"[34, 105, 52, 87, 119]","[95, 58, 118, 53, 48]",0,14:27,867,3,1,0,0,bracket
110,20230520,Venus,blue,"[37, 47, 75, 105, 76]","[101, 74, 48, 9, 58]",1,BRA Esports,red,"[26, 53, 111, 117, 119]","[104, 95, 89, 118, 62]",0,15:18,918,3,2,1,0,bracket
110,20230520,Fire Flux Esports,blue,"[95, 109, 101, 89, 44]","[58, 104, 111, 75, 52]",1,Venus,red,"[62, 105, 68, 47, 74]","[76, 79, 118, 17, 10]",0,15:14,914,3,1,0,0,bracket
110,20230520,Fire Flux Esports,red,"[104, 21, 76, 105, 93]","[89, 58, 62, 74, 44]",1,Venus,blue,"[26, 100, 101, 47, 118]","[73, 75, 111, 17, 10]",0,19:41,1181,3,2,1,0,bracket
110,20230520,Chaos,blue,"[104, 117, 111, 100, 20]","[89, 65, 48, 114, 40]",1,BRA Esports,red,"[44, 105, 101, 47, 95]","[84, 93, 53, 62, 10]",0,21:13,1273,3,1,0,0,bracket
110,20230520,Chaos,blue,"[37, 74, 101, 13, 93]","[89, 65, 48, 114, 95]",1,BRA Esports,red,"[44, 43, 76, 47, 81]","[40, 100, 104, 62, 10]",0,18:05,1085,3,2,1,0,bracket
110,20230521,Venus,blue,"[82, 47, 111, 40, 20]","[10, 74, 101, 68, 52]",0,Chaos,red,"[62, 100, 75, 84, 104]","[95, 37, 76, 105, 89]",1,21:01,1261,5,1,0,0,bracket
110,20230521,Venus,blue,"[95, 9, 52, 40, 62]","[10, 74, 101, 84, 93]",0,Chaos,red,"[44, 100, 76, 47, 104]","[68, 75, 111, 105, 89]",1,15:30,930,5,2,0,1,bracket
110,20230521,Venus,red,"[95, 47, 75, 73, 62]","[74, 104, 101, 84, 10]",1,Chaos,blue,"[93, 40, 76, 87, 37]","[100, 118, 111, 105, 89]",0,14:13,853,5,3,0,2,bracket
110,20230521,Venus,blue,"[104, 58, 76, 114, 10]","[74, 101, 47, 84, 9]",1,Chaos,red,"[62, 40, 111, 117, 95]","[100, 68, 75, 105, 89]",0,21:21,1281,5,4,1,2,bracket
110,20230521,Venus,blue,"[95, 58, 111, 73, 44]","[74, 101, 47, 84, 9]",0,Chaos,red,"[62, 100, 75, 117, 82]","[114, 76, 104, 105, 89]",1,18:07,1087,5,5,2,2,bracket
110,20230521,Fire Flux Esports,red,"[74, 117, 101, 105, 34]","[104, 111, 62, 82, 47]",1,Chaos,blue,"[10, 100, 68, 84, 95]","[40, 17, 76, 44, 89]",0,13:49,829,7,1,0,0,bracket
110,20230521,Fire Flux Esports,blue,"[95, 49, 111, 105, 34]","[104, 76, 62, 48, 82]",1,Chaos,red,"[57, 100, 68, 117, 74]","[9, 93, 101, 44, 89]",0,11:08,668,7,2,1,0,bracket
110,20230521,Fire Flux Esports,blue,"[37, 9, 52, 53, 62]","[104, 76, 111, 48, 10]",1,Chaos,red,"[74, 40, 75, 47, 95]","[114, 105, 101, 44, 89]",0,13:51,831,7,3,2,0,bracket
110,20230521,Fire Flux Esports,blue,"[95, 17, 68, 105, 93]","[104, 47, 9, 82, 100]",1,Chaos,red,"[10, 94, 76, 74, 98]","[44, 48, 62, 101, 89]",0,19:03,1143,7,4,3,0,bracket
110,20230408,So Far,blue,"[95, 47, 101, 89, 10]","[119, 117, 76, 20, 74]",1,Venus,red,"[62, 65, 111, 58, 37]","[93, 48, 104, 114, 118]",0,19:38,1178,1,1,0,0,qualifiers
110,20230408,Lemaitre,blue,"[104, 9, 111, 65, 20]","[76, 62, 37, 10, 48]",1,Chaos,red,"[44, 114, 52, 117, 20]","[17, 58, 119, 118, 89]",0,17:50,1070,1,1,0,0,qualifiers
110,20230408,Virtus Odium,blue,"[82, 47, 101, 40, 93]","[75, 118, 4, 97, 48]",0,Davi International,red,"[112, 13, 76, 117, 104]","[62, 58, 114, 119, 89]",1,24:39,1479,1,1,0,0,qualifiers
110,20230408,Fire Flux Impunity,blue,"[74, 117, 52, 105, 44]","[111, 69, 37, 58, 4]",1,Exclamatio,red,"[48, 40, 76, 99, 119]","[20, 10, 114, 89, 118]",0,16:59,1019,1,1,0,0,qualifiers
110,20230408,Venus,blue,"[37, 58, 111, 105, 48]","[62, 114, 118, 75, 10]",1,Chaos,red,"[34, 53, 101, 117, 104]","[65, 40, 76, 89, 119]",0,17:35,1055,1,1,0,0,qualifiers
110,20230408,Davi International,blue,"[118, 4, 101, 13, 29]","[89, 114, 119, 81, 74]",1,Fire Flux Impunity,red,"[62, 40, 75, 117, 37]","[48, 53, 112, 76, 111]",0,21:37,1297,1,1,0,0,qualifiers
110,20230408,Virtus Odium,blue,"[104, 4, 111, 40, 44]","[85, 76, 89, 20, 34]",0,So Far,red,"[26, 65, 101, 117, 95]","[62, 48, 119, 114, 118]",1,12:41,761,1,1,0,0,qualifiers
110,20230409,Exclamatio,blue,"[104, 117, 101, 114, 102]","[62, 65, 118, 17, 20]",1,Lemaitre,red,"[44, 105, 111, 9, 119]","[48, 34, 76, 69, 89]",0,17:18,1038,1,1,0,0,qualifiers
110,20230409,So Far,blue,"[104, 117, 111, 100, 62]","[75, 119, 76, 52, 112]",0,Davi International,red,"[93, 13, 115, 4, 118]","[65, 34, 101, 114, 89]",1,17:13,1033,1,1,0,0,qualifiers
110,20230409,Chaos,blue,"[119, 74, 111, 100, 20]","[48, 104, 114, 89, 44]",1,Virtus Odium,red,"[34, 105, 101, 4, 37]","[10, 75, 40, 117, 76]",0,17:46,1066,1,1,0,0,qualifiers
110,20230409,Lemaitre,blue,"[104, 117, 76, 53, 48]","[62, 118, 40, 51, 58]",0,Fire Flux Impunity,red,"[10, 114, 101, 47, 119]","[93, 20, 17, 65, 89]",1,13:28,808,1,1,0,0,qualifiers
110,20230409,Venus,blue,"[81, 58, 52, 114, 48]","[69, 101, 65, 84, 17]",1,Exclamatio,red,"[10, 105, 111, 47, 104]","[78, 37, 117, 89, 118]",0,16:04,964,1,1,0,0,qualifiers
110,20230409,So Far,blue,"[104, 99, 101, 65, 34]","[119, 62, 75, 100, 74]",1,Chaos,red,"[76, 31, 111, 21, 37]","[117, 47, 118, 48, 89]",0,14:48,888,1,1,0,0,qualifiers
110,20230409,Virtus Odium,blue,"[104, 117, 111, 105, 10]","[69, 89, 48, 119, 9]",1,Exclamatio,red,"[20, 40, 101, 21, 112]","[34, 65, 62, 118, 114]",0,11:27,687,1,1,0,0,qualifiers
110,20230415,Davi International,blue,"[118, 67, 111, 13, 44]","[89, 52, 65, 17, 117]",0,Lemaitre,red,"[78, 114, 101, 51, 37]","[58, 47, 76, 4, 112]",1,16:59,1019,1,1,0,0,qualifiers
110,20230415,Fire Flux Impunity,blue,"[117, 84, 118, 89, 48]","[104, 65, 114, 40, 53]",1,Venus,red,"[62, 105, 111, 58, 82]","[52, 93, 76, 101, 119]",0,25:46,1546,1,1,0,0,qualifiers
110,20230415,Exclamatio,blue,"[82, 117, 115, 89, 62]","[118, 65, 101, 20, 51]",0,So Far,red,"[34, 114, 111, 99, 104]","[37, 52, 119, 76, 69]",1,11:27,687,1,1,0,0,qualifiers
110,20230415,Chaos,blue,"[118, 117, 111, 40, 35]","[112, 101, 4, 53, 75]",0,Davi International,red,"[57, 65, 76, 58, 81]","[44, 74, 51, 10, 62]",1,10:51,651,1,1,0,0,qualifiers
110,20230415,Virtus Odium,blue,"[74, 58, 101, 105, 76]","[118, 10, 119, 48, 62]",0,Fire Flux Impunity,red,"[44, 65, 86, 84, 117]","[53, 114, 111, 104, 89]",1,15:55,955,1,1,0,0,qualifiers
110,20230415,Venus,blue,"[97, 117, 52, 53, 78]","[101, 51, 118, 17, 76]",1,Lemaitre,red,"[20, 65, 25, 9, 104]","[62, 48, 114, 89, 58]",0,29:49,1789,1,1,0,0,qualifiers
110,20230415,Chaos,blue,"[82, 4, 101, 100, 20]","[89, 48, 114, 69, 62]",1,Exclamatio,red,"[44, 105, 111, 58, 104]","[51, 84, 76, 118, 117]",0,11:42,702,1,1,0,0,qualifiers
110,20230416,Davi International,blue,"[81, 51, 76, 53, 57]","[58, 89, 114, 44, 62]",0,Venus,red,"[20, 105, 52, 117, 118]","[69, 75, 4, 101, 112]",1,17:54,1074,1,1,0,0,qualifiers
110,20230416,So Far,blue,"[118, 99, 101, 114, 48]","[84, 119, 10, 74, 21]",0,Fire Flux Impunity,red,"[62, 40, 52, 69, 117]","[47, 34, 58, 104, 89]",1,18:34,1114,1,1,0,0,qualifiers
110,20230416,Lemaitre,blue,"[37, 117, 101, 31, 78]","[89, 76, 114, 4, 47]",0,Virtus Odium,red,"[10, 105, 111, 87, 119]","[48, 40, 104, 65, 118]",1,16:27,987,1,1,0,0,qualifiers
110,20230416,Exclamatio,blue,"[119, 117, 101, 40, 34]","[4, 112, 118, 75, 52]",0,Davi International,red,"[57, 65, 76, 58, 104]","[62, 105, 114, 89, 69]",1,22:40,1360,1,1,0,0,qualifiers
110,20230416,Fire Flux Impunity,blue,"[119, 51, 111, 105, 10]","[104, 117, 58, 74, 82]",1,Chaos,red,"[62, 100, 101, 9, 37]","[44, 93, 118, 114, 89]",0,19:43,1183,1,1,0,0,qualifiers
110,20230416,So Far,blue,"[37, 117, 101, 105, 34]","[52, 119, 118, 69, 20]",1,Lemaitre,red,"[44, 65, 111, 17, 81]","[48, 53, 104, 89, 114]",0,17:59,1079,1,1,0,0,qualifiers
110,20230416,Virtus Odium,blue,"[112, 117, 111, 114, 34]","[89, 118, 58, 34, 62]",1,Venus,red,"[20, 105, 52, 47, 104]","[93, 10, 119, 74, 101]",0,21:03,1263,1,1,0,0,qualifiers
110,20230429,Exclamatio,blue,"[117, 85, 96, 40, 20]","[89, 118, 114, 58, 51]",0,Fire Flux Impunity,red,"[62, 111, 4, 37]","[53, 74, 104, 119, 69]",1,13:12,792,1,1,0,0,qualifiers
110,20230429,Venus,blue,"[97, 85, 111, 114, 48]","[101, 34, 118, 52, 62]",1,BRA Esports,red,"[10, 65, 68, 117, 104]","[74, 4, 119, 89, 58]",0,15:14,914,1,1,0,0,qualifiers
110,20230429,Davi International,blue,"[95, 4, 111, 13, 75]","[119, 104, 101, 52, 74]",0,Virtus Odium,red,"[10, 114, 73, 117, 82]","[51, 57, 89, 118, 112]",1,18:30,1110,1,1,0,0,qualifiers
110,20230429,Chaos,blue,"[104, 47, 111, 94, 10]","[89, 65, 118, 20, 78]",1,Lemaitre,red,"[34, 105, 101, 117, 37]","[40, 100, 62, 76, 119]",0,19:56,1196,1,1,0,0,qualifiers
110,20230429,Fire Flux Impunity,blue,"[117, 4, 75, 89, 48]","[118, 111, 119, 114, 53]",1,Davi International,red,"[112, 105, 52, 58, 104]","[101, 84, 17, 62, 10]",0,20:25,1225,1,1,0,0,qualifiers
110,20230429,Lemaitre,blue,"[104, 47, 52, 105, 93]","[76, 119, 69, 20, 84]",1,Exclamatio,red,"[10, 114, 111, 21, 117]","[78, 65, 101, 118, 89]",0,19:00,1140,1,1,0,0,qualifiers
110,20230429,Chaos,blue,"[104, 117, 111, 40, 62]","[89, 48, 114, 52, 76]",1,Venus,red,"[20, 105, 68, 4, 119]","[58, 93, 118, 101, 10]",0,24:05,1445,1,1,0,0,qualifiers
110,20230430,BRA Esports,blue,"[112, 117, 52, 65, 78]","[10, 104, 119, 74, 44]",0,Virtus Odium,red,"[62, 114, 111, 4, 95]","[48, 34, 118, 101, 89]",1,17:08,1028,1,1,0,0,qualifiers
110,20230430,Exclamatio,blue,"[117, 21, 111, 65, 48]","[89, 58, 118, 4, 20]",0,Venus,red,"[26, 114, 52, 99, 119]","[84, 69, 101, 10, 96]",1,16:05,965,1,1,0,0,qualifiers
110,20230430,Virtus Odium,blue,"[119, 117, 111, 114, 44]","[40, 100, 101, 53, 51]",0,Chaos,red,"[10, 94, 52, 47, 104]","[20, 62, 89, 48, 118]",1,24:45,1485,1,1,0,0,qualifiers
110,20230430,Davi International,blue,"[97, 117, 52, 89, 57]","[101, 62, 119, 65, 114]",0,BRA Esports,red,"[34, 43, 111, 74, 104]","[112, 48, 75, 118, 4]",1,16:53,1013,1,1,0,0,qualifiers
110,20230430,Fire Flux Impunity,blue,"[37, 117, 101, 89, 20]","[118, 104, 111, 17, 9]",1,Lemaitre,red,"[78, 114, 52, 47, 44]","[119, 62, 10, 93, 48]",0,14:41,881,1,1,0,0,qualifiers
110,20230430,Exclamatio,blue,"[119, 84, 101, 114, 78]","[89, 118, 111, 4, 58]",0,Virtus Odium,red,"[10, 65, 76, 21, 104]","[62, 20, 96, 117, 69]",1,14:21,861,1,1,0,0,qualifiers
