tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
111,20230429,Outplay,blue,"[82, 47, 52, 89, 10]","[22, 114, 62, 105, 58]",1,The Empire,red,"[20, 37, 111, 79, 74]","[8, 117, 118, 17, 119]",0,16:07,967,5,1,0,0,bracket
111,20230429,Outplay,red,"[104, 84, 25, 89, 93]","[22, 101, 118, 58, 40]",1,The Empire,blue,"[10, 106, 111, 69, 37]","[76, 52, 62, 119, 17]",0,20:39,1239,5,2,1,0,bracket
111,20230429,Outplay,blue,"[74, 111, 76, 65, 44]","[69, 22, 62, 58, 37]",1,The Empire,red,"[10, 4, 52, 8, 97]","[47, 117, 118, 119, 17]",0,13:05,785,5,3,2,0,bracket
111,20230429,BloodThirstyKings,blue,"[37, 117, 25, 105, 78]","[114, 62, 104, 10, 17]",1,Ackerman,red,"[20, 40, 101, 47, 95]","[52, 65, 118, 89]",0,32:26,1946,5,1,0,0,bracket
111,20230429,BloodThirstyKings,red,"[17, 117, 25, 114, 10]","[118, 104, 119, 62, 58]",0,Ackerman,blue,"[78, 105, 52, 9, 37]","[111, 101, 95, 65, 89]",1,22:42,1362,5,2,1,0,bracket
111,20230429,BloodThirstyKings,blue,"[119, 47, 111, 40, 93]","[114, 62, 104, 73, 101]",1,Ackerman,red,"[10, 105, 52, 117, 37]","[78, 9, 65, 118, 89]",0,15:40,940,5,3,1,1,bracket
111,20230429,BloodThirstyKings,red,"[82, 47, 25, 40, 26]","[114, 118, 104, 17, 20]",0,Ackerman,blue,"[44, 100, 111, 51, 119]","[78, 52, 95, 65, 89]",1,21:07,1267,5,4,2,1,bracket
111,20230429,BloodThirstyKings,blue,"[119, 47, 52, 105, 44]","[114, 104, 95, 17, 51]",1,Ackerman,red,"[78, 40, 111, 8, 74]","[101, 76, 65, 89, 118]",0,16:39,999,5,5,2,2,bracket
111,20230430,Outplay,blue,"[104, 51, 86, 89, 62]","[95, 101, 111, 105, 9]",1,BloodThirstyKings,red,"[20, 65, 52, 117, 37]","[47, 17, 76, 118, 119]",0,21:05,1265,5,1,0,0,bracket
111,20230430,Outplay,red,"[117, 17, 52, 40, 62]","[118, 89, 104, 78, 9]",1,BloodThirstyKings,blue,"[93, 65, 101, 103, 95]","[75, 48, 119, 111, 76]",0,20:54,1254,5,2,1,0,bracket
111,20230430,Outplay,blue,"[104, 21, 76, 89, 20]","[37, 95, 111, 105, 100]",1,BloodThirstyKings,red,"[62, 65, 101, 117, 74]","[40, 47, 17, 119, 118]",0,14:48,888,5,3,2,0,bracket
111,20230429,The Empire,red,"[37, 9, 111, 105, 10]","[114, 17, 104, 78, 20]",0,Ackerman,blue,"[44, 40, 52, 47, 118]","[8, 69, 119, 95, 89]",1,20:31,1231,5,1,0,0,bracket
111,20230429,The Empire,blue,"[119, 47, 75, 105, 44]","[114, 17, 111, 9, 8]",1,Ackerman,red,"[10, 73, 101, 84, 104]","[56, 93, 76, 118, 89]",0,23:18,1398,5,2,0,1,bracket
111,20230429,The Empire,red,"[37, 47, 68, 65, 20]","[114, 118, 17, 9, 8]",0,Ackerman,blue,"[44, 105, 76, 117, 104]","[101, 111, 95, 89, 119]",1,17:06,1026,5,3,1,1,bracket
111,20230429,The Empire,blue,"[98, 9, 76, 40, 20]","[114, 17, 111, 44, 37]",0,Ackerman,red,"[10, 105, 101, 47, 82]","[95, 4, 119, 89, 118]",1,15:07,907,5,4,1,2,bracket
111,20230430,BloodThirstyKings,blue,"[74, 117, 86, 65, 78]","[17, 52, 114, 44, 48]",0,Ackerman,red,"[62, 105, 111, 9, 119]","[101, 76, 104, 118, 89]",1,20:15,1215,5,1,0,0,bracket
