tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
112,20230511,BlackError,red,"[104, 117, 101, 105, 76]","[63, 118, 114, 13, 40]",1,Dark Phoenix,blue,"[75, 73, 52, 47, 37]","[58, 51, 111, 119, 89]",0,13:26,806,5,1,0,0,bracket
112,20230511,BlackError,blue,"[95, 83, 111, 105, 76]","[63, 118, 58, 47, 62]",0,Dark Phoenix,red,"[75, 40, 101, 117, 37]","[58, 40, 119, 104, 89]",1,13:28,808,5,2,1,0,bracket
112,20230511,BlackError,red,"[117, 103, 111, 105, 75]","[63, 118, 114, 47, 62]",1,Dark Phoenix,blue,"[14, 40, 101, 83, 37]","[82, 95, 104, 119, 89]",0,16:02,962,5,3,1,1,bracket
112,20230511,BlackError,red,"[44, 51, 101, 105, 20]","[63, 118, 114, 111, 62]",1,Dark Phoenix,blue,"[75, 40, 68, 47, 37]","[10, 76, 104, 119, 89]",0,16:03,963,5,4,2,1,bracket
112,20230512,Rekt Flava,blue,"[104, 103, 111, 40, 19]","[76, 75, 114, 119, 37]",1,BlackError,red,"[10, 105, 101, 47, 95]","[17, 62, 44, 118, 89]",0,18:01,1081,5,1,0,0,bracket
112,20230512,Rekt Flava,red,"[119, 47, 111, 31, 110]","[75, 89, 20, 10, 62]",1,BlackError,blue,"[19, 105, 101, 51, 104]","[44, 65, 118, 114, 76]",0,25:24,1524,5,2,1,0,bracket
112,20230512,Rekt Flava,blue,"[119, 103, 25, 40, 19]","[76, 75, 114, 10, 20]",0,BlackError,red,"[62, 105, 111, 117, 37]","[17, 47, 104, 118, 89]",1,13:55,835,5,3,2,0,bracket
112,20230512,Rekt Flava,red,"[37, 47, 52, 40, 20]","[119, 51, 104, 89, 75]",0,BlackError,blue,"[62, 105, 111, 21, 82]","[101, 44, 118, 114, 76]",1,27:08,1628,5,4,2,1,bracket
112,20230512,Rekt Flava,red,"[119, 117, 101, 105, 44]","[40, 51, 104, 89, 75]",0,BlackError,blue,"[62, 13, 101, 58, 37]","[17, 47, 118, 114, 76]",1,17:36,1056,5,5,2,2,bracket
112,20230511,Black Lotus,blue,"[37, 118, 76, 105, 44]","[89, 119, 111, 58, 117]",0,Tsvyakh,red,"[62, 40, 68, 9, 81]","[63, 104, 101, 78, 52]",1,22:03,1323,5,1,0,0,bracket
112,20230511,Black Lotus,blue,"[72, 58, 101, 40, 20]","[89, 118, 62, 9, 47]",1,Tsvyakh,red,"[44, 65, 101, 117, 37]","[63, 104, 119, 78]",0,19:40,1180,5,2,0,1,bracket
112,20230511,Black Lotus,red,"[72, 58, 101, 105, 78]","[68, 9, 119, 118, 89]",0,Tsvyakh,blue,"[62, 114, 52, 117, 104]","[20, 37, 101, 40, 63]",1,13:08,788,5,3,1,1,bracket
112,20230511,Black Lotus,blue,"[118, 117, 101, 13, 76]","[89, 62, 119, 52, 75]",0,Tsvyakh,red,"[10, 40, 25, 21, 37]","[63, 104, 101, 20, 114]",1,19:56,1196,5,4,1,2,bracket
112,20230512,Deus Vult,red,"[82, 117, 111, 114, 19]","[99, 9, 89, 118, 104]",1,Tsvyakh,blue,"[62, 65, 52, 21, 37]","[63, 20, 119, 40, 47]",0,17:47,1067,5,1,0,0,bracket
112,20230512,Deus Vult,blue,"[118, 117, 76, 105, 19]","[119, 114, 111, 81, 68]",1,Tsvyakh,red,"[62, 40, 52, 9, 37]","[47, 104, 89, 20, 75]",0,25:28,1528,5,2,1,0,bracket
112,20230512,Deus Vult,blue,"[118, 83, 68, 89, 62]","[114, 111, 119, 40, 74]",1,Tsvyakh,red,"[20, 65, 52, 21, 81]","[47, 104, 19, 117, 58]",0,16:41,1001,5,3,2,0,bracket
112,20230513,BlackError,red,"[119, 117, 76, 13, 75]","[47, 118, 104, 37, 25]",0,Deus Vult,blue,"[20, 89, 68, 83, 81]","[74, 105, 111, 62, 114]",1,17:54,1074,5,1,0,0,bracket
112,20230513,BlackError,blue,"[119, 117, 111, 53, 75]","[47, 114, 76, 25, 52]",0,Deus Vult,red,"[62, 13, 68, 83, 118]","[37, 40, 105, 104, 89]",1,13:22,802,5,2,0,1,bracket
112,20230513,BlackError,red,"[37, 47, 68, 105, 10]","[89, 118, 76, 63, 25]",0,Deus Vult,blue,"[20, 13, 52, 117, 104]","[75, 101, 111, 114, 62]",1,18:18,1098,5,3,0,2,bracket
112,20230513,Rekt Flava,blue,"[118, 103, 101, 105, 44]","[76, 111, 62, 10, 68]",1,Tsvyakh,red,"[78, 40, 25, 58, 37]","[19, 117, 89, 119, 104]",0,16:33,993,5,1,0,0,bracket
112,20230513,Rekt Flava,blue,"[118, 58, 76, 105, 110]","[89, 111, 62, 68, 52]",0,Tsvyakh,red,"[10, 40, 75, 117, 37]","[20, 19, 101, 119, 104]",1,21:06,1266,5,2,1,0,bracket
112,20230513,Rekt Flava,blue,"[72, 84, 111, 40, 78]","[76, 118, 62, 58, 117]",1,Tsvyakh,red,"[10, 114, 52, 9, 37]","[47, 19, 89, 104, 119]",0,15:20,920,5,3,1,1,bracket
112,20230513,Rekt Flava,blue,"[37, 117, 92, 40, 44]","[89, 111, 118, 81, 68]",0,Tsvyakh,red,"[62, 114, 86, 58, 112]","[52, 19, 101, 104, 119]",1,13:55,835,5,4,2,1,bracket
112,20230513,Rekt Flava,red,"[106, 84, 111, 40, 62]","[119, 101, 76, 47, 17]",1,Tsvyakh,blue,"[78, 89, 68, 58, 37]","[81, 112, 118, 114, 104]",0,20:00,1200,5,5,2,2,bracket
112,20230514,BlackError,blue,"[104, 117, 68, 13, 102]","[114, 118, 76, 62, 44]",0,Rekt Flava,red,"[78, 40, 111, 47, 37]","[101, 10, 105, 75, 89]",1,17:52,1072,5,1,0,0,bracket
112,20230514,BlackError,blue,"[104, 103, 101, 105, 75]","[76, 118, 47, 40, 65]",1,Rekt Flava,red,"[62, 13, 111, 17, 97]","[117, 58, 119, 89, 114]",0,29:09,1749,5,2,0,1,bracket
112,20230514,BlackError,red,"[37, 58, 111, 114, 62]","[89, 118, 47, 17, 65]",1,Rekt Flava,blue,"[44, 40, 52, 84, 104]","[82, 119, 76, 105, 75]",0,10:54,654,5,3,1,1,bracket
112,20230514,BlackError,red,"[82, 51, 76, 105, 62]","[89, 118, 47, 40, 65]",1,Rekt Flava,blue,"[57, 31, 111, 58, 119]","[37, 95, 104, 114, 75]",0,12:44,764,5,4,2,1,bracket
112,20230514,Deus Vult,blue,"[104, 83, 68, 13, 63]","[62, 114, 111, 51, 37]",1,BlackError,red,"[75, 105, 76, 21, 82]","[101, 25, 47, 118, 89]",0,21:33,1293,7,1,0,0,bracket
112,20230514,Deus Vult,blue,"[104, 83, 25, 13, 44]","[51, 114, 62, 75, 10]",1,BlackError,red,"[20, 105, 111, 103, 37]","[101, 63, 118, 89, 47]",0,16:27,987,7,2,1,0,bracket
112,20230514,Deus Vult,blue,"[104, 117, 68, 105, 44]","[51, 114, 62, 40, 13]",0,BlackError,red,"[75, 100, 111, 47, 82]","[25, 63, 83, 89, 118]",1,14:14,854,7,3,2,0,bracket
112,20230514,Deus Vult,red,"[104, 58, 68, 13, 62]","[89, 51, 75, 82, 37]",1,BlackError,blue,"[20, 105, 111, 83, 119]","[25, 101, 118, 114, 47]",0,19:39,1179,7,4,2,1,bracket
112,20230514,Deus Vult,blue,"[81, 47, 101, 105, 62]","[51, 114, 75, 40, 13]",1,BlackError,red,"[10, 100, 111, 117, 104]","[82, 25, 83, 118, 89]",0,23:29,1409,7,5,3,1,bracket
112,20230401,Deus Vult,blue,"[119, 117, 92, 13, 63]","[114, 101, 62, 48, 20]",0,Rekt Flava,red,"[35, 105, 52, 58, 104]","[40, 76, 89, 111, 118]",1,24:37,1477,1,1,0,0,qualifiers
112,20230401,BlackError,blue,"[104, 99, 101, 40, 20]","[119, 114, 76, 105, 95]",1,Dark Phoenix,red,"[63, 100, 111, 117, 37]","[21, 79, 58, 89, 118]",0,11:56,716,1,1,0,0,qualifiers
112,20230401,Tsvyakh,red,"[104, 58, 52, 65, 24]","[118, 117, 89, 63, 62]",0,Deus Vult,blue,"[20, 105, 101, 47, 103]","[30, 18, 114, 48, 76]",1,17:38,1058,1,1,0,0,qualifiers
112,20230401,Black Lotus,blue,"[104, 99, 101, 13, 20]","[119, 114, 89, 82, 62]",1,Tsvyakh,red,"[24, 105, 52, 117, 37]","[48, 58, 63, 76, 118]",0,10:53,653,1,1,0,0,qualifiers
112,20230401,1SORT,blue,"[16, 58, 68, 114, 20]","[119, 104, 37, 52, 92]",1,Cruise,red,"[62, 40, 101, 117, 82]","[105, 48, 76, 89, 118]",0,14:44,884,1,1,0,0,qualifiers
112,20230401,Black Lotus,blue,"[44, 58, 111, 105, 63]","[114, 89, 76, 13, 100]",1,1SORT,red,"[62, 40, 68, 117, 16]","[37, 52, 104, 119, 118]",0,16:51,1011,1,1,0,0,qualifiers
112,20230402,Rekt Flava,blue,"[37, 103, 76, 40, 48]","[114, 89, 16, 111, 52]",1,1SORT,red,"[20, 105, 92, 58, 103]","[21, 9, 118, 119, 104]",0,22:37,1357,1,1,0,0,qualifiers
112,20230402,Rekt Flava,blue,"[103, 117, 101, 89, 14]","[114, 104, 76, 106, 21]",0,BlackError,red,"[20, 40, 111, 58, 37]","[44, 62, 48, 118, 119]",1,16:52,1012,1,1,0,0,qualifiers
112,20230402,BlackError,blue,"[37, 79, 111, 114, 75]","[76, 62, 48, 119, 9]",1,Deus Vult,red,"[63, 105, 101, 117, 103]","[89, 20, 23, 104, 118]",0,18:12,1092,1,1,0,0,qualifiers
112,20230402,Black Lotus,blue,"[104, 103, 101, 13, 63]","[119, 114, 89, 62, 20]",0,Dark Phoenix,red,"[75, 40, 111, 117, 82]","[68, 58, 76, 105, 118]",1,17:54,1074,1,1,0,0,qualifiers
112,20230402,Cruise,blue,"[119, 58, 101, 100, 75]","[105, 104, 62, 48, 63]",0,Dark Phoenix,red,"[20, 40, 76, 117, 37]","[111, 13, 89, 114, 118]",1,18:39,1119,1,1,0,0,qualifiers
112,20230402,Tsvyakh,blue,"[37, 99, 68, 114, 44]","[119, 105, 76, 40, 111]",1,Cruise,red,"[75, 13, 101, 58, 104]","[24, 62, 89, 117, 118]",0,14:25,865,1,1,0,0,qualifiers
112,20230408,BlackError,blue,"[37, 51, 76, 114, 20]","[16, 89, 17, 58, 82]",1,1SORT,red,"[48, 105, 111, 9, 117]","[34, 75, 118, 104, 119]",0,15:03,903,1,1,0,0,qualifiers
112,20230408,1SORT,blue,"[37, 117, 52, 89, 62]","[119, 48, 118, 58, 47]",1,Deus Vult,red,"[63, 114, 76, 9, 82]","[53, 60, 16, 19, 104]",0,16:01,961,1,1,0,0,qualifiers
112,20230408,Black Lotus,blue,"[104, 99, 68, 114, 34]","[89, 44, 48, 40, 105]",0,Rekt Flava,red,"[20, 65, 111, 103, 119]","[75, 117, 76, 118, 63]",1,22:48,1368,1,1,0,0,qualifiers
112,20230408,Cruise,blue,"[104, 117, 75, 105, 75]","[76, 63, 118, 34, 20]",0,Black Lotus,red,"[44, 114, 111, 103, 82]","[58, 101, 48, 17, 89]",1,11:28,688,1,1,0,0,qualifiers
112,20230408,Tsvyakh,blue,"[112, 99, 118, 105, 62]","[76, 63, 76, 48, 82]",1,Dark Phoenix,red,"[10, 114, 111, 117, 37]","[58, 51, 74, 104, 89]",0,14:29,869,1,1,0,0,qualifiers
112,20230409,Dark Phoenix,blue,"[74, 117, 101, 114, 20]","[89, 16, 58, 105, 9]",1,1SORT,red,"[48, 40, 52, 62, 118]","[68, 111, 119, 76, 63]",0,19:57,1197,1,1,0,0,qualifiers
112,20230409,Tsvyakh,blue,"[112, 51, 68, 105, 104]","[76, 62, 89, 48, 20]",0,Rekt Flava,red,"[44, 65, 111, 58, 119]","[99, 75, 24, 114, 118]",1,17:51,1071,1,1,0,0,qualifiers
112,20230409,Dark Phoenix,blue,"[82, 117, 56, 40, 62]","[89, 119, 76, 48, 75]",0,Rekt Flava,red,"[20, 65, 111, 103, 104]","[9, 63, 58, 114, 118]",1,22:38,1358,1,1,0,0,qualifiers
112,20230409,Deus Vult,blue,"[104, 83, 52, 13, 48]","[23, 89, 76, 37, 63]",1,Cruise,red,"[75, 114, 111, 17, 59]","[6, 117, 119, 62, 118]",0,26:05,1565,1,1,0,0,qualifiers
112,20230409,Cruise,blue,"[95, 58, 101, 114, 62]","[76, 37, 105, 20, 75]",1,BlackError,red,"[19, 40, 111, 79, 104]","[119, 48, 89, 118, 17]",0,21:14,1274,1,1,0,0,qualifiers
112,20230409,BlackError,blue,"[37, 79, 101, 114, 35]","[76, 44, 62, 48, 20]",0,Black Lotus,red,"[63, 13, 111, 117, 104]","[103, 62, 89, 75, 118]",1,10:58,658,1,1,0,0,qualifiers
112,20230415,1SORT,blue,"[104, 47, 33, 40, 44]","[114, 24, 76, 105, 65]",0,Tsvyakh,red,"[62, 31, 68, 58, 119]","[92, 117, 111, 89, 118]",1,13:53,833,1,1,0,0,qualifiers
112,20230415,Tsvyakh,blue,"[104, 58, 118, 53, 35]","[76, 119, 89, 51, 9]",0,BlackError,red,"[62, 40, 111, 83, 37]","[105, 65, 1, 114, 24]",1,12:25,745,1,1,0,0,qualifiers
112,20230415,Dark Phoenix,blue,"[95, 117, 52, 100, 101]","[89, 58, 104, 83, 47]",0,Deus Vult,red,"[62, 105, 111, 79, 37]","[20, 74, 119, 114, 118]",1,19:07,1147,1,1,0,0,qualifiers
112,20230415,Rekt Flava,blue,"[117, 21, 76, 100, 62]","[17, 104, 111, 75, 20]",0,Cruise,red,"[10, 105, 101, 58, 119]","[40, 65, 114, 118, 89]",1,17:37,1057,1,1,0,0,qualifiers
112,20230415,Deus Vult,blue,"[104, 47, 52, 53, 44]","[114, 62, 111, 105, 40]",1,Black Lotus,red,"[63, 13, 76, 58, 82]","[20, 48, 118, 89, 119]",0,16:32,992,1,1,0,0,qualifiers
