tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
114,20230505,DreamMax Ice,red,"[82, 47, 101, 65, 44]","[104, 89, 58, 75, 52]",1,S11 Gaming,blue,"[78, 114, 115, 118, 37]","[35, 10, 62, 111, 119]",0,24:09,1449,3,1,0,0,bracket
114,20230505,DreamMax Ice,blue,"[104, 21, 68, 100, 10]","[119, 114, 58, 117, 93]",0,S11 Gaming,red,"[20, 65, 101, 47, 118]","[111, 75, 89, 76, 62]",1,23:42,1422,3,2,1,0,bracket
114,20230505,DreamMax Ice,blue,"[104, 117, 118, 65, 26]","[47, 101, 17, 105, 53]",0,S11 Gaming,red,"[44, 114, 76, 58, 37]","[9, 111, 89, 119, 62]",1,24:36,1476,3,3,1,1,bracket
114,20230505,Íntimos,red,"[81, 47, 111, 114, 20]","[65, 118, 104, 69, 17]",1,S11 Gaming,blue,"[44, 105, 101, 117, 37]","[95, 35, 89, 62, 119]",0,14:21,861,3,1,0,0,bracket
114,20230505,Íntimos,blue,"[81, 118, 111, 40, 78]","[65, 62, 104, 115, 52]",1,S11 Gaming,red,"[44, 100, 75, 47, 37]","[117, 35, 114, 89, 119]",0,25:10,1510,3,2,1,0,bracket
114,20230505,New Wave Arg,blue,"[37, 44, 52, 105, 62]","[111, 104, 89, 95, 78]",1,Warriors Team,red,"[102, 65, 101, 117, 82]","[9, 40, 119, 114, 118]",0,20:53,1253,3,1,0,0,bracket
114,20230505,New Wave Arg,red,"[119, 47, 76, 40, 20]","[118, 89, 114, 78, 58]",1,Warriors Team,blue,"[29, 100, 111, 8, 104]","[44, 9, 101, 37, 62]",0,20:37,1237,3,2,1,0,bracket
114,20230505,Infamous,red,"[37, 51, 111, 13, 78]","[114, 89, 104, 44, 100]",1,New Wave Arg,blue,"[62, 40, 75, 58, 119]","[10, 9, 118, 101, 52]",0,13:28,808,3,1,0,0,bracket
114,20230505,Infamous,blue,"[118, 21, 101, 100, 44]","[76, 62, 111, 9, 10]",1,New Wave Arg,red,"[26, 40, 52, 17, 119]","[105, 51, 104, 89, 114]",0,12:02,722,3,2,1,0,bracket
114,20230506,Íntimos,blue,"[104, 47, 76, 31, 78]","[101, 111, 62, 105, 100]",1,Infamous,red,"[10, 60, 52, 117, 37]","[40, 65, 118, 89, 114]",0,17:10,1030,5,1,0,0,bracket
114,20230506,Íntimos,red,"[104, 58, 111, 40, 10]","[101, 89, 118, 51, 62]",0,Infamous,blue,"[102, 114, 52, 9, 119]","[78, 44, 17, 47, 76]",1,14:07,847,5,2,1,0,bracket
