tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
116,20230428,New Wave Colombia,blue,"[82, 117, 111, 105, 20]","[47, 62, 104, 19, 78]",1,MTY Esports,red,"[93, 40, 76, 58, 37]","[48, 44, 118, 119, 114]",0,13:30,810,3,1,0,0,bracket
116,20230428,New Wave Colombia,red,"[119, 117, 101, 31, 9]","[62, 118, 104, 40, 37]",1,MTY Esports,blue,"[44, 105, 75, 47, 95]","[78, 20, 76, 111, 114]",0,14:08,848,3,2,1,0,bracket
116,20230428,IGNIS Esports,red,"[119, 58, 92, 40, 104]","[111, 117, 74, 20, 21]",0,New Wave Colombia,blue,"[78, 105, 101, 9, 118]","[44, 47, 76, 89, 62]",1,17:33,1053,3,1,0,0,bracket
116,20230428,IGNIS Esports,blue,"[97, 99, 76, 105, 44]","[111, 118, 119, 20, 9]",0,New Wave Colombia,red,"[93, 114, 101, 117, 37]","[47, 95, 104, 89, 62]",1,19:17,1157,3,2,0,1,bracket
116,20230428,GMX Colombia,blue,"[119, 117, 92, 53, 62]","[73, 76, 37, 57, 20]",0,Skull Cracker,red,"[44, 65, 111, 83, 104]","[19, 43, 118, 74, 58]",1,22:05,1325,3,1,0,0,bracket
116,20230428,GMX Colombia,red,"[117, 99, 101, 65, 62]","[118, 73, 37, 74, 105]",0,Skull Cracker,blue,"[19, 65, 111, 9, 95]","[81, 104, 58, 74, 119]",1,17:41,1061,3,2,0,1,bracket
116,20230428,ESTORM,blue,"[118, 9, 115, 65, 20]","[73, 111, 76, 114, 53]",1,Skull Cracker,red,"[19, 40, 101, 47, 74]","[48, 10, 119, 44, 52]",0,17:05,1025,3,1,0,0,bracket
116,20230428,ESTORM,red,"[37, 58, 101, 65, 20]","[118, 111, 73, 47, 19]",1,Skull Cracker,blue,"[62, 105, 52, 21, 95]","[99, 117, 9, 44, 119]",0,22:10,1330,3,2,1,0,bracket
116,20230429,New Wave Colombia,red,"[119, 117, 92, 65, 44]","[89, 62, 76, 95, 20]",1,ESTORM,blue,"[10, 114, 52, 9, 104]","[21, 47, 118, 101, 111]",0,19:12,1152,5,1,0,0,bracket
116,20230429,New Wave Colombia,blue,"[117, 21, 101, 114, 9]","[89, 62, 104, 92, 83]",0,ESTORM,red,"[44, 65, 115, 58, 37]","[95, 20, 119, 118, 111]",1,22:45,1365,5,2,1,0,bracket
