tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
117,20230419,Bren Euphoria,red,"[119, 117, 101, 65, 78]","[118, 89, 76, 52, 62]",1,MHRLK Esports,blue,"[44, 105, 25, 47, 104]","[84, 58, 17, 111, 75]",0,21:28,1288,3,1,0,0,bracket
117,20230419,Bren Euphoria,blue,"[81, 117, 101, 89, 44]","[75, 111, 104, 84, 17]",1,MHRLK Esports,red,"[20, 105, 76, 8, 106]","[78, 10, 119, 62, 118]",0,15:06,906,3,2,1,0,bracket
117,20230419,GameLab,red,"[44, 47, 111, 65, 78]","[118, 89, 104, 26, 48]",1,GPX,blue,"[20, 114, 52, 17, 82]","[93, 88, 119, 62, 76]",0,23:24,1404,3,1,0,0,bracket
117,20230419,GameLab,blue,"[117, 17, 76, 65, 20]","[104, 101, 62, 58, 9]",1,GPX,red,"[78, 100, 52, 47, 44]","[48, 88, 119, 89, 118]",0,17:47,1067,3,2,1,0,bracket
117,20230420,Bren Euphoria,blue,"[104, 117, 76, 40, 29]","[62, 111, 17, 114, 78]",1,GameLab,red,"[44, 100, 101, 47, 119]","[105, 65, 89, 118, 75]",0,24:22,1462,3,1,0,0,bracket
117,20230420,Bren Euphoria,red,"[104, 17, 25, 40, 78]","[89, 118, 119, 44, 100]",1,GameLab,blue,"[62, 31, 101, 47, 117]","[65, 52, 111, 76, 75]",0,26:09,1569,3,2,1,0,bracket
117,20230420,MHRLK Esports,blue,"[119, 84, 76, 73, 62]","[75, 17, 111, 78, 104]",0,GPX,red,"[44, 114, 52, 47, 82]","[103, 65, 105, 89, 118]",1,21:22,1282,3,1,0,0,bracket
117,20230420,MHRLK Esports,blue,"[119, 58, 101, 114, 26]","[17, 75, 52, 25, 65]",0,GPX,red,"[62, 31, 111, 47, 104]","[34, 78, 89, 105, 118]",1,23:29,1409,3,2,0,1,bracket
117,20230420,GameLab,red,"[97, 47, 76, 40, 20]","[118, 89, 104, 58, 9]",1,GPX,blue,"[44, 65, 111, 21, 95]","[48, 78, 17, 119, 62]",0,14:23,863,3,1,0,0,bracket
117,20230420,GameLab,blue,"[97, 17, 76, 65, 44]","[104, 62, 101, 100, 82]",1,GPX,red,"[20, 105, 111, 47, 74]","[40, 114, 119, 89, 118]",0,18:55,1135,3,2,1,0,bracket
117,20230426,Bren Euphoria,red,"[97, 84, 111, 40, 44]","[89, 17, 76, 29, 105]",1,GameLab,blue,"[20, 73, 101, 47, 104]","[10, 51, 118, 62, 78]",0,18:58,1138,5,1,0,0,bracket
117,20230426,Bren Euphoria,blue,"[37, 17, 25, 40, 10]","[62, 76, 111, 101, 51]",0,GameLab,red,"[44, 105, 52, 58, 118]","[104, 75, 119, 78, 89]",1,29:36,1776,5,2,1,0,bracket
117,20230426,Bren Euphoria,red,"[118, 51, 111, 105, 44]","[89, 17, 101, 10, 48]",1,GameLab,blue,"[29, 40, 76, 117, 119]","[100, 73, 62, 104, 78]",0,13:48,828,5,3,1,1,bracket
117,20230426,Bren Euphoria,blue,"[117, 103, 111, 65, 26]","[62, 17, 118, 51, 100]",0,GameLab,red,"[44, 53, 76, 47, 119]","[84, 97, 78, 104, 89]",1,22:47,1367,5,4,2,1,bracket
117,20230426,Bren Euphoria,red,"[118, 51, 111, 105, 29]","[89, 76, 17, 58, 84]",1,GameLab,blue,"[44, 65, 52, 9, 119]","[10, 40, 104, 78, 62]",0,21:34,1294,5,5,2,2,bracket
