tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
12,20230927,RRQ Akira,red,"[82, 44, 75, 12, 112]","[17, 102, 55, 58, 47]",0,IGNIS Esports,blue,"[14, 43, 76, 83, 95]","[105, 121, 117, 111, 87]",1,23:45,1425,3,1,0,0,bracket
12,20230927,RRQ Akira,blue,"[81, 44, 111, 40, 62]","[83, 43, 55, 89, 12]",1,IGNIS Esports,red,"[14, 13, 120, 58, 112]","[9, 26, 102, 117, 87]",0,14:02,842,3,2,0,1,bracket
12,20230927,RRQ Akira,red,"[82, 58, 120, 12, 14]","[83, 43, 102, 95, 76]",1,IGNIS Esports,blue,"[26, 100, 55, 85, 44]","[78, 62, 117, 111, 87]",0,16:41,1001,3,3,1,1,bracket
12,20230927,Real Stars Esports,blue,"[82, 118, 102, 65, 78]","[14, 55, 120, 105, 12]",1,Skull Cracker,red,"[112, 43, 111, 58, 83]","[86, 121, 62, 117, 87]",0,15:20,920,3,1,0,0,bracket
12,20230927,Real Stars Esports,red,"[83, 87, 120, 89, 19]","[102, 55, 14, 12, 47]",1,Skull Cracker,blue,"[110, 121, 86, 21, 112]","[43, 65, 62, 78, 118]",0,11:29,689,3,2,1,0,bracket
12,20230927,RRQ Akira,blue,"[59, 117, 86, 89, 26]","[118, 43, 17, 83, 47]",1,Real Stars Esports,red,"[44, 12, 102, 84, 112]","[120, 103, 82, 87, 111]",0,13:36,816,3,1,0,0,bracket
12,20230927,RRQ Akira,red,"[81, 44, 75, 12, 62]","[43, 83, 55, 82, 95]",1,Real Stars Esports,blue,"[19, 40, 102, 118, 37]","[89, 112, 117, 111, 87]",0,12:07,727,3,2,1,0,bracket
12,20230928,Imperio,red,"[83, 30, 120, 121, 78]","[111, 102, 117, 86, 52]",1,ESTORM,blue,"[112, 12, 115, 44, 97]","[43, 110, 87, 55, 14]",0,14:36,876,3,1,0,0,bracket
12,20230928,Imperio,blue,"[98, 9, 111, 89, 44]","[112, 117, 62, 120, 86]",1,ESTORM,red,"[14, 43, 92, 58, 82]","[12, 30, 83, 87, 102]",0,15:38,938,3,2,1,0,bracket
12,20230928,DreamMax Ice,red,"[112, 87, 120, 89, 62]","[111, 102, 14, 110, 34]",1,Bigetron Sons,blue,"[19, 43, 101, 117, 82]","[40, 95, 118, 75, 26]",0,28:42,1722,3,1,0,0,bracket
12,20230928,DreamMax Ice,blue,"[59, 47, 111, 105, 112]","[102, 14, 87, 110, 55]",1,Bigetron Sons,red,"[34, 65, 120, 117, 83]","[43, 62, 118, 75, 26]",0,14:54,894,3,2,1,0,bracket
12,20230928,Imperio,blue,"[95, 28, 55, 121, 62]","[26, 112, 117, 120, 82]",1,DreamMax Ice,red,"[78, 40, 23, 87, 59]","[65, 89, 111, 30, 102]",0,18:49,1129,3,1,0,0,bracket
12,20230928,Imperio,red,"[95, 83, 52, 100, 14]","[26, 75, 111, 82, 103]",0,DreamMax Ice,blue,"[62, 43, 120, 117, 118]","[12, 55, 87, 102, 30]",1,13:21,801,3,2,1,0,bracket
12,20230928,Imperio,blue,"[85, 87, 86, 12, 112]","[26, 117, 111, 118, 82]",1,DreamMax Ice,red,"[44, 65, 120, 47, 37]","[89, 43, 62, 102, 30]",0,14:03,843,3,3,1,1,bracket
12,20230929,RRQ Akira,red,"[82, 9, 86, 12, 19]","[55, 83, 112, 85, 95]",1,Imperio,blue,"[102, 121, 120, 87, 37]","[26, 44, 111, 62, 117]",0,10:36,636,5,1,0,0,bracket
12,20230929,RRQ Akira,blue,"[82, 87, 102, 105, 78]","[55, 28, 83, 85, 95]",1,Imperio,red,"[112, 12, 86, 30, 103]","[26, 120, 111, 62, 117]",0,17:05,1025,5,2,1,0,bracket
12,20230929,RRQ Akira,red,"[112, 58, 75, 12, 19]","[55, 83, 87, 82, 85]",0,Imperio,blue,"[44, 89, 111, 30, 72]","[59, 95, 117, 62, 102]",1,25:09,1509,5,3,2,0,bracket
12,20230929,RRQ Akira,red,"[82, 44, 75, 40, 62]","[55, 30, 83, 89, 28]",1,Imperio,blue,"[112, 13, 86, 9, 85]","[58, 12, 111, 102, 117]",0,23:26,1406,5,4,2,1,bracket
12,20230929,IGNIS Esports,red,"[95, 9, 55, 121, 26]","[102, 111, 87, 21, 86]",1,Skull Cracker,blue,"[14, 43, 75, 44, 112]","[76, 58, 117, 83, 120]",0,16:03,963,3,1,0,0,bracket
12,20230929,IGNIS Esports,red,"[95, 117, 101, 100, 112]","[111, 102, 14, 82, 12]",0,Skull Cracker,blue,"[62, 40, 86, 87, 59]","[43, 76, 55, 83, 120]",1,18:45,1125,3,2,1,0,bracket
12,20230929,IGNIS Esports,blue,"[59, 58, 86, 40, 10]","[14, 55, 83, 121, 43]",0,Skull Cracker,red,"[62, 105, 75, 117, 95]","[76, 9, 111, 102, 87]",1,18:00,1080,3,3,1,1,bracket
12,20230930,DreamMax Ice,red,"[82, 117, 111, 43, 10]","[83, 102, 112, 12, 59]",1,Skull Cracker,blue,"[14, 105, 86, 87, 95]","[78, 55, 62, 120, 26]",0,16:34,994,3,1,0,0,bracket
12,20230930,DreamMax Ice,blue,"[59, 117, 86, 105, 78]","[83, 102, 112, 9, 40]",1,Skull Cracker,red,"[62, 12, 111, 58, 82]","[89, 95, 120, 26, 87]",0,14:23,863,3,2,1,0,bracket
