tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
13,20230831,Mongolia,blue,"[103, 117, 120, 114, 26]","[101, 62, 118, 82, 112]",0,Egypt,red,"[10, 100, 111, 17, 99]","[75, 76, 105, 78, 9]",1,15:40,940,3,1,0,0,bracket
13,20230831,Mongolia,red,"[95, 58, 101, 100, 20]","[43, 65, 75, 118, 17]",0,Egypt,blue,"[62, 13, 111, 47, 82]","[10, 78, 117, 76, 105]",1,17:31,1051,3,2,0,1,bracket
13,20230831,Saudi Arabia,blue,"[112, 47, 111, 65, 62]","[120, 87, 55, 110, 95]",0,Kazakhstan,red,"[78, 100, 101, 58, 37]","[9, 84, 75, 117, 118]",1,18:27,1107,3,1,0,0,bracket
13,20230831,Saudi Arabia,red,"[82, 87, 111, 40, 10]","[95, 110, 101, 55, 119]",1,Kazakhstan,blue,"[112, 65, 57, 117, 37]","[53, 105, 84, 75, 118]",0,22:40,1360,3,2,0,1,bracket
13,20230831,Saudi Arabia,blue,"[82, 87, 111, 40, 78]","[119, 101, 55, 95, 100]",1,Kazakhstan,red,"[62, 53, 76, 58, 37]","[117, 118, 75, 10, 110]",0,19:18,1158,3,3,1,1,bracket
13,20230901,Egypt,red,"[59, 84, 111, 13, 78]","[105, 40, 10, 75, 26]",0,Saudi Arabia,blue,"[119, 43, 101, 117, 82]","[95, 47, 118, 62, 17]",1,18:03,1083,3,1,0,0,bracket
13,20230901,Egypt,blue,"[99, 49, 111, 105, 10]","[101, 26, 82, 83, 65]",1,Saudi Arabia,red,"[78, 40, 75, 117, 112]","[17, 118, 62, 58, 47]",0,25:29,1529,3,2,0,1,bracket
13,20230901,Egypt,red,"[82, 47, 111, 65, 76]","[105, 40, 117, 26, 101]",0,Saudi Arabia,blue,"[10, 43, 75, 87, 112]","[48, 78, 118, 62, 17]",1,13:45,825,3,3,1,1,bracket
13,20230831,Indonesia,blue,"[103, 117, 120, 105, 62]","[34, 101, 87, 99, 58]",1,Brazil,red,"[78, 43, 111, 80, 59]","[75, 40, 84, 118, 17]",0,14:01,841,3,1,0,0,bracket
13,20230831,Indonesia,red,"[82, 58, 111, 114, 93]","[25, 52, 110, 101, 34]",1,Brazil,blue,"[20, 100, 120, 117, 103]","[55, 87, 118, 62, 17]",0,20:15,1215,3,2,1,0,bracket
13,20230831,Philippines,blue,"[104, 117, 75, 65, 10]","[101, 76, 62, 58, 87]",1,United Arab Emirates,red,"[110, 105, 120, 2, 103]","[17, 84, 118, 82, 78]",0,14:18,858,3,1,0,0,bracket
13,20230831,Philippines,red,"[82, 58, 52, 100, 120]","[57, 93, 76, 62, 101]",1,United Arab Emirates,blue,"[55, 114, 111, 117, 95]","[87, 10, 84, 75, 17]",0,14:00,840,3,2,1,0,bracket
13,20230901,Indonesia,blue,"[59, 117, 111, 65, 55]","[75, 17, 103, 58, 87]",0,Philippines,red,"[10, 100, 120, 47, 82]","[62, 118, 101, 93, 95]",1,11:00,660,3,1,0,0,bracket
13,20230901,Indonesia,red,"[98, 118, 111, 100, 20]","[117, 47, 75, 82, 17]",0,Philippines,blue,"[10, 105, 120, 87, 103]","[29, 95, 101, 76, 62]",1,11:55,715,3,2,0,1,bracket
13,20230902,Saudi Arabia,blue,"[112, 117, 111, 43, 10]","[17, 118, 76, 100, 105]",0,Philippines,red,"[78, 13, 120, 87, 103]","[40, 82, 75, 101, 62]",1,16:18,978,3,1,0,0,bracket
13,20230902,Saudi Arabia,red,"[82, 87, 111, 40, 112]","[17, 118, 120, 103, 105]",0,Philippines,blue,"[10, 100, 52, 117, 83]","[26, 78, 75, 101, 62]",1,11:57,717,3,2,0,1,bracket
13,20230901,Mongolia,red,"[117, 84, 111, 43, 76]","[75, 55, 62, 100, 65]",1,Kazakhstan,blue,"[120, 105, 101, 87, 95]","[21, 82, 47, 17, 118]",0,13:40,820,3,1,0,0,bracket
13,20230901,Mongolia,blue,"[83, 47, 111, 43, 10]","[75, 62, 55, 78, 110]",0,Kazakhstan,red,"[112, 65, 101, 87, 82]","[118, 119, 76, 19, 26]",1,14:38,878,3,2,1,0,bracket
13,20230901,Mongolia,blue,"[82, 117, 111, 53, 110]","[87, 75, 62, 43, 100]",1,Kazakhstan,red,"[55, 65, 120, 58, 37]","[118, 76, 101, 10, 105]",0,21:42,1302,3,3,1,1,bracket
13,20230902,Indonesia,blue,"[83, 117, 111, 65, 44]","[76, 82, 120, 110, 87]",0,Mongolia,red,"[78, 100, 101, 58, 112]","[95, 104, 103, 62, 118]",1,15:21,921,3,1,0,0,bracket
13,20230902,Indonesia,red,"[59, 58, 101, 114, 120]","[82, 103, 112, 84, 110]",1,Mongolia,blue,"[10, 100, 76, 117, 104]","[47, 87, 17, 118, 62]",0,25:23,1523,3,2,0,1,bracket
13,20230902,Indonesia,blue,"[117, 17, 75, 40, 62]","[82, 112, 76, 10, 78]",1,Mongolia,red,"[9, 100, 120, 87, 119]","[118, 101, 103, 95, 105]",0,20:20,1220,3,3,1,1,bracket
13,20230901,Brazil,blue,"[59, 117, 111, 43, 102]","[55, 87, 62, 40, 95]",1,United Arab Emirates,red,"[120, 100, 101, 58, 82]","[110, 65, 34, 78, 20]",0,27:29,1649,3,1,0,0,bracket
13,20230901,Brazil,red,"[82, 58, 111, 65, 20]","[40, 95, 62, 55, 101]",1,United Arab Emirates,blue,"[78, 53, 120, 117, 83]","[100, 43, 87, 34, 110]",0,11:59,719,3,2,1,0,bracket
13,20230901,Egypt,red,"[82, 17, 120, 43, 44]","[76, 111, 117, 101, 75]",1,Brazil,blue,"[34, 65, 25, 87, 112]","[78, 100, 62, 10, 118]",0,15:00,900,3,1,0,0,bracket
13,20230901,Egypt,blue,"[117, 17, 120, 100, 78]","[76, 101, 75, 44, 20]",1,Brazil,red,"[29, 105, 111, 58, 82]","[10, 118, 62, 110, 59]",0,15:29,929,3,2,1,0,bracket
13,20230902,Indonesia,red,"[103, 87, 76, 105, 120]","[100, 78, 82, 17, 10]",1,Egypt,blue,"[19, 40, 111, 118, 117]","[110, 55, 62, 75, 101]",0,11:28,688,3,1,0,0,bracket
13,20230902,Indonesia,blue,"[104, 118, 76, 105, 62]","[10, 82, 17, 99, 59]",0,Egypt,red,"[78, 100, 120, 117, 95]","[101, 75, 103, 47, 87]",1,13:48,828,3,2,1,0,bracket
13,20230902,Indonesia,red,"[44, 47, 120, 100, 9]","[40, 105, 78, 10, 117]",1,Egypt,blue,"[62, 13, 75, 17, 104]","[87, 82, 103, 76, 101]",0,19:49,1189,3,3,1,1,bracket
13,20230902,Saudi Arabia,red,"[82, 117, 101, 43, 10]","[17, 118, 103, 111, 95]",0,Indonesia,blue,"[55, 100, 120, 87, 83]","[105, 40, 75, 62, 112]",1,16:55,1015,3,1,0,0,bracket
13,20230902,Saudi Arabia,blue,"[82, 117, 111, 100, 10]","[17, 118, 103, 55, 78]",0,Indonesia,red,"[120, 105, 101, 87, 83]","[47, 58, 62, 75, 112]",1,17:53,1073,3,2,0,1,bracket
13,20230903,Philippines,blue,"[82, 87, 111, 65, 44]","[62, 101, 76, 17, 47]",0,Indonesia,red,"[48, 100, 75, 117, 83]","[13, 55, 103, 120, 10]",1,29:37,1777,5,1,0,0,bracket
13,20230903,Philippines,red,"[82, 117, 52, 65, 57]","[101, 103, 62, 55, 83]",1,Indonesia,blue,"[19, 105, 120, 87, 44]","[17, 47, 75, 100, 10]",0,13:54,834,5,2,0,1,bracket
13,20230903,Philippines,blue,"[83, 117, 52, 100, 19]","[101, 62, 75, 55, 43]",1,Indonesia,red,"[87, 114, 76, 17, 59]","[57, 111, 103, 10, 120]",0,15:56,956,5,3,1,1,bracket
13,20230903,Philippines,red,"[119, 117, 52, 43, 57]","[101, 62, 103, 55, 105]",1,Indonesia,blue,"[120, 13, 111, 87, 83]","[65, 17, 75, 100, 10]",0,13:44,824,5,4,2,1,bracket
13,20230829,United Arab Emirates,red,"[82, 87, 101, 13, 55]","[117, 19, 78, 83, 65]",1,Namibia,blue,"[70, 114, 120, 99, 95]","[58, 89, 111, 53, 110]",0,09:09,549,3,1,0,0,qualifiers
13,20230829,United Arab Emirates,blue,"[59, 117, 101, 100, 120]","[78, 19, 82, 83, 75]",1,Namibia,red,"[6, 13, 38, 99, 11]","[105, 89, 53, 55, 110]",0,07:23,443,3,2,1,0,qualifiers
13,20230829,Mongolia,red,"[103, 117, 111, 43, 26]","[62, 101, 118, 58, 87]",1,Georgia,blue,"[55, 53, 120, 28, 95]","[44, 78, 75, 17, 84]",0,10:45,645,3,1,0,0,qualifiers
13,20230829,Mongolia,blue,"[82, 117, 76, 40, 10]","[62, 118, 101, 111, 120]",1,Georgia,red,"[78, 60, 55, 87, 103]","[65, 43, 75, 84, 17]",0,14:33,873,3,2,1,0,qualifiers
