tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
14,20230721,ONIC Esports,red,"[119, 118, 111, 89, 35]","[101, 59, 84, 112, 114]",1,Red Giants Esports,blue,"[62, 105, 101, 21, 103]","[82, 78, 117, 17, 75]",0,13:39,819,3,1,0,0,bracket
14,20230721,ONIC Esports,blue,"[119, 84, 52, 105, 35]","[55, 112, 59, 118, 44]",1,Red Giants Esports,red,"[26, 65, 111, 87, 95]","[89, 73, 103, 17, 75]",0,26:15,1575,3,2,1,0,bracket
14,20230721,RSG Philippines,red,"[119, 8, 111, 40, 10]","[75, 17, 84, 76, 103]",0,ONIC Esports,blue,"[62, 65, 120, 117, 88]","[87, 89, 58, 101, 59]",1,14:57,897,3,1,0,0,bracket
14,20230721,RSG Philippines,red,"[104, 117, 111, 40, 20]","[75, 84, 17, 88, 82]",0,ONIC Esports,blue,"[62, 65, 55, 118, 119]","[81, 10, 58, 101, 59]",1,15:55,955,3,2,0,1,bracket
14,20230721,ECHO,red,"[59, 87, 101, 100, 62]","[55, 114, 103, 85, 10]",1,Bigetron Alpha,blue,"[76, 105, 78, 118, 29]","[73, 84, 65, 75, 111]",0,20:09,1209,3,1,0,0,bracket
14,20230721,ECHO,blue,"[85, 8, 52, 100, 62]","[55, 114, 103, 10, 89]",0,Bigetron Alpha,red,"[93, 105, 76, 17, 59]","[117, 58, 101, 65, 111]",1,14:10,850,3,2,1,0,bracket
14,20230721,ECHO,red,"[103, 84, 75, 100, 10]","[55, 114, 76, 52, 89]",1,Bigetron Alpha,blue,"[62, 105, 120, 17, 59]","[87, 85, 101, 65, 111]",0,12:11,731,3,3,1,1,bracket
14,20230721,AP.Bren,blue,"[103, 9, 111, 40, 19]","[76, 118, 55, 85, 73]",1,ECHO,red,"[44, 65, 75, 84, 59]","[26, 78, 101, 62, 10]",0,11:22,682,3,1,0,0,bracket
14,20230721,AP.Bren,red,"[82, 17, 111, 105, 19]","[10, 62, 101, 58, 87]",1,ECHO,blue,"[26, 65, 55, 117, 59]","[85, 100, 103, 75, 118]",0,14:03,843,3,2,1,0,bracket
14,20230722,ONIC Esports,red,"[119, 17, 52, 65, 78]","[118, 19, 111, 9, 58]",0,AP.Bren,blue,"[62, 105, 76, 117, 103]","[88, 82, 101, 84, 75]",1,23:27,1407,5,1,0,0,bracket
14,20230722,ONIC Esports,red,"[117, 17, 120, 114, 62]","[118, 19, 111, 93, 65]",1,AP.Bren,blue,"[44, 100, 76, 9, 103]","[88, 52, 101, 84, 75]",0,16:05,965,5,2,0,1,bracket
14,20230722,ONIC Esports,red,"[88, 103, 76, 73, 119]","[19, 111, 118, 114, 101]",0,AP.Bren,blue,"[55, 13, 117, 84, 82]","[105, 35, 62, 17, 75]",1,10:49,649,5,3,1,1,bracket
14,20230722,ONIC Esports,red,"[88, 117, 101, 65, 120]","[118, 19, 84, 44, 21]",1,AP.Bren,blue,"[55, 105, 111, 87, 82]","[78, 58, 62, 17, 75]",0,23:50,1430,5,4,1,2,bracket
14,20230722,ONIC Esports,red,"[85, 47, 101, 65, 10]","[118, 19, 84, 89, 87]",1,AP.Bren,blue,"[55, 13, 111, 21, 59]","[120, 103, 17, 62, 75]",0,22:01,1321,5,5,2,2,bracket
14,20230722,Red Giants Esports,red,"[119, 21, 52, 65, 78]","[75, 101, 117, 8, 84]",1,ECHO,blue,"[19, 40, 111, 118, 82]","[17, 62, 55, 59, 48]",0,22:37,1357,3,1,0,0,bracket
14,20230722,Red Giants Esports,blue,"[82, 17, 111, 40, 44]","[75, 101, 59, 84, 21]",0,ECHO,red,"[62, 100, 52, 117, 95]","[10, 78, 76, 65, 48]",1,27:11,1631,3,2,1,0,bracket
14,20230722,Red Giants Esports,red,"[82, 84, 120, 40, 62]","[75, 101, 111, 59, 21]",0,ECHO,blue,"[78, 105, 52, 117, 95]","[89, 73, 65, 17, 48]",1,14:31,871,3,3,1,1,bracket
14,20230722,Bigetron Alpha,red,"[103, 87, 111, 65, 10]","[101, 59, 58, 119, 81]",1,RSG Philippines,blue,"[62, 105, 52, 118, 117]","[55, 75, 114, 76, 84]",0,13:43,823,3,1,0,0,bracket
14,20230722,Bigetron Alpha,red,"[83, 103, 111, 89, 10]","[101, 59, 119, 81, 88]",1,RSG Philippines,blue,"[78, 65, 55, 58, 82]","[105, 87, 114, 118, 84]",0,13:06,786,3,2,1,0,bracket
14,20230722,ECHO,blue,"[118, 87, 101, 105, 19]","[103, 10, 17, 84, 21]",0,Bigetron Alpha,red,"[55, 65, 111, 117, 98]","[53, 26, 59, 62, 103]",1,23:08,1388,3,1,0,0,bracket
14,20230722,ECHO,blue,"[117, 84, 101, 105, 78]","[40, 89, 17, 65, 103]",0,Bigetron Alpha,red,"[10, 114, 111, 118, 44]","[119, 95, 59, 62, 75]",1,16:29,989,3,2,0,1,bracket
14,20230723,AP.Bren,blue,"[82, 58, 111, 40, 10]","[62, 101, 103, 88, 76]",0,Bigetron Alpha,red,"[55, 65, 75, 117, 83]","[89, 105, 118, 19, 84]",1,13:43,823,5,1,0,0,bracket
14,20230723,AP.Bren,blue,"[37, 17, 52, 65, 78]","[62, 55, 117, 40, 44]",0,Bigetron Alpha,red,"[10, 89, 111, 87, 103]","[76, 75, 84, 19, 118]",1,14:53,893,5,2,0,1,bracket
14,20230723,AP.Bren,blue,"[119, 117, 76, 65, 55]","[62, 101, 10, 89, 85]",0,Bigetron Alpha,red,"[44, 100, 111, 87, 103]","[47, 17, 84, 19, 118]",1,13:26,806,5,3,0,2,bracket
14,20230723,ONIC Esports,red,"[59, 21, 111, 89, 62]","[118, 103, 55, 44, 85]",1,Bigetron Alpha,blue,"[110, 65, 101, 4, 117]","[87, 47, 84, 17, 75]",0,13:33,813,7,1,0,0,bracket
14,20230723,ONIC Esports,blue,"[59, 118, 76, 105, 44]","[103, 55, 111, 101, 47]",1,Bigetron Alpha,red,"[62, 65, 86, 21, 85]","[78, 10, 75, 84, 17]",0,16:07,967,7,2,1,0,bracket
14,20230723,ONIC Esports,red,"[59, 11, 101, 65, 26]","[103, 118, 55, 89, 114]",1,Bigetron Alpha,blue,"[10, 13, 111, 47, 85]","[35, 78, 84, 17, 75]",0,20:47,1247,7,3,2,0,bracket
14,20230723,ONIC Esports,blue,"[82, 17, 52, 65, 62]","[103, 55, 111, 44, 87]",1,Bigetron Alpha,red,"[78, 105, 101, 84, 117]","[88, 73, 59, 76, 75]",0,12:47,767,7,4,3,0,bracket
14,20230717,BURN x FLASH,blue,"[37, 117, 111, 105, 48]","[17, 62, 10, 101, 76]",1,EVOS Icon,red,"[119, 114, 52, 87, 118]","[47, 21, 55, 84, 59]",0,24:10,1450,3,1,0,0,qualifiers
