tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
15,20230513,Malaysia,red,"[37, 47, 52, 40, 26]","[89, 118, 104, 78, 20]",0,Cambodia,blue,"[110, 65, 101, 117, 95]","[75, 111, 62, 119, 10]",1,16:35,995,3,1,0,0,bracket
15,20230513,Malaysia,blue,"[118, 58, 75, 65, 9]","[76, 89, 104, 40, 100]",1,Cambodia,red,"[10, 105, 111, 117, 37]","[26, 93, 101, 62, 119]",0,24:44,1484,3,2,0,1,bracket
15,20230513,Malaysia,red,"[37, 58, 111, 105, 44]","[89, 118, 104, 110, 55]",1,Cambodia,blue,"[34, 65, 76, 117, 95]","[9, 10, 40, 62, 119]",0,15:22,922,3,3,1,1,bracket
15,20230513,Myanmar,blue,"[118, 99, 76, 40, 24]","[17, 104, 62, 114, 37]",1,Philippines,red,"[10, 65, 111, 47, 82]","[117, 74, 101, 119, 89]",0,22:38,1358,3,1,0,0,bracket
15,20230513,Myanmar,red,"[119, 117, 101, 73, 93]","[89, 62, 118, 17, 51]",0,Philippines,blue,"[78, 40, 76, 9, 104]","[114, 20, 111, 10, 24]",1,26:01,1561,3,2,1,0,bracket
15,20230513,Myanmar,blue,"[104, 51, 111, 105, 20]","[62, 118, 101, 47, 17]",0,Philippines,red,"[10, 40, 75, 117, 95]","[65, 73, 76, 89, 24]",1,14:15,855,3,3,1,1,bracket
15,20230514,Malaysia,red,"[119, 47, 111, 105, 93]","[89, 104, 17, 21, 51]",0,Philippines,blue,"[78, 40, 76, 117, 37]","[9, 58, 118, 101, 62]",1,26:34,1594,5,1,0,0,bracket
15,20230514,Malaysia,blue,"[37, 58, 111, 105, 9]","[17, 76, 104, 75, 117]",0,Philippines,red,"[10, 40, 52, 47, 119]","[26, 93, 62, 118, 89]",1,21:29,1289,5,2,0,1,bracket
15,20230514,Malaysia,blue,"[117, 58, 101, 40, 10]","[17, 104, 76, 78, 20]",0,Philippines,red,"[93, 73, 111, 51, 119]","[95, 37, 62, 118, 89]",1,10:50,650,5,3,0,2,bracket
15,20230514,Cambodia,blue,"[119, 117, 111, 105, 34]","[62, 24, 10, 84, 101]",0,Myanmar,red,"[78, 40, 52, 51, 104]","[20, 114, 118, 76, 89]",1,13:33,813,3,1,0,0,bracket
15,20230514,Cambodia,blue,"[104, 58, 115, 65, 78]","[24, 10, 76, 117, 9]",0,Myanmar,red,"[20, 40, 111, 47, 119]","[52, 101, 118, 62, 89]",1,11:35,695,3,2,0,1,bracket
15,20230512,Philippines,blue,"[37, 47, 76, 40, 44]","[62, 10, 101, 117, 58]",1,Laos,red,"[20, 105, 111, 9, 104]","[78, 119, 118, 89, 17]",0,10:27,627,1,1,0,0,qualifiers
15,20230512,Vietnam,blue,"[119, 19, 101, 114, 93]","[52, 62, 111, 117, 58]",1,Timor-Leste,red,"[75, 65, 86, 47, 104]","[17, 53, 76, 89, 118]",0,13:02,782,1,1,0,0,qualifiers
