tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
17,20230510,Indonesia,red,"[95, 9, 111, 100, 102]","[118, 114, 34, 101, 75]",1,Vietnam,blue,"[19, 105, 68, 58, 119]","[53, 62, 104, 17, 105]",0,10:38,638,3,1,0,0,bracket
17,20230510,Indonesia,red,"[37, 47, 52, 105, 44]","[89, 76, 104, 95, 78]",1,Vietnam,blue,"[93, 114, 101, 9, 98]","[58, 65, 119, 17, 118]",0,10:29,629,3,2,1,0,bracket
17,20230510,Malaysia,red,"[37, 9, 52, 65, 74]","[104, 119, 89, 75, 100]",0,Philippines,blue,"[10, 40, 101, 47, 118]","[117, 58, 114, 111, 62]",1,19:48,1188,3,1,0,0,bracket
17,20230510,Malaysia,blue,"[37, 58, 52, 73, 78]","[119, 111, 40, 76, 101]",0,Philippines,red,"[44, 114, 115, 47, 97]","[105, 65, 104, 89, 118]",1,19:23,1163,3,2,0,1,bracket
17,20230511,Indonesia,red,"[82, 117, 101, 65, 78]","[89, 118, 75, 114, 53]",1,Philippines,blue,"[62, 40, 52, 58, 104]","[20, 44, 9, 111, 95]",0,16:10,970,5,1,0,0,bracket
17,20230511,Indonesia,red,"[117, 8, 52, 65, 44]","[89, 118, 75, 111, 76]",0,Philippines,blue,"[24, 114, 115, 47, 104]","[20, 82, 101, 9, 95]",1,19:18,1158,5,2,1,0,bracket
17,20230511,Indonesia,red,"[97, 47, 111, 105, 78]","[104, 118, 75, 24, 20]",0,Philippines,blue,"[34, 114, 101, 58, 119]","[37, 44, 89, 9, 95]",1,17:09,1029,5,3,1,1,bracket
17,20230511,Indonesia,blue,"[104, 87, 52, 105, 44]","[118, 76, 75, 34, 117]",1,Philippines,red,"[24, 114, 101, 47, 119]","[58, 65, 9, 89, 95]",0,13:54,834,5,4,1,2,bracket
17,20230511,Indonesia,red,"[82, 117, 115, 114, 20]","[118, 75, 104, 69, 34]",1,Philippines,blue,"[44, 31, 101, 58, 119]","[111, 52, 89, 9, 95]",0,15:33,933,5,5,2,2,bracket
17,20230511,Vietnam,red,"[74, 117, 101, 114, 10]","[89, 52, 104, 58, 78]",0,Malaysia,blue,"[44, 65, 111, 47, 119]","[20, 82, 118, 34, 19]",1,14:28,868,3,1,0,0,bracket
17,20230511,Vietnam,blue,"[119, 99, 52, 43, 20]","[89, 111, 104, 47, 58]",0,Malaysia,red,"[78, 114, 101, 117, 95]","[40, 65, 118, 19, 34]",1,13:47,827,3,2,0,1,bracket
17,20230510,Indonesia,red,"[95, 117, 111, 40, 44]","[118, 89, 76, 114, 75]",1,Cambodia,blue,"[78, 31, 25, 58, 104]","[93, 65, 84, 101, 17]",0,15:16,916,1,1,0,0,qualifiers
17,20230510,Cambodia,blue,"[37, 31, 76, 40, 20]","[84, 101, 111, 93, 65]",0,Philippines,red,"[62, 114, 52, 117, 119]","[105, 31, 104, 118, 89]",1,11:07,667,1,1,0,0,qualifiers
17,20230510,Philippines,red,"[37, 117, 52, 105, 62]","[89, 104, 119, 78, 95]",0,Indonesia,blue,"[20, 114, 101, 9, 82]","[44, 65, 111, 75, 118]",1,19:48,1188,1,1,0,0,qualifiers
17,20230510,Malaysia,blue,"[117, 47, 52, 114, 62]","[111, 65, 89, 37, 44]",1,Laos,red,"[20, 31, 101, 9, 82]","[95, 58, 119, 104, 118]",0,15:09,909,1,1,0,0,qualifiers
17,20230510,Laos,blue,"[37, 47, 101, 65, 20]","[118, 111, 58, 62, 10]",0,Vietnam,red,"[19, 114, 52, 117, 82]","[40, 31, 104, 76, 119]",1,15:04,904,1,1,0,0,qualifiers
17,20230510,Vietnam,blue,"[82, 117, 20, 114, 68]","[118, 76, 104, 44, 93]",0,Malaysia,red,"[78, 89, 52, 58, 37]","[111, 101, 119, 34, 19]",1,13:23,803,1,1,0,0,qualifiers
