tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
25,20221013,TODAK,red,"[85, 56, 19, 65, 26]","[114, 17, 103, 44, 55]",1,HomeBois,blue,"[78, 100, 111, 84, 97]","[117, 95, 76, 9, 89]",0,11:39,699,3,1,0,0,bracket
25,20221013,TODAK,blue,"[59, 68, 43, 103, 26]","[114, 17, 76, 13, 97]",1,HomeBois,red,"[44, 12, 111, 9, 95]","[40, 19, 89, 65, 56]",0,19:07,1147,3,2,1,0,bracket
25,20221014,Orange Esports,red,"[88, 103, 52, 43, 93]","[17, 65, 89, 84, 21]",1,Team HAQ,blue,"[44, 114, 86, 51, 81]","[95, 37, 111, 116, 9]",0,25:58,1558,3,1,0,0,bracket
25,20221014,Orange Esports,red,"[81, 109, 111, 13, 93]","[17, 65, 89, 26, 21]",1,Team HAQ,blue,"[35, 43, 25, 84, 103]","[37, 88, 9, 44, 116]",0,20:06,1206,3,2,1,0,bracket
25,20221015,TODAK,red,"[95, 17, 111, 100, 44]","[114, 89, 9, 76, 2]",1,Orange Esports,blue,"[93, 65, 11, 109, 29]","[117, 94, 103, 56, 26]",0,11:11,671,5,1,0,0,bracket
25,20221015,TODAK,red,"[95, 56, 111, 40, 29]","[114, 89, 9, 76, 106]",1,Orange Esports,blue,"[102, 13, 101, 99, 103]","[97, 81, 44, 65, 26]",0,13:16,796,5,2,1,0,bracket
25,20221015,TODAK,red,"[103, 68, 19, 40, 44]","[114, 89, 9, 76, 2]",0,Orange Esports,blue,"[29, 43, 111, 109, 117]","[94, 95, 56, 65, 26]",1,13:54,834,5,3,2,0,bracket
25,20221015,TODAK,blue,"[95, 17, 76, 65, 29]","[114, 9, 89, 43, 2]",1,Orange Esports,red,"[44, 53, 52, 109, 103]","[88, 116, 111, 56, 26]",0,17:19,1039,5,4,2,1,bracket
25,20221013,RSG Malaysia,blue,"[97, 8, 52, 65, 102]","[111, 56, 89, 114, 98]",1,Team Lunatix,red,"[44, 43, 76, 47, 106]","[84, 2, 17, 9, 103]",0,13:58,838,3,1,0,0,bracket
25,20221013,RSG Malaysia,red,"[97, 2, 52, 94, 29]","[65, 111, 89, 101, 86]",1,Team Lunatix,blue,"[102, 43, 68, 17, 98]","[106, 37, 76, 9, 103]",0,14:12,852,3,2,1,0,bracket
25,20221014,HomeBois,blue,"[88, 17, 52, 43, 44]","[65, 76, 89, 81, 117]",0,RSG Malaysia,red,"[29, 105, 111, 2, 37]","[13, 85, 9, 114, 103]",1,15:25,925,3,1,0,0,bracket
25,20221014,HomeBois,blue,"[44, 47, 111, 40, 26]","[65, 17, 89, 8, 2]",1,RSG Malaysia,red,"[102, 43, 52, 56, 81]","[21, 85, 9, 114, 103]",0,21:49,1309,3,2,0,1,bracket
25,20221014,HomeBois,blue,"[95, 2, 111, 43, 102]","[17, 65, 89, 40, 94]",0,RSG Malaysia,red,"[26, 13, 68, 9, 117]","[47, 48, 44, 114, 103]",1,10:55,655,3,3,1,1,bracket
25,20221013,RED Esports MY,red,"[95, 56, 52, 43, 44]","[9, 76, 111, 65, 29]",1,Team SMG,blue,"[26, 114, 68, 2, 103]","[94, 117, 89, 48, 17]",0,22:52,1372,3,1,0,0,bracket
25,20221013,RED Esports MY,red,"[26, 56, 75, 105, 93]","[9, 76, 111, 48, 86]",0,Team SMG,blue,"[29, 43, 25, 47, 103]","[65, 94, 44, 89, 17]",1,25:04,1504,3,2,1,0,bracket
25,20221013,RED Esports MY,red,"[95, 56, 43, 106, 102]","[9, 76, 111, 94, 65]",1,Team SMG,blue,"[26, 100, 25, 99, 103]","[86, 29, 44, 89, 17]",0,29:28,1768,3,3,1,1,bracket
25,20221014,Team HAQ,red,"[81, 85, 5, 89, 35]","[17, 93, 111, 95, 43]",1,RED Esports MY,blue,"[102, 106, 76, 84, 98]","[101, 86, 103, 9, 65]",0,20:14,1214,3,1,0,0,bracket
25,20221014,Team HAQ,blue,"[81, 8, 102, 89, 35]","[93, 44, 111, 29, 20]",1,RED Esports MY,red,"[55, 106, 43, 56, 85]","[9, 99, 65, 103, 17]",0,15:38,938,3,2,1,0,bracket
25,20221015,RSG Malaysia,blue,"[81, 8, 68, 89, 29]","[93, 85, 65, 52, 86]",0,Team HAQ,red,"[20, 43, 75, 17, 103]","[87, 99, 2, 9, 111]",1,15:04,904,3,1,0,0,bracket
25,20221015,RSG Malaysia,red,"[117, 8, 68, 43, 26]","[17, 89, 65, 81, 88]",0,Team HAQ,blue,"[93, 71, 111, 85, 97]","[37, 95, 103, 2, 9]",1,16:04,964,3,2,0,1,bracket
25,20221015,Orange Esports,blue,"[103, 8, 86, 100, 48]","[17, 85, 65, 21, 52]",0,Team HAQ,red,"[93, 43, 75, 47, 81]","[2, 99, 9, 111, 89]",1,15:39,939,5,1,0,0,bracket
25,20221015,Orange Esports,blue,"[117, 9, 116, 65, 76]","[17, 85, 43, 114, 86]",1,Team HAQ,red,"[93, 31, 63, 103, 95]","[106, 88, 81, 89, 111]",0,13:58,838,5,2,0,1,bracket
25,20221015,Orange Esports,blue,"[88, 2, 76, 65, 44]","[17, 85, 43, 84, 86]",0,Team HAQ,red,"[93, 114, 15, 8, 81]","[116, 52, 9, 89, 111]",1,18:27,1107,5,3,1,1,bracket
25,20221015,Orange Esports,red,"[103, 109, 86, 40, 29]","[17, 111, 89, 101, 44]",0,Team HAQ,blue,"[26, 65, 102, 85, 81]","[100, 43, 93, 76, 9]",1,18:08,1088,5,4,1,2,bracket
25,20221016,TODAK,red,"[85, 56, 40, 103, 26]","[89, 17, 84, 114, 43]",0,Team HAQ,blue,"[93, 100, 111, 8, 81]","[95, 19, 9, 76, 65]",1,14:15,855,7,1,0,0,bracket
25,20221016,TODAK,red,"[95, 103, 101, 100, 44]","[17, 89, 93, 26, 29]",0,Team HAQ,blue,"[20, 105, 111, 85, 81]","[43, 68, 9, 76, 65]",1,15:05,905,7,2,0,1,bracket
25,20221016,TODAK,blue,"[85, 56, 19, 43, 76]","[93, 17, 8, 114, 103]",1,Team HAQ,red,"[26, 105, 86, 9, 81]","[29, 44, 89, 111, 65]",0,11:20,680,7,3,0,2,bracket
25,20221016,TODAK,red,"[81, 17, 106, 43, 102]","[93, 89, 85, 40, 100]",1,Team HAQ,blue,"[29, 114, 111, 103, 97]","[20, 26, 19, 76, 65]",0,11:43,703,7,4,1,2,bracket
25,20221016,TODAK,blue,"[59, 56, 19, 65, 9]","[93, 17, 89, 100, 43]",0,Team HAQ,red,"[20, 12, 48, 85, 88]","[103, 81, 76, 26, 111]",1,13:20,800,7,5,2,2,bracket
25,20221016,TODAK,blue,"[117, 17, 76, 40, 102]","[93, 89, 85, 20, 29]",0,Team HAQ,red,"[44, 65, 15, 8, 81]","[103, 97, 43, 26, 111]",1,10:26,626,7,6,2,3,bracket
25,20220805,TODAK,red,"[72, 84, 101, 94, 44]","[59, 81, 89, 24, 111]",1,Suhaz Esports,blue,"[3, 105, 116, 9, 103]","[76, 88, 17, 65, 10]",0,20:21,1221,3,1,0,0,qualifiers
