tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
26,20221007,Thrones Esports,blue,"[103, 9, 111, 13, 35]","[75, 17, 2, 81, 106]",1,Aogiri Family,red,"[48, 65, 76, 99, 59]","[105, 85, 86, 92, 52]",0,13:47,827,3,1,0,0,bracket
26,20221007,Thrones Esports,red,"[81, 47, 92, 65, 88]","[75, 17, 76, 13, 93]",0,Aogiri Family,blue,"[20, 12, 68, 9, 85]","[2, 48, 103, 111, 52]",1,13:44,824,3,2,1,0,bracket
26,20221007,Thrones Esports,blue,"[85, 116, 111, 13, 44]","[75, 17, 2, 68, 12]",1,Aogiri Family,red,"[78, 89, 25, 103, 81]","[93, 48, 65, 9, 76]",0,14:45,885,3,3,1,1,bracket
26,20221007,Axe,blue,"[59, 84, 76, 12, 20]","[9, 65, 2, 48, 102]",0,Unique Synergy,red,"[44, 13, 111, 99, 81]","[103, 85, 116, 89, 17]",1,10:45,645,3,1,0,0,bracket
26,20221007,Axe,red,"[85, 2, 57, 13, 75]","[17, 89, 65, 96, 86]",1,Unique Synergy,blue,"[102, 40, 111, 99, 81]","[93, 103, 44, 9, 76]",0,09:07,547,3,2,0,1,bracket
26,20221008,Thrones Esports,blue,"[85, 116, 111, 43, 14]","[75, 17, 2, 89, 12]",0,Axe,red,"[93, 94, 76, 9, 106]","[114, 13, 65, 103, 44]",1,15:11,911,3,1,0,0,bracket
26,20221008,Thrones Esports,red,"[37, 103, 52, 13, 20]","[9, 106, 76, 93, 81]",1,Axe,blue,"[102, 114, 75, 2, 72]","[116, 86, 17, 111, 44]",0,14:16,856,3,2,0,1,bracket
26,20221008,Thrones Esports,blue,"[72, 9, 52, 65, 35]","[76, 111, 17, 2, 93]",1,Axe,red,"[55, 13, 25, 8, 81]","[48, 37, 85, 103, 44]",0,10:45,645,3,3,1,1,bracket
26,20221008,Aogiri Family,blue,"[106, 85, 68, 13, 44]","[111, 81, 76, 52, 86]",0,Unique Synergy,red,"[20, 65, 101, 2, 103]","[8, 99, 9, 75, 17]",1,15:07,907,3,1,0,0,bracket
26,20221008,Aogiri Family,red,"[116, 2, 96, 105, 9]","[76, 65, 48, 93, 99]",0,Unique Synergy,blue,"[20, 13, 111, 87, 103]","[106, 101, 81, 75, 17]",1,19:26,1166,3,2,0,1,bracket
26,20221014,Axe,blue,"[85, 9, 52, 114, 48]","[2, 103, 76, 44, 99]",0,Unique Synergy,red,"[102, 65, 68, 87, 81]","[100, 13, 111, 17, 89]",1,17:41,1061,5,1,0,0,bracket
26,20221014,Axe,red,"[81, 103, 96, 40, 44]","[9, 2, 76, 102, 48]",1,Unique Synergy,blue,"[78, 65, 68, 87, 97]","[93, 20, 111, 17, 89]",0,12:28,748,5,2,0,1,bracket
26,20221014,Axe,blue,"[81, 84, 96, 13, 106]","[9, 2, 103, 87, 99]",1,Unique Synergy,red,"[76, 40, 111, 85, 88]","[20, 102, 65, 17, 89]",0,17:57,1077,5,3,1,1,bracket
26,20221014,Axe,blue,"[106, 19, 96, 65, 34]","[9, 2, 103, 87, 99]",1,Unique Synergy,red,"[76, 13, 111, 85, 88]","[102, 116, 81, 89, 17]",0,10:02,602,5,4,2,1,bracket
26,20221015,Thrones Esports,blue,"[72, 9, 52, 65, 88]","[106, 111, 96, 93, 75]",1,Axe,red,"[44, 89, 76, 17, 81]","[35, 102, 85, 103, 2]",0,28:08,1688,5,1,0,0,bracket
26,20221015,Thrones Esports,red,"[81, 103, 86, 89, 78]","[106, 111, 85, 93, 75]",0,Axe,blue,"[10, 65, 96, 17, 95]","[35, 88, 9, 2, 52]",1,20:31,1231,5,2,1,0,bracket
26,20221015,Thrones Esports,red,"[37, 103, 92, 65, 44]","[106, 111, 9, 81, 93]",1,Axe,blue,"[26, 89, 96, 17, 116]","[20, 35, 88, 2, 52]",0,28:32,1712,5,3,1,1,bracket
26,20221015,Thrones Esports,red,"[85, 17, 111, 13, 88]","[106, 96, 9, 75, 76]",1,Axe,blue,"[34, 65, 115, 99, 37]","[93, 44, 103, 2, 52]",0,25:13,1513,5,4,2,1,bracket
26,20220812,Rapplz,blue,"[83, 103, 92, 65, 102]","[17, 88, 93, 2, 81]",1,Dominance,red,"[44, 105, 76, 9, 72]","[59, 20, 85, 111, 101]",0,15:42,942,3,1,0,0,qualifiers
26,20220812,Rapplz,red,"[72, 85, 101, 100, 93]","[17, 88, 92, 48, 2]",1,Dominance,blue,"[9, 65, 76, 84, 81]","[89, 13, 105, 111, 103]",0,13:36,816,3,2,1,0,qualifiers
26,20220812,Thrones Esports,blue,"[81, 84, 68, 105, 78]","[116, 48, 76, 115, 30]",1,Hydra,red,"[44, 100, 92, 9, 85]","[17, 10, 89, 111, 24]",0,17:52,1072,3,1,0,0,qualifiers
26,20220812,Thrones Esports,red,"[81, 17, 68, 65, 44]","[116, 111, 48, 85, 115]",1,Hydra,blue,"[10, 105, 86, 30, 72]","[93, 89, 9, 76, 24]",0,14:17,857,3,2,1,0,qualifiers
26,20220813,Aogiri Family,blue,"[59, 85, 101, 105, 102]","[116, 81, 76, 68, 75]",0,Unique Synergy,red,"[20, 13, 52, 72, 88]","[47, 84, 32, 111, 17]",1,14:26,866,3,1,0,0,qualifiers
26,20220813,Aogiri Family,red,"[81, 97, 25, 105, 93]","[88, 72, 13, 65, 85]",0,Unique Synergy,blue,"[76, 40, 68, 9, 26]","[116, 84, 111, 32, 17]",1,22:32,1352,3,2,0,1,qualifiers
26,20220813,Squademon,red,"[106, 9, 92, 12, 116]","[17, 111, 76, 75, 115]",0,Axe,blue,"[20, 89, 25, 85, 88]","[93, 13, 101, 105, 8]",1,17:55,1075,3,1,0,0,qualifiers
26,20220813,Squademon,blue,"[59, 9, 92, 13, 116]","[17, 20, 89, 85, 84]",1,Axe,red,"[93, 105, 25, 47, 88]","[34, 81, 101, 76, 111]",0,14:18,858,3,2,0,1,qualifiers
26,20220813,Squademon,blue,"[72, 9, 75, 13, 116]","[17, 89, 20, 88, 102]",1,Axe,red,"[44, 105, 115, 85, 81]","[92, 59, 101, 76, 111]",0,17:58,1078,3,3,1,1,qualifiers
26,20220819,Hydra,blue,"[83, 2, 68, 13, 102]","[89, 101, 105, 93, 85]",0,Squademon,red,"[88, 94, 92, 72, 104]","[81, 59, 9, 76, 111]",1,17:51,1071,3,1,0,0,qualifiers
26,20220819,Hydra,red,"[88, 58, 116, 94, 14]","[111, 101, 76, 68, 75]",0,Squademon,blue,"[57, 13, 86, 9, 59]","[48, 102, 92, 105, 89]",1,12:15,735,3,2,0,1,qualifiers
26,20220819,Dominance,blue,"[88, 2, 5, 13, 14]","[9, 101, 76, 68, 116]",0,Unique Synergy,red,"[102, 105, 52, 85, 81]","[10, 93, 92, 111, 17]",1,11:37,697,3,1,0,0,qualifiers
26,20220819,Dominance,red,"[59, 9, 101, 65, 102]","[76, 92, 13, 72, 2]",1,Unique Synergy,blue,"[48, 105, 61, 24, 106]","[88, 20, 111, 81, 17]",0,17:56,1076,3,2,0,1,qualifiers
26,20220819,Dominance,blue,"[85, 9, 101, 31, 48]","[105, 13, 111, 72, 2]",0,Unique Synergy,red,"[88, 65, 52, 21, 81]","[100, 94, 76, 92, 17]",1,14:25,865,3,3,1,1,qualifiers
26,20220820,Thrones Esports,blue,"[72, 116, 68, 105, 78]","[9, 55, 101, 84, 47]",0,Aogiri Family,red,"[10, 13, 75, 2, 88]","[17, 44, 81, 76, 111]",1,17:25,1045,3,1,0,0,qualifiers
26,20220820,Thrones Esports,red,"[59, 84, 86, 13, 44]","[88, 105, 9, 2, 85]",0,Aogiri Family,blue,"[76, 100, 75, 8, 72]","[17, 68, 111, 65, 81]",1,20:02,1202,3,2,0,1,qualifiers
