tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
27,20221007,RSG Singapore,red,"[97, 2, 52, 89, 26]","[9, 76, 48, 106, 109]",1,SMG SG,blue,"[29, 43, 111, 85, 37]","[20, 93, 44, 17, 103]",0,17:20,1040,3,1,0,0,bracket
27,20221007,RSG Singapore,blue,"[59, 9, 25, 100, 26]","[2, 44, 48, 20, 85]",1,SMG SG,red,"[76, 65, 52, 97, 81]","[43, 89, 93, 111, 103]",0,20:48,1248,3,2,1,0,bracket
27,20221007,Slate Esports,blue,"[81, 2, 86, 114, 10]","[111, 85, 9, 8, 56]",1,Revival,red,"[44, 13, 101, 54, 117]","[29, 93, 89, 103, 65]",0,19:46,1186,3,1,0,0,bracket
27,20221007,Slate Esports,blue,"[85, 56, 101, 13, 26]","[9, 44, 111, 86, 52]",1,Revival,red,"[93, 114, 11, 2, 117]","[10, 48, 103, 89, 65]",0,13:38,818,3,2,1,0,bracket
27,20221008,RSG Singapore,red,"[81, 116, 111, 114, 26]","[9, 2, 48, 85, 109]",1,Slate Esports,blue,"[102, 43, 25, 87, 103]","[8, 56, 17, 44, 89]",0,14:28,868,5,1,0,0,bracket
27,20221008,RSG Singapore,blue,"[95, 8, 111, 114, 26]","[2, 48, 9, 52, 65]",0,Slate Esports,red,"[44, 12, 106, 17, 85]","[88, 59, 81, 103, 89]",1,21:57,1317,5,2,1,0,bracket
27,20221008,RSG Singapore,red,"[97, 109, 76, 43, 44]","[106, 9, 2, 81, 8]",0,Slate Esports,blue,"[48, 89, 86, 72, 26]","[65, 114, 17, 111, 103]",1,19:01,1141,5,3,1,1,bracket
27,20221008,RSG Singapore,red,"[97, 2, 52, 65, 29]","[9, 48, 106, 86, 25]",1,Slate Esports,blue,"[10, 89, 111, 17, 85]","[20, 44, 81, 103, 26]",0,24:02,1442,5,4,1,2,bracket
27,20221008,RSG Singapore,blue,"[59, 9, 86, 65, 20]","[2, 48, 106, 111, 26]",1,Slate Esports,red,"[54, 114, 25, 97, 85]","[10, 93, 44, 89, 103]",0,21:36,1296,5,5,2,2,bracket
27,20221007,Stellark SG,blue,"[86, 116, 81, 65, 44]","[76, 9, 54, 20, 63]",1,Zion Esports,red,"[48, 89, 111, 8, 85]","[109, 106, 2, 56, 103]",0,17:45,1065,3,1,0,0,bracket
27,20221007,Stellark SG,red,"[95, 56, 97, 40, 54]","[76, 9, 111, 114, 12]",1,Zion Esports,blue,"[44, 100, 52, 99, 85]","[10, 65, 89, 86, 103]",0,24:41,1481,3,2,1,0,bracket
27,20221008,Revival,red,"[81, 54, 52, 13, 29]","[89, 65, 44, 93, 26]",1,Stellark SG,blue,"[76, 114, 116, 103, 95]","[117, 101, 111, 9, 85]",0,14:59,899,3,1,0,0,bracket
27,20221008,Revival,red,"[95, 54, 75, 13, 29]","[89, 65, 44, 12, 94]",0,Stellark SG,blue,"[93, 105, 52, 97, 103]","[81, 117, 85, 111, 9]",1,23:19,1399,3,2,1,0,bracket
27,20221008,Revival,blue,"[59, 2, 52, 89, 26]","[103, 44, 56, 109, 10]",1,Stellark SG,red,"[54, 65, 86, 8, 81]","[34, 99, 85, 111, 9]",0,23:18,1398,3,3,1,1,bracket
27,20221007,Evil,blue,"[117, 103, 68, 89, 20]","[48, 2, 76, 65, 114]",1,Team Flash,red,"[44, 12, 111, 8, 81]","[85, 86, 26, 9, 116]",0,19:11,1151,3,1,0,0,bracket
