tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
28,20220615,RRQ Akira,blue,"[105, 102, 101, 85, 99]","[48, 111, 81, 115, 92]",1,New Wave,red,"[68, 87, 65, 72, 88]","[8, 17, 116, 89, 9]",0,09:32,572,5,1,0,0,bracket
28,20220615,RRQ Akira,red,"[115, 72, 20, 94, 84]","[9, 116, 111, 81, 76]",1,New Wave,blue,"[97, 95, 101, 10, 105]","[8, 17, 102, 88, 89]",0,20:34,1234,5,2,1,0,bracket
28,20220615,RRQ Akira,red,"[10, 115, 65, 87, 72]","[9, 116, 111, 20, 76]",1,New Wave,blue,"[78, 83, 81, 92, 105]","[8, 17, 88, 102, 89]",0,16:52,1012,5,3,2,0,bracket
28,20220615,DreamMax,red,"[106, 84, 25, 65, 24]","[9, 88, 92, 17, 111]",1,S11 Gaming,blue,"[102, 89, 101, 2, 72]","[40, 105, 81, 10, 8]",0,22:47,1367,5,1,0,0,bracket
28,20220615,DreamMax,blue,"[81, 17, 115, 64, 26]","[9, 88, 105, 85, 59]",0,S11 Gaming,red,"[24, 100, 68, 21, 87]","[111, 8, 84, 89, 10]",1,13:57,837,5,2,1,0,bracket
28,20220615,DreamMax,red,"[72, 87, 25, 65, 24]","[9, 105, 88, 55, 106]",1,S11 Gaming,blue,"[102, 100, 68, 84, 29]","[47, 51, 89, 10, 8]",0,13:50,830,5,3,1,1,bracket
28,20220615,DreamMax,blue,"[59, 99, 86, 13, 24]","[9, 88, 100, 101, 55]",1,S11 Gaming,red,"[44, 105, 111, 8, 72]","[40, 65, 89, 81, 10]",0,28:57,1737,5,4,2,1,bracket
28,20220618,RRQ Akira,blue,"[72, 9, 115, 100, 20]","[24, 84, 116, 85, 88]",1,DreamMax,red,"[44, 40, 92, 87, 81]","[8, 65, 89, 10, 105]",0,29:31,1771,5,1,0,0,bracket
28,20220618,RRQ Akira,red,"[72, 8, 101, 40, 14]","[89, 116, 24, 92, 25]",1,DreamMax,blue,"[9, 65, 68, 97, 81]","[55, 102, 115, 105, 10]",0,24:57,1497,5,2,1,0,bracket
28,20220618,RRQ Akira,red,"[88, 9, 115, 105, 102]","[89, 65, 24, 25, 43]",1,DreamMax,blue,"[26, 13, 111, 8, 116]","[106, 81, 101, 92, 10]",0,24:57,1497,5,3,2,0,bracket
28,20220616,DX Gaming,red,"[48, 105, 29, 58, 25]","[68, 115, 116, 100, 10]",0,S11 Gaming Bolivia,blue,"[13, 102, 92, 88, 9]","[87, 111, 81, 17, 8]",1,23:19,1399,5,1,0,0,bracket
28,20220616,DX Gaming,red,"[81, 10, 100, 2, 52]","[92, 88, 68, 93, 87]",1,S11 Gaming Bolivia,blue,"[14, 99, 115, 105, 116]","[51, 84, 9, 8, 17]",0,12:46,766,5,2,0,1,bracket
28,20220616,DX Gaming,blue,"[81, 20, 8, 96, 100]","[88, 59, 68, 92, 2]",1,S11 Gaming Bolivia,red,"[101, 72, 29, 105, 87]","[86, 52, 9, 116, 17]",0,17:33,1053,5,3,1,1,bracket
28,20220616,DX Gaming,red,"[100, 2, 59, 29, 57]","[88, 92, 68, 85, 13]",0,S11 Gaming Bolivia,blue,"[40, 84, 78, 115, 9]","[52, 20, 81, 8, 17]",1,14:54,894,5,4,2,1,bracket
28,20220616,DX Gaming,red,"[105, 8, 29, 10, 15]","[88, 92, 9, 2, 100]",0,S11 Gaming Bolivia,blue,"[21, 94, 116, 78, 68]","[76, 52, 86, 81, 17]",1,15:53,953,5,5,2,2,bracket
28,20220617,New Wave,blue,"[95, 99, 115, 105, 102]","[116, 17, 68, 13, 84]",0,S11 Gaming Bolivia,red,"[20, 65, 92, 21, 81]","[85, 72, 88, 9, 10]",1,14:04,844,5,1,0,0,bracket
28,20220617,New Wave,blue,"[85, 87, 111, 105, 20]","[17, 116, 68, 84, 21]",1,S11 Gaming Bolivia,red,"[78, 40, 92, 8, 81]","[101, 115, 88, 10, 9]",0,14:30,870,5,2,0,1,bracket
28,20220617,New Wave,red,"[81, 85, 68, 65, 93]","[17, 116, 9, 48, 21]",1,S11 Gaming Bolivia,blue,"[78, 105, 115, 84, 87]","[100, 99, 20, 88, 10]",0,18:27,1107,5,3,1,1,bracket
28,20220617,New Wave,blue,"[88, 97, 111, 105, 78]","[116, 17, 21, 84, 8]",1,S11 Gaming Bolivia,red,"[20, 65, 68, 2, 72]","[29, 93, 85, 10, 9]",0,15:31,931,5,4,2,1,bracket
28,20220616,RavenZ E-Sport,blue,"[105, 92, 81, 87, 93]","[115, 84, 76, 100, 88]",1,Malvinas Gaming,red,"[40, 78, 8, 72, 101]","[20, 10, 2, 116, 17]",0,16:32,992,5,1,0,0,bracket
28,20220616,RavenZ E-Sport,red,"[85, 72, 86, 100, 24]","[89, 84, 9, 29, 44]",0,Malvinas Gaming,blue,"[102, 105, 68, 2, 81]","[26, 87, 116, 111, 101]",1,15:43,943,5,2,1,0,bracket
28,20220616,RavenZ E-Sport,blue,"[59, 9, 68, 13, 44]","[24, 84, 89, 8, 2]",0,Malvinas Gaming,red,"[102, 43, 86, 87, 81]","[65, 20, 105, 111, 116]",1,15:56,956,5,3,1,1,bracket
28,20220616,RavenZ E-Sport,blue,"[81, 2, 92, 40, 20]","[24, 84, 89, 102, 43]",0,Malvinas Gaming,red,"[10, 1, 68, 9, 59]","[8, 87, 105, 111, 116]",0,Game 4,,5,4,1,2,bracket
28,20220617,S11 Gaming,blue,"[88, 47, 25, 105, 20]","[24, 89, 81, 87, 8]",0,Malvinas Gaming,red,"[44, 43, 68, 84, 72]","[115, 21, 9, 116, 111]",1,18:39,1119,5,1,0,0,bracket
28,20220617,S11 Gaming,red,"[87, 84, 86, 100, 24]","[111, 68, 89, 2, 8]",0,Malvinas Gaming,blue,"[102, 105, 25, 72, 81]","[85, 88, 116, 9, 21]",1,18:57,1137,5,2,0,1,bracket
28,20220617,S11 Gaming,blue,"[81, 17, 68, 40, 48]","[72, 24, 89, 85, 92]",1,Malvinas Gaming,red,"[102, 105, 86, 9, 87]","[2, 8, 111, 116, 21]",0,16:50,1010,5,3,0,2,bracket
28,20220617,S11 Gaming,red,"[88, 51, 68, 105, 44]","[72, 89, 24, 81, 40]",1,Malvinas Gaming,blue,"[78, 43, 25, 84, 116]","[2, 48, 9, 111, 21]",0,13:32,812,5,4,1,2,bracket
28,20220617,S11 Gaming,red,"[44, 17, 92, 105, 9]","[72, 68, 89, 78, 10]",0,Malvinas Gaming,blue,"[24, 43, 115, 8, 81]","[85, 88, 111, 116, 21]",1,19:03,1143,5,5,2,2,bracket
28,20220618,New Wave,red,"[88, 8, 101, 13, 20]","[116, 89, 24, 102, 84]",0,Malvinas Gaming,blue,"[44, 43, 68, 2, 81]","[85, 65, 105, 111, 9]",1,14:00,840,5,1,0,0,bracket
28,20220618,New Wave,blue,"[88, 85, 92, 105, 10]","[24, 68, 43, 44, 78]",0,Malvinas Gaming,red,"[20, 89, 115, 84, 72]","[25, 8, 116, 111, 9]",1,23:08,1388,5,2,0,1,bracket
28,20220618,New Wave,blue,"[95, 21, 115, 105, 10]","[24, 43, 68, 44, 20]",0,Malvinas Gaming,red,"[78, 89, 25, 84, 81]","[88, 85, 9, 116, 111]",1,14:42,882,5,3,0,2,bracket
