tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
29,20220614,RSG Philippines,red,"[84, 81, 55, 25, 65]","[111, 116, 9, 24, 32]",1,Falcon Esports,blue,"[44, 63, 72, 8, 105]","[101, 86, 89, 17, 10]",0,15:42,942,3,1,0,0,bracket
29,20220614,RSG Philippines,red,"[10, 81, 8, 86, 100]","[111, 9, 116, 85, 72]",0,Falcon Esports,blue,"[47, 59, 32, 75, 105]","[25, 65, 84, 17, 89]",1,29:24,1764,3,2,1,0,bracket
29,20220614,RSG Philippines,blue,"[105, 10, 72, 8, 92]","[9, 116, 32, 13, 94]",1,Falcon Esports,red,"[85, 43, 44, 81, 111]","[115, 25, 84, 89, 17]",0,12:56,776,3,3,1,1,bracket
29,20220614,RSG Singapore,red,"[89, 81, 8, 10, 115]","[17, 111, 93, 24, 84]",1,Orange Esports,blue,"[21, 104, 105, 86, 9]","[55, 102, 48, 101, 116]",0,18:05,1085,3,1,0,0,bracket
29,20220614,RSG Singapore,red,"[101, 9, 24, 98, 105]","[111, 17, 93, 55, 86]",0,Orange Esports,blue,"[29, 75, 84, 81, 89]","[88, 59, 48, 115, 116]",1,15:08,908,3,2,1,0,bracket
29,20220614,RSG Singapore,blue,"[9, 59, 86, 13, 63]","[17, 93, 84, 40, 65]",0,Orange Esports,red,"[48, 100, 101, 116, 81]","[24, 102, 10, 89, 111]",1,19:15,1155,3,3,1,1,bracket
29,20220616,RSG Philippines,red,"[9, 105, 72, 10, 25]","[111, 17, 89, 13, 94]",1,Orange Esports,blue,"[86, 51, 93, 115, 81]","[92, 48, 116, 55, 84]",0,17:00,1020,5,1,0,0,bracket
29,20220616,RSG Philippines,red,"[116, 81, 105, 29, 92]","[111, 89, 9, 93, 94]",1,Orange Esports,blue,"[31, 20, 101, 72, 17]","[8, 78, 55, 84, 10]",0,27:35,1655,5,2,1,0,bracket
29,20220616,RSG Philippines,red,"[81, 116, 25, 26, 40]","[111, 89, 17, 72, 94]",1,Orange Esports,blue,"[100, 88, 86, 8, 9]","[43, 105, 84, 55, 10]",0,18:00,1080,5,3,2,0,bracket
29,20220614,TODAK,blue,"[105, 115, 99, 14, 59]","[84, 88, 101, 65, 13]",1,Omega Esports,red,"[43, 44, 81, 116, 9]","[85, 102, 10, 89, 111]",0,22:25,1345,3,1,0,0,bracket
29,20220614,TODAK,red,"[105, 99, 78, 25, 81]","[84, 101, 89, 88, 86]",0,Omega Esports,blue,"[92, 26, 65, 17, 9]","[116, 102, 111, 115, 10]",1,22:40,1360,3,2,1,0,bracket
