tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
2,20230107,Falcon Esports,red,"[37, 117, 101, 40, 78]","[104, 17, 89, 73, 68]",0,ONIC Esports,blue,"[62, 105, 86, 21, 95]","[24, 93, 118, 111, 76]",1,15:25,925,5,1,0,0,bracket
2,20230107,Falcon Esports,blue,"[59, 17, 25, 73, 93]","[118, 101, 89, 21, 84]",0,ONIC Esports,red,"[62, 40, 75, 58, 104]","[44, 37, 111, 24, 76]",1,18:06,1086,5,2,0,1,bracket
2,20230107,Falcon Esports,red,"[104, 58, 52, 43, 24]","[62, 17, 101, 75, 14]",0,ONIC Esports,blue,"[102, 89, 86, 21, 44]","[68, 84, 118, 111, 76]",1,13:09,789,5,3,0,2,bracket
2,20230107,ECHO,blue,"[37, 44, 52, 40, 26]","[48, 62, 104, 84, 58]",1,Team HAQ,red,"[35, 43, 101, 85, 95]","[17, 21, 118, 89, 111]",0,24:06,1446,5,1,0,0,bracket
2,20230107,ECHO,blue,"[44, 117, 75, 40, 78]","[62, 104, 101, 73, 65]",1,Team HAQ,red,"[26, 31, 15, 17, 95]","[58, 37, 118, 111, 89]",0,12:21,741,5,2,1,0,bracket
2,20230107,ECHO,red,"[95, 111, 9, 105, 24]","[89, 104, 40, 73, 84]",0,Team HAQ,blue,"[35, 65, 75, 118, 37]","[78, 44, 26, 62, 101]",1,16:05,965,5,3,2,0,bracket
2,20230107,ECHO,blue,"[95, 30, 101, 73, 29]","[62, 104, 118, 35, 21]",0,Team HAQ,red,"[26, 65, 111, 84, 106]","[78, 58, 44, 89, 40]",1,18:20,1100,5,4,2,1,bracket
2,20230107,ECHO,blue,"[95, 117, 101, 100, 62]","[118, 104, 65, 111, 73]",1,Team HAQ,red,"[35, 105, 115, 84, 26]","[78, 58, 40, 44, 89]",0,10:56,656,5,5,2,2,bracket
2,20230112,ONIC Esports,red,"[44, 79, 111, 68, 78]","[89, 40, 101, 105, 73]",0,ECHO,blue,"[62, 114, 115, 117, 118]","[84, 21, 17, 104, 75]",1,23:06,1386,5,1,0,0,bracket
2,20230112,ONIC Esports,red,"[37, 21, 101, 31, 62]","[89, 118, 117, 111, 76]",1,ECHO,blue,"[78, 40, 52, 26, 95]","[65, 73, 104, 17, 75]",0,20:48,1248,5,2,0,1,bracket
2,20230112,ONIC Esports,red,"[104, 99, 111, 53, 62]","[89, 40, 101, 118, 95]",0,ECHO,blue,"[26, 65, 76, 117, 85]","[58, 73, 84, 21, 17]",1,11:41,701,5,3,1,1,bracket
2,20230112,ONIC Esports,red,"[104, 118, 76, 65, 102]","[89, 40, 101, 73, 53]",0,ECHO,blue,"[26, 105, 86, 117, 85]","[58, 109, 84, 21, 17]",1,21:37,1297,5,4,1,2,bracket
2,20230108,TODAK,blue,"[94, 58, 101, 21, 29]","[118, 89, 104, 65, 86]",0,RRQ Hoshi,red,"[35, 105, 75, 17, 95]","[78, 37, 111, 40, 62]",1,13:20,800,5,1,0,0,bracket
