tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
30,20220519,Philippines,blue,"[101, 9, 81, 24, 65]","[84, 10, 88, 8, 26]",0,Singapore,red,"[87, 44, 85, 115, 105]","[94, 20, 102, 89, 111]",1,13:43,823,3,1,0,0,bracket
30,20220519,Philippines,blue,"[105, 87, 101, 97, 48]","[84, 10, 88, 9, 8]",1,Singapore,red,"[51, 112, 85, 94, 115]","[24, 103, 102, 89, 111]",0,19:45,1185,3,2,0,1,bracket
30,20220519,Philippines,red,"[105, 87, 92, 103, 14]","[111, 84, 89, 10, 40]",1,Singapore,blue,"[44, 13, 8, 85, 101]","[48, 55, 115, 88, 102]",0,27:11,1631,3,3,1,1,bracket
30,20220519,Indonesia,blue,"[89, 87, 81, 29, 66]","[26, 35, 10, 9, 8]",1,Malaysia,red,"[2, 78, 40, 88, 92]","[55, 101, 115, 84, 111]",0,17:23,1043,3,1,0,0,bracket
30,20220519,Indonesia,red,"[9, 86, 94, 78, 47]","[111, 89, 44, 55, 48]",1,Malaysia,blue,"[35, 26, 87, 92, 105]","[17, 8, 10, 115, 84]",0,20:44,1244,3,2,1,0,bracket
30,20220520,Philippines,blue,"[81, 87, 115, 89, 20]","[84, 10, 17, 21, 8]",1,Indonesia,red,"[55, 94, 86, 9, 88]","[14, 48, 102, 34, 111]",0,29:06,1746,5,1,0,0,bracket
30,20220520,Philippines,red,"[81, 87, 92, 100, 94]","[111, 84, 89, 9, 105]",0,Indonesia,blue,"[10, 13, 115, 8, 85]","[55, 20, 101, 34, 102]",1,18:29,1109,5,2,1,0,bracket
30,20220520,Philippines,blue,"[81, 9, 115, 40, 14]","[84, 10, 17, 85, 29]",1,Indonesia,red,"[78, 105, 101, 87, 59]","[65, 20, 89, 102, 111]",0,24:28,1468,5,3,1,1,bracket
30,20220520,Philippines,red,"[59, 9, 115, 105, 20]","[111, 84, 10, 86, 29]",1,Indonesia,blue,"[48, 89, 92, 87, 81]","[65, 85, 101, 34, 102]",0,10:52,652,5,4,2,1,bracket
30,20220519,Singapore,blue,"[89, 92, 93, 85, 99]","[101, 88, 26, 115, 25]",1,Malaysia,red,"[44, 66, 105, 10, 84]","[9, 51, 87, 8, 111]",0,19:29,1169,3,1,0,0,bracket
