tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
31,20220422,GX Squad,blue,"[8, 59, 75, 89, 29]","[102, 21, 84, 35, 20]",1,NewLife,red,"[69, 87, 81, 115, 65]","[13, 32, 111, 44]",0,12:13,733,3,1,0,0,bracket
31,20220422,GX Squad,blue,"[85, 59, 75, 32, 100]","[44, 21, 8, 13, 10]",1,NewLife,red,"[51, 22, 20, 104, 101]","[55, 102, 84, 111, 89]",0,15:26,926,3,2,1,0,bracket
31,20220422,Astros International,red,"[94, 92, 59, 103, 49]","[85, 111, 104, 48, 8]",0,Squademon,blue,"[87, 55, 100, 115, 44]","[102, 78, 101, 52, 81]",1,14:56,896,3,1,0,0,bracket
31,20220422,Astros International,blue,"[59, 78, 8, 25, 100]","[85, 87, 104, 101, 115]",0,Squademon,red,"[106, 86, 2, 55, 94]","[92, 52, 81, 44, 111]",1,12:42,762,3,2,0,1,bracket
31,20220424,GX Squad,blue,"[111, 115, 84, 10, 13]","[101, 105, 85, 86, 25]",1,Squademon,red,"[65, 92, 103, 87, 55]","[102, 78, 81, 89, 44]",0,18:28,1108,3,1,0,0,bracket
31,20220424,GX Squad,red,"[87, 8, 89, 75, 29]","[111, 44, 85, 102, 2]",1,Squademon,blue,"[83, 10, 105, 88, 115]","[86, 52, 55, 84, 101]",0,24:09,1449,3,2,1,0,bracket
31,20220423,Aogiri Family,blue,"[115, 104, 105, 85, 93]","[95, 47, 111, 59, 81]",1,EAZY,red,"[25, 29, 94, 8, 78]","[32, 21, 84, 92, 44]",0,13:28,808,3,1,0,0,bracket
31,20220423,Aogiri Family,blue,"[115, 81, 105, 20, 85]","[55, 111, 17, 87, 47]",1,EAZY,red,"[30, 68, 95, 94, 78]","[21, 93, 84, 92, 44]",0,12:09,729,3,2,1,0,bracket
31,20220423,Team Origin,red,"[105, 81, 78, 25, 103]","[87, 44, 8, 48, 95]",1,Phantom Hunters,blue,"[20, 59, 2, 13, 111]","[51, 30, 101, 85, 89]",0,11:51,711,3,1,0,0,bracket
31,20220423,Team Origin,blue,"[87, 101, 13, 88, 93]","[17, 78, 85, 35, 99]",1,Phantom Hunters,red,"[21, 105, 25, 55, 81]","[104, 59, 8, 44, 111]",0,23:45,1425,3,2,1,0,bracket
31,20220424,Aogiri Family,red,"[55, 87, 81, 92, 89]","[101, 44, 111, 78, 93]",0,Team Origin,blue,"[103, 20, 115, 105, 8]","[13, 25, 85, 84, 17]",1,12:57,777,3,1,0,0,bracket
31,20220424,Aogiri Family,red,"[81, 115, 13, 6, 30]","[101, 44, 48, 94, 104]",0,Team Origin,blue,"[103, 105, 8, 93, 111]","[21, 47, 85, 84, 17]",1,14:23,863,3,2,0,1,bracket
31,20220430,GX Squad,blue,"[44, 115, 89, 2, 55]","[101, 8, 85, 86, 25]",1,Team Origin,red,"[52, 81, 78, 87, 105]","[21, 48, 17, 111, 84]",0,26:11,1571,5,1,0,0,bracket
31,20220430,GX Squad,blue,"[87, 55, 89, 75, 81]","[101, 44, 8, 52, 25]",1,Team Origin,red,"[103, 86, 20, 85, 105]","[115, 29, 17, 111, 84]",0,15:54,954,5,2,1,0,bracket
31,20220430,GX Squad,blue,"[87, 115, 55, 88, 94]","[101, 44, 8, 78, 81]",1,Team Origin,red,"[93, 106, 52, 89, 85]","[13, 105, 17, 111, 84]",0,13:35,815,5,3,2,0,bracket
31,20230422,NewLife,red,"[8, 85, 115, 104, 70]","[52, 44, 111, 59, 81]",0,Astros International,blue,"[27, 94, 87, 55, 92]","[102, 65, 13, 21, 84]",1,21:07,1267,3,1,0,0,bracket
31,20230422,NewLife,blue,"[44, 94, 85, 96, 34]","[52, 8, 25, 59, 81]",0,Astros International,red,"[100, 27, 55, 115, 87]","[101, 86, 13, 92, 111]",1,12:44,764,3,2,0,1,bracket
31,20220429,Squademon,blue,"[44, 102, 99, 65, 101]","[78, 8, 55, 89, 94]",1,Astros International,red,"[100, 20, 88, 115, 49]","[52, 87, 111, 13, 85]",0,15:07,907,3,1,0,0,bracket
31,20220429,Squademon,blue,"[44, 52, 102, 100, 49]","[78, 101, 115, 81, 59]",0,Astros International,red,"[20, 95, 94, 8, 92]","[83, 13, 111, 85, 55]",1,17:35,1055,3,2,1,0,bracket
31,20220429,Squademon,red,"[84, 104, 78, 94, 115]","[111, 55, 8, 59, 2]",1,Astros International,blue,"[101, 105, 48, 27, 83]","[103, 52, 13, 44, 85]",0,16:52,1012,3,3,1,1,bracket
31,20230423,EAZY,blue,"[44, 89, 95, 68, 27]","[115, 101, 8, 17, 21]",1,Phantom Hunters,red,"[55, 87, 106, 13, 92]","[25, 52, 84, 94, 111]",0,22:11,1331,3,1,0,0,bracket
31,20230423,EAZY,red,"[78, 95, 84, 68, 100]","[115, 111, 44, 8, 21]",1,Phantom Hunters,blue,"[87, 81, 48, 52, 13]","[25, 101, 92, 89, 94]",0,15:37,937,3,2,1,0,bracket
31,20220429,Aogiri Family,red,"[44, 105, 25, 93, 21]","[81, 87, 94, 48, 78]",1,EAZY,blue,"[104, 55, 13, 2, 111]","[30, 115, 47, 17, 84]",0,19:12,1152,3,1,0,0,bracket
31,20220429,Aogiri Family,blue,"[89, 35, 81, 25, 84]","[87, 78, 111, 8, 86]",0,EAZY,red,"[105, 44, 29, 68, 47]","[93, 94, 115, 92, 87]",1,11:10,670,3,2,1,0,bracket
31,20220429,Aogiri Family,blue,"[84, 81, 94, 54, 52]","[111, 8, 44, 47, 95]",1,EAZY,red,"[109, 29, 25, 105, 78]","[35, 93, 13, 92, 115]",0,11:34,694,3,3,1,1,bracket
