tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
33,20220428,ECHO,blue,"[8, 85, 100, 115, 88]","[84, 87, 44, 99, 51]",0,Omega Esports,red,"[81, 89, 55, 9, 101]","[105, 24, 106, 26, 111]",1,15:23,923,5,1,0,0,bracket
33,20220428,ECHO,red,"[103, 115, 105, 102, 85]","[111, 84, 44, 10, 93]",0,Omega Esports,blue,"[101, 89, 35, 8, 88]","[95, 24, 55, 106, 26]",1,24:57,1497,5,2,0,1,bracket
33,20220428,ECHO,blue,"[44, 25, 2, 105, 10]","[84, 81, 89, 100, 65]",0,Omega Esports,red,"[93, 68, 115, 26, 85]","[51, 24, 88, 106, 111]",1,23:40,1420,5,3,0,2,bracket
33,20220429,TNC Pro Team,red,"[103, 8, 20, 105, 86]","[84, 89, 111, 63, 101]",1,Omega Esports,blue,"[85, 26, 44, 115, 65]","[72, 81, 88, 55, 10]",0,9:58,598,5,1,0,0,bracket
33,20220429,TNC Pro Team,blue,"[44, 26, 63, 13, 47]","[89, 101, 35, 106, 55]",0,Omega Esports,red,"[86, 81, 8, 105, 78]","[87, 94, 84, 88, 111]",1,13:37,817,5,2,1,0,bracket
33,20220429,TNC Pro Team,red,"[2, 10, 81, 105, 101]","[89, 84, 111, 85, 65]",1,Omega Esports,blue,"[100, 75, 72, 44, 8]","[99, 87, 86, 88, 55]",0,20:05,1205,5,3,1,1,bracket
33,20220429,TNC Pro Team,blue,"[84, 10, 81, 15, 100]","[89, 35, 105, 87, 8]",1,Omega Esports,red,"[55, 88, 92, 65, 99]","[115, 86, 44, 111, 101]",0,20:45,1245,5,4,2,1,bracket
33,20220428,Nexplay EVOS,red,"[8, 101, 10, 100, 9]","[17, 84, 86, 25, 63]",1,ONIC Philippines,blue,"[73, 44, 34, 85, 99]","[65, 88, 111, 35, 89]",0,14:23,863,5,1,0,0,bracket
33,20220428,Nexplay EVOS,red,"[10, 101, 106, 47, 65]","[17, 84, 81, 55, 93]",0,ONIC Philippines,blue,"[44, 59, 87, 115, 89]","[99, 94, 111, 8, 9]",1,22:00,1320,5,2,1,0,bracket
33,20220428,Nexplay EVOS,red,"[84, 10, 101, 100, 26]","[17, 86, 87, 55, 35]",0,ONIC Philippines,blue,"[44, 24, 115, 99, 89]","[88, 106, 111, 8, 9]",1,19:09,1149,5,3,1,1,bracket
33,20220428,Nexplay EVOS,red,"[10, 101, 84, 105, 104]","[17, 115, 89, 24, 55]",1,ONIC Philippines,blue,"[85, 94, 86, 99, 44]","[100, 88, 51, 111, 9]",0,12:39,759,5,4,1,2,bracket
33,20220428,Nexplay EVOS,blue,"[115, 105, 8, 93, 81]","[17, 24, 87, 94, 44]",0,ONIC Philippines,red,"[65, 88, 99, 101, 10]","[9, 104, 84, 89, 111]",1,25:10,1510,5,5,2,2,bracket
33,20220429,RSG Philippines,blue,"[89, 52, 8, 81, 10]","[17, 84, 115, 87, 47]",1,ONIC Philippines,red,"[51, 24, 92, 44, 71]","[25, 86, 105, 101, 111]",0,17:44,1064,5,1,0,0,bracket
33,20220429,RSG Philippines,red,"[101, 26, 81, 105, 99]","[17, 44, 111, 94, 103]",1,ONIC Philippines,blue,"[88, 65, 115, 24, 84]","[87, 8, 35, 89, 10]",0,25:32,1532,5,2,1,0,bracket
33,20220429,RSG Philippines,blue,"[8, 105, 72, 92, 93]","[17, 84, 115, 94, 100]",1,ONIC Philippines,red,"[87, 10, 44, 107, 85]","[78, 26, 101, 89, 111]",0,22:46,1366,5,3,2,0,bracket
33,20220430,TNC Pro Team,blue,"[81, 21, 86, 13, 10]","[101, 8, 105, 72, 59]",0,RSG Philippines,red,"[93, 89, 25, 87, 85]","[15, 47, 63, 84, 111]",1,16:53,1013,5,1,0,0,bracket
33,20220430,TNC Pro Team,red,"[62, 8, 81, 100, 20]","[111, 87, 89, 99, 2]",0,RSG Philippines,blue,"[10, 13, 101, 17, 85]","[52, 25, 105, 86, 84]",1,12:48,768,5,2,0,1,bracket
33,20220430,TNC Pro Team,blue,"[59, 87, 86, 94, 20]","[89, 10, 101, 25, 93]",0,RSG Philippines,red,"[26, 100, 52, 8, 81]","[13, 85, 105, 84, 111]",1,17:33,1053,5,3,0,2,bracket
33,20220430,Omega Esports,red,"[88, 105, 8, 86, 78]","[17, 111, 84, 81, 103]",1,ONIC Philippines,blue,"[59, 100, 87, 115, 47]","[10, 93, 44, 89, 101]",0,16:07,967,5,1,0,0,bracket
33,20220430,Omega Esports,red,"[87, 105, 88, 10, 92]","[17, 84, 111, 24, 63]",1,ONIC Philippines,blue,"[55, 78, 100, 85, 8]","[115, 93, 89, 86, 101]",0,14:40,880,5,2,1,0,bracket
33,20220430,Omega Esports,blue,"[105, 85, 8, 10, 86]","[17, 24, 84, 106, 35]",1,ONIC Philippines,red,"[14, 78, 100, 101, 87]","[115, 93, 88, 89, 111]",0,13:02,782,5,3,2,0,bracket
33,20220501,TNC Pro Team,blue,"[81, 47, 101, 94, 29]","[89, 8, 35, 65, 78]",0,Omega Esports,red,"[10, 13, 86, 87, 85]","[20, 93, 84, 105, 111]",1,25:57,1557,5,1,0,0,bracket
33,20220501,TNC Pro Team,red,"[85, 47, 25, 100, 26]","[89, 111, 105, 44, 78]",0,Omega Esports,blue,"[44, 13, 86, 8, 81]","[87, 2, 84, 101, 10]",1,19:51,1191,5,2,0,1,bracket
33,20220501,TNC Pro Team,blue,"[4, 8, 52, 13, 10]","[89, 101, 86, 44, 100]",0,Omega Esports,red,"[93, 65, 92, 87, 81]","[20, 85, 84, 105, 111]",1,18:58,1138,5,3,0,2,bracket
33,20220501,RSG Philippines,blue,"[81, 8, 115, 100, 10]","[84, 105, 87, 93, 44]",1,Omega Esports,red,"[78, 68, 101, 2, 85]","[25, 65, 86, 89, 111]",0,18:35,1115,7,1,0,0,bracket
33,20220501,RSG Philippines,red,"[88, 8, 101, 100, 55]","[111, 89, 87, 44, 9]",0,Omega Esports,blue,"[102, 105, 86, 99, 81]","[72, 85, 17, 84, 10]",1,13:37,817,7,2,1,0,bracket
33,20220501,RSG Philippines,blue,"[85, 47, 101, 100, 10]","[84, 87, 44, 65, 115]",1,Omega Esports,red,"[93, 13, 25, 8, 81]","[99, 17, 89, 105, 111]",0,18:10,1090,7,3,1,1,bracket
33,20220501,RSG Philippines,red,"[81, 8, 92, 13, 26]","[111, 89, 105, 44, 78]",1,Omega Esports,blue,"[102, 100, 101, 99, 85]","[93, 65, 17, 84, 10]",0,18:36,1116,7,4,2,1,bracket
33,20220501,RSG Philippines,blue,"[95, 99, 25, 89, 78]","[84, 87, 105, 65, 44]",1,Omega Esports,red,"[34, 40, 101, 8, 106]","[55, 88, 81, 10, 111]",0,24:24,1464,7,5,3,1,bracket
33,20220218,Blacklist Intl.,blue,"[86, 105, 34, 29, 2]","[63, 17, 101, 65, 95]",0,ONIC Philippines,red,"[52, 26, 47, 71, 106]","[103, 108, 92, 104, 111]",1,14:01,841,3,1,0,0,qualifiers
33,20220218,Blacklist Intl.,blue,"[26, 85, 30, 35, 71]","[63, 17, 86, 89, 94]",1,ONIC Philippines,red,"[61, 106, 103, 29, 101]","[102, 34, 92, 104, 111]",0,27:04,1624,3,2,0,1,qualifiers
