tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
37,20211021,Alter Ego,blue,"[2, 39, 4, 78, 101]","[63, 87, 54, 106, 61]",0,Bigetron Alpha,red,"[86, 102, 103, 99, 107]","[97, 95, 52, 21, 84]",1,10:42,642,5,1,0,0,bracket
37,20211021,Alter Ego,red,"[106, 95, 54, 79, 102]","[101, 63, 87, 86, 81]",1,Bigetron Alpha,blue,"[68, 14, 103, 99, 107]","[97, 30, 52, 21, 84]",0,17:37,1057,5,2,0,1,bracket
37,20211021,Alter Ego,blue,"[101, 26, 8, 106, 97]","[63, 87, 81, 86, 65]",1,Bigetron Alpha,red,"[40, 52, 74, 103, 54]","[14, 24, 102, 21, 84]",0,23:42,1422,5,3,1,1,bracket
37,20211021,Alter Ego,red,"[54, 42, 52, 103, 26]","[101, 63, 87, 99, 8]",1,Bigetron Alpha,blue,"[2, 86, 65, 81, 102]","[95, 97, 106, 21, 84]",0,17:43,1063,5,4,2,1,bracket
37,20211022,RRQ Hoshi,blue,"[97, 68, 103, 49, 64]","[54, 106, 52, 8, 95]",1,Alter Ego,red,"[102, 39, 81, 107, 24]","[78, 14, 101, 84, 21]",0,20:20,1220,5,1,0,0,bracket
37,20211022,RRQ Hoshi,blue,"[83, 101, 97, 29, 100]","[54, 106, 52, 8, 95]",1,Alter Ego,red,"[102, 79, 103, 4, 78]","[68, 39, 81, 84, 21]",0,22:25,1345,5,2,1,0,bracket
37,20211022,RRQ Hoshi,red,"[81, 52, 7, 78, 64]","[21, 106, 52, 87, 26]",1,Alter Ego,blue,"[86, 84, 72, 97, 63]","[47, 29, 102, 103, 54]",0,17:58,1078,5,3,2,0,bracket
37,20211021,EVOS Legends,blue,"[29, 102, 86, 84, 83]","[52, 75, 101, 6, 4]",0,AURA Fire,red,"[78, 107, 42, 103, 8]","[95, 100, 89, 54, 21]",1,21:47,1307,5,1,0,0,bracket
37,20211021,EVOS Legends,blue,"[81, 55, 65, 8, 99]","[75, 101, 83, 68, 47]",1,AURA Fire,red,"[103, 95, 52, 72, 102]","[29, 100, 89, 54, 21]",0,10:52,652,5,2,0,1,bracket
37,20211021,EVOS Legends,red,"[106, 55, 65, 2, 95]","[75, 8, 83, 54, 84]",1,AURA Fire,blue,"[97, 47, 29, 101, 103]","[95, 65, 21, 55, 89]",0,16:03,963,5,3,1,1,bracket
37,20211021,EVOS Legends,red,"[30, 102, 52, 2, 99]","[75, 8, 83, 54, 84]",0,AURA Fire,blue,"[59, 78, 107, 103, 101]","[95, 65, 21, 55, 89]",1,23:37,1417,5,4,2,1,bracket
37,20211021,EVOS Legends,blue,"[110, 52, 8, 95, 107]","[75, 83, 103, 68, 4]",1,AURA Fire,red,"[81, 37, 21, 102, 101]","[94, 14, 54, 89, 55]",0,20:13,1213,5,5,2,2,bracket
37,20211022,ONIC Esports,red,"[2, 107, 62, 68, 11]","[21, 52, 102, 29, 95]",1,EVOS Legends,blue,"[37, 8, 64, 101, 55]","[17, 83, 103, 63, 54]",0,21:07,1267,5,1,0,0,bracket
37,20211022,ONIC Esports,red,"[107, 47, 95, 86, 102]","[21, 52, 101, 8, 64]",1,EVOS Legends,blue,"[29, 103, 65, 68, 55]","[30, 17, 62, 63, 54]",0,23:03,1383,5,2,1,0,bracket
37,20211022,ONIC Esports,blue,"[107, 103, 37, 68, 44]","[52, 101, 102, 55, 81]",1,EVOS Legends,red,"[63, 99, 8, 86, 65]","[62, 78, 17, 21, 54]",0,19:26,1166,5,3,2,0,bracket
37,20211023,RRQ Hoshi,red,"[26, 68, 30, 54, 81]","[21, 63, 107, 86, 11]",1,ONIC Esports,blue,"[94, 102, 103, 62, 95]","[47, 64, 52, 101, 84]",0,16:03,963,5,1,0,0,bracket
37,20211023,RRQ Hoshi,red,"[26, 79, 54, 81, 86]","[21, 63, 107, 68, 95]",0,ONIC Esports,blue,"[12, 102, 103, 61, 29]","[64, 106, 52, 101, 84]",1,12:05,725,5,2,1,0,bracket
37,20211023,RRQ Hoshi,blue,"[81, 97, 29, 13, 101]","[63, 54, 102, 52, 106]",1,ONIC Esports,red,"[107, 14, 2, 68, 95]","[47, 64, 103, 21, 84]",0,13:09,789,5,3,1,1,bracket
