tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
51,20200703,RRQ Hoshi,red,"[59, 47, 57, 4, 93]","[84, 63, 55]",1,EVOS Legends,blue,"[87, 81, 52, 40, 72]","[68, 65, 96]",0,10:10,610,3,1,0,0,bracket
51,20200703,RRQ Hoshi,red,"[2, 79, 96, 41, 93]","[84, 63, 78]",1,EVOS Legends,blue,"[44, 24, 57, 47, 59]","[21, 81, 65]",0,11:54,714,3,2,1,0,bracket
51,20200703,Resurgence,red,"[87, 39, 96, 68, 78]","[65, 59, 55]",1,Burmese Ghouls,blue,"[93, 81, 57, 84, 72]","[54, 63, 94]",0,20:02,1202,3,1,0,0,bracket
51,20200703,Resurgence,blue,"[87, 65, 48, 68, 78]","[81, 96, 25]",1,Burmese Ghouls,red,"[93, 40, 54, 84, 59]","[83, 63, 94]",0,13:34,814,3,2,1,0,bracket
51,20200704,RRQ Hoshi,blue,"[83, 81, 57, 62, 78]","[65, 68, 40]",1,Resurgence,red,"[93, 59, 55, 84, 87]","[47, 96, 63]",0,12:28,748,3,1,0,0,bracket
51,20200704,RRQ Hoshi,red,"[26, 47, 52, 59, 78]","[65, 68, 79]",1,Resurgence,blue,"[93, 87, 96, 84, 35]","[57, 63, 81]",0,15:00,900,3,2,1,0,bracket
51,20200703,Geek Fam,red,"[59, 21, 57, 54, 94]","[65, 84, 96]",1,Aerowolf,blue,"[86, 88, 63, 47, 72]","[52, 24, 81]",0,18:44,1124,3,1,0,0,bracket
51,20200703,Geek Fam,red,"[81, 47, 57, 54, 94]","[65, 84, 21]",1,Aerowolf,blue,"[78, 72, 96, 39, 59]","[52, 63, 24]",0,14:10,850,3,2,1,0,bracket
51,20200704,Burmese Ghouls,blue,"[83, 12, 63, 88, 48]","[94, 81, 52]",1,Geek Fam,red,"[62, 54, 96, 47, 59]","[21, 84, 65]",0,26:00,1560,3,1,0,0,bracket
51,20200704,Burmese Ghouls,blue,"[83, 21, 52, 41, 63]","[81, 94, 96]",1,Geek Fam,red,"[78, 59, 57, 47, 26]","[48, 65, 84]",0,17:29,1049,3,2,1,0,bracket
51,20200703,ONIC Esports,red,"[72, 40, 63, 54, 78]","[65, 84, 57]",0,Alter Ego,blue,"[93, 59, 52, 47, 83]","[79, 81, 62]",1,16:03,963,3,1,0,0,bracket
51,20200703,ONIC Esports,blue,"[72, 40, 25, 62, 91]","[96, 63, 47]",1,Alter Ego,red,"[93, 59, 52, 79, 81]","[87, 65, 84]",0,21:21,1281,3,2,0,1,bracket
51,20200703,ONIC Esports,red,"[59, 12, 96, 72, 93]","[63, 65, 26]",1,Alter Ego,blue,"[87, 81, 57, 47, 55]","[40, 84, 62]",0,12:29,749,3,3,1,1,bracket
51,20200704,EVOS Legends,red,"[72, 84, 96, 59, 94]","[62, 81, 26]",1,ONIC Esports,blue,"[78, 54, 63, 65, 88]","[52, 93, 55]",0,9:48,588,3,1,0,0,bracket
51,20200704,EVOS Legends,red,"[72, 21, 57, 59, 78]","[62, 65, 12]",0,ONIC Esports,blue,"[93, 81, 96, 79, 26]","[47, 84, 63]",1,14:23,863,3,2,1,0,bracket
51,20200704,EVOS Legends,red,"[59, 40, 57, 68, 93]","[62, 65, 78]",1,ONIC Esports,blue,"[91, 81, 96, 79, 72]","[52, 84, 63]",0,17:35,1055,3,3,1,1,bracket
51,20200704,Burmese Ghouls,blue,"[59, 21, 25, 83, 48]","[96, 84, 72]",1,EVOS Legends,red,"[93, 26, 52, 47, 81]","[78, 65, 63]",0,15:28,928,3,1,0,0,bracket
51,20200704,Burmese Ghouls,blue,"[83, 12, 62, 87, 63]","[96, 84, 57]",1,EVOS Legends,red,"[93, 59, 68, 40, 81]","[48, 21, 65]",0,10:02,602,3,2,1,0,bracket
51,20200705,Resurgence,blue,"[62, 39, 96, 81, 93]","[83, 63, 25]",1,Burmese Ghouls,red,"[48, 87, 52, 21, 59]","[54, 78, 65]",0,17:36,1056,3,1,0,0,bracket
51,20200705,Resurgence,red,"[54, 39, 25, 59, 78]","[65, 83, 12]",0,Burmese Ghouls,blue,"[87, 41, 63, 40, 88]","[52, 81, 96]",1,14:03,843,3,2,1,0,bracket
51,20200705,Resurgence,red,"[62, 79, 52, 54, 78]","[63, 79, 93]",1,Burmese Ghouls,blue,"[94, 83, 25, 12, 59]","[84, 81, 96]",0,18:23,1103,3,3,1,1,bracket
51,20200705,RRQ Hoshi,red,"[83, 84, 63, 81, 93]","[65, 62, 54]",1,Resurgence,blue,"[32, 89, 96, 56, 35]","[26, 59, 78]",0,9:43,583,5,1,0,0,bracket
51,20200705,RRQ Hoshi,blue,"[72, 84, 57, 59, 78]","[65, 62, 93]",1,Resurgence,red,"[83, 54, 96, 81, 82]","[52, 47, 63]",0,16:04,964,5,2,1,0,bracket
51,20200705,RRQ Hoshi,red,"[2, 21, 52, 81, 78]","[65, 62, 68]",1,Resurgence,blue,"[93, 56, 57, 79, 59]","[47, 96, 63]",0,15:47,947,5,3,2,0,bracket
