tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
6,20231117,AP.Bren,blue,"[112, 21, 76, 12, 102]","[58, 117, 87, 97, 55]",1,RSG Philippines,red,"[80, 100, 111, 118, 82]","[51, 47, 119, 17, 122]",0,13:46,826,3,1,0,0,bracket
6,20231117,AP.Bren,red,"[98, 80, 76, 12, 19]","[117, 87, 58, 97, 35]",1,RSG Philippines,blue,"[112, 65, 120, 118, 82]","[95, 21, 119, 122, 17]",0,14:09,849,3,2,1,0,bracket
6,20231117,ECHO,red,"[97, 117, 76, 40, 19]","[55, 120, 118, 48, 86]",1,HomeBois,blue,"[112, 12, 23, 122, 82]","[89, 62, 106, 111, 102]",0,10:55,655,3,1,0,0,bracket
6,20231117,ECHO,blue,"[97, 9, 76, 121, 29]","[55, 120, 118, 48, 19]",0,HomeBois,red,"[26, 12, 86, 87, 37]","[89, 14, 117, 102, 111]",1,13:54,834,3,2,1,0,bracket
6,20231117,ECHO,blue,"[95, 9, 120, 12, 119]","[55, 118, 87, 89, 121]",1,HomeBois,red,"[26, 13, 76, 58, 37]","[48, 19, 111, 117, 102]",0,24:02,1442,3,3,1,1,bracket
6,20231118,AP.Bren,blue,"[87, 17, 111, 73, 119]","[117, 9, 75, 58, 112]",0,ECHO,red,"[102, 40, 76, 80, 98]","[65, 100, 12, 122, 118]",1,13:55,835,3,1,0,0,bracket
6,20231118,AP.Bren,blue,"[112, 87, 76, 53, 19]","[117, 9, 102, 121, 98]",0,ECHO,red,"[119, 105, 86, 80, 97]","[65, 89, 12, 122, 118]",1,13:24,804,3,2,0,1,bracket
6,20231117,TheOhioBrothers,red,"[59, 58, 76, 12, 26]","[118, 122, 87, 89, 43]",0,See You Soon,blue,"[19, 65, 55, 47, 82]","[35, 119, 102, 80, 17]",1,21:12,1272,3,1,0,0,bracket
6,20231117,TheOhioBrothers,blue,"[112, 118, 61, 12, 26]","[75, 55, 122, 100, 98]",0,See You Soon,red,"[35, 43, 120, 58, 119]","[111, 76, 102, 80, 17]",1,16:17,977,3,2,0,1,bracket
6,20231118,RSG Philippines,red,"[119, 117, 86, 12, 29]","[75, 55, 122, 121, 89]",0,See You Soon,blue,"[62, 43, 76, 58, 85]","[112, 110, 102, 87, 80]",1,17:22,1042,3,1,0,0,bracket
6,20231118,RSG Philippines,blue,"[103, 117, 76, 12, 62]","[75, 87, 106, 121, 19]",1,See You Soon,red,"[78, 43, 120, 58, 119]","[102, 110, 89, 55, 80]",0,12:43,763,3,2,0,1,bracket
6,20231118,RSG Philippines,red,"[103, 58, 120, 100, 102]","[75, 55, 76, 10, 112]",1,See You Soon,blue,"[26, 12, 86, 118, 85]","[62, 110, 111, 80, 87]",0,16:37,997,3,3,1,1,bracket
6,20231117,Rebellion Zion,red,"[103, 58, 120, 12, 10]","[102, 80, 82, 100, 89]",0,Blacklist Intl.,blue,"[19, 121, 86, 122, 112]","[62, 35, 106, 118, 17]",1,16:05,965,3,1,0,0,bracket
6,20231117,Rebellion Zion,blue,"[97, 117, 23, 65, 102]","[12, 122, 111, 55, 82]",0,Blacklist Intl.,red,"[110, 89, 76, 87, 72]","[86, 101, 80, 17, 118]",1,24:20,1460,3,2,0,1,bracket
6,20231118,HomeBois,blue,"[95, 87, 55, 89, 44]","[102, 111, 86, 48, 19]",1,Blacklist Intl.,red,"[62, 12, 120, 9, 112]","[76, 82, 80, 122, 118]",0,13:31,811,3,1,0,0,bracket
6,20231118,HomeBois,blue,"[95, 87, 120, 89, 119]","[102, 111, 122, 19, 106]",0,Blacklist Intl.,red,"[14, 65, 86, 80, 82]","[62, 26, 55, 76, 118]",1,17:50,1070,3,2,1,0,bracket
6,20231118,HomeBois,red,"[37, 87, 76, 12, 26]","[102, 80, 86, 121, 89]",1,Blacklist Intl.,blue,"[9, 40, 101, 122, 82]","[58, 95, 106, 55, 118]",0,18:08,1088,3,3,1,1,bracket
6,20231118,RSG Philippines,blue,"[103, 87, 76, 105, 62]","[55, 12, 58, 121, 19]",1,HomeBois,red,"[26, 65, 86, 118, 82]","[40, 89, 80, 17, 102]",0,15:39,939,3,1,0,0,bracket
6,20231118,RSG Philippines,blue,"[103, 87, 76, 105, 62]","[55, 12, 58, 19, 44]",1,HomeBois,red,"[112, 89, 86, 117, 118]","[98, 106, 80, 102, 17]",0,14:56,896,3,2,1,0,bracket
6,20231119,AP.Bren,red,"[119, 9, 55, 89, 29]","[117, 87, 12, 62, 78]",1,RSG Philippines,blue,"[10, 105, 111, 80, 103]","[17, 58, 76, 118, 122]",0,17:16,1036,3,1,0,0,bracket
6,20231119,AP.Bren,red,"[119, 80, 111, 100, 19]","[87, 12, 117, 89, 103]",0,RSG Philippines,blue,"[102, 65, 76, 58, 95]","[59, 17, 55, 118, 122]",1,15:12,912,3,2,1,0,bracket
6,20231119,AP.Bren,red,"[119, 47, 106, 65, 102]","[87, 117, 12, 95, 98]",0,RSG Philippines,blue,"[80, 100, 76, 58, 97]","[59, 9, 55, 122, 118]",1,22:03,1323,3,3,1,1,bracket
6,20231119,ECHO,red,"[106, 117, 111, 65, 119]","[120, 87, 12, 55, 80]",0,RSG Philippines,blue,"[62, 89, 76, 58, 103]","[19, 121, 102, 75, 9]",1,20:10,1210,5,1,0,0,bracket
6,20231119,ECHO,red,"[97, 117, 111, 89, 19]","[120, 12, 76, 103, 106]",1,RSG Philippines,blue,"[80, 65, 55, 87, 119]","[62, 86, 9, 102, 75]",0,13:49,829,5,2,0,1,bracket
