tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
73,20231201,Pajajaran Esports,blue,"[58, 47, 76, 12, 62]","[102, 111, 89, 100, 65]",1,Pendekar Esports,red,"[78, 105, 86, 80, 119]","[26, 48, 87, 122, 118]",0,25:44,1544,3,1,0,0,bracket
73,20231201,Pajajaran Esports,red,"[58, 47, 111, 12, 78]","[102, 89, 118, 86, 120]",1,Pendekar Esports,blue,"[112, 100, 96, 80, 103]","[75, 82, 122, 76, 87]",0,21:23,1283,3,2,1,0,bracket
73,20231201,ONIC Miracle,blue,"[82, 17, 111, 89, 19]","[47, 76, 122, 106, 58]",0,Pajajaran Esports,red,"[80, 43, 55, 21, 119]","[10, 62, 118, 12, 102]",1,15:34,934,3,1,0,0,bracket
73,20231201,ONIC Miracle,red,"[119, 80, 86, 43, 48]","[89, 122, 55, 62, 58]",0,Pajajaran Esports,blue,"[78, 40, 76, 47, 82]","[100, 65, 102, 118, 12]",1,18:25,1105,3,2,0,1,bracket
73,20231201,Borneo FC Esports,blue,"[82, 87, 120, 12, 19]","[48, 89, 119, 95, 58]",1,Suber 24,red,"[55, 100, 76, 117, 85]","[14, 102, 80, 118, 122]",0,13:25,805,3,1,0,0,bracket
73,20231201,Borneo FC Esports,red,"[104, 9, 120, 65, 55]","[48, 12, 80, 102, 14]",1,Suber 24,blue,"[110, 100, 86, 58, 119]","[87, 82, 89, 118, 122]",0,24:32,1472,3,2,1,0,bracket
73,20231202,Team Gryffin,blue,"[72, 58, 76, 12, 19]","[118, 122, 55, 121, 82]",0,Borneo FC Esports,red,"[102, 105, 120, 87, 103]","[62, 48, 117, 80, 119]",1,20:14,1214,3,1,0,0,bracket
73,20231202,Team Gryffin,red,"[72, 58, 76, 89, 102]","[118, 122, 12, 120, 106]",1,Borneo FC Esports,blue,"[62, 65, 52, 80, 103]","[9, 117, 55, 87, 119]",0,25:19,1519,3,2,0,1,bracket
73,20231202,Team Gryffin,blue,"[81, 88, 76, 12, 48]","[118, 102, 122, 65, 105]",0,Borneo FC Esports,red,"[80, 121, 55, 17, 82]","[58, 9, 117, 87, 119]",1,17:36,1056,3,3,1,1,bracket
73,20231202,Pajajaran Esports,blue,"[95, 122, 76, 105, 80]","[103, 102, 12, 17, 87]",0,Borneo FC Esports,red,"[55, 89, 120, 58, 29]","[40, 106, 47, 118, 119]",1,19:24,1164,5,1,0,0,bracket
73,20231202,Pajajaran Esports,red,"[58, 21, 76, 12, 102]","[55, 89, 118, 121, 65]",1,Borneo FC Esports,blue,"[62, 100, 120, 80, 82]","[19, 48, 111, 119, 47]",0,20:23,1223,5,2,0,1,bracket
73,20231202,Pajajaran Esports,blue,"[82, 47, 111, 100, 80]","[55, 89, 120, 102, 29]",1,Borneo FC Esports,red,"[35, 12, 86, 58, 103]","[85, 121, 76, 119, 118]",0,15:18,918,5,3,1,1,bracket
73,20231202,Pajajaran Esports,red,"[82, 97, 120, 12, 102]","[55, 89, 118, 17, 103]",1,Borneo FC Esports,blue,"[80, 100, 76, 122, 29]","[21, 58, 111, 119, 47]",0,26:06,1566,5,4,2,1,bracket
73,20231202,ONIC Miracle,blue,"[59, 58, 76, 89, 78]","[55, 87, 119, 65, 121]",1,Team Gryffin,red,"[102, 114, 120, 117, 103]","[17, 62, 80, 12, 118]",0,13:40,820,3,1,0,0,bracket
