tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
76,20231109,Falcon Esports,red,"[82, 17, 120, 12, 78]","[122, 102, 55, 100, 31]",1,TX,blue,"[10, 89, 76, 117, 119]","[101, 29, 87, 112, 118]",0,13:55,835,3,1,0,0,bracket
76,20231109,Falcon Esports,blue,"[59, 4, 55, 43, 44]","[111, 102, 82, 105, 100]",1,TX,red,"[62, 89, 75, 58, 81]","[112, 29, 76, 118, 122]",0,13:58,838,3,2,1,0,bracket
76,20231109,Burmese Ghouls,blue,"[119, 47, 111, 105, 10]","[102, 112, 118, 95, 43]",0,Mythic Seal,red,"[29, 89, 55, 117, 59]","[104, 62, 122, 26, 76]",1,14:48,888,3,1,0,0,bracket
76,20231109,Burmese Ghouls,red,"[98, 117, 120, 100, 44]","[102, 122, 118, 112, 86]",0,Mythic Seal,blue,"[78, 43, 55, 47, 95]","[82, 37, 26, 29, 76]",1,23:04,1384,3,2,0,1,bracket
76,20231110,Falcon Esports,red,"[119, 118, 101, 12, 19]","[122, 102, 55, 89, 100]",0,Mythic Seal,blue,"[29, 43, 120, 117, 95]","[82, 44, 112, 76, 4]",1,15:15,915,5,1,0,0,bracket
76,20231110,Falcon Esports,blue,"[82, 118, 76, 100, 78]","[111, 102, 117, 119, 98]",1,Mythic Seal,red,"[29, 43, 120, 58, 95]","[112, 44, 122, 55, 4]",0,32:09,1929,5,2,0,1,bracket
76,20231110,Falcon Esports,red,"[119, 47, 86, 12, 29]","[122, 102, 55, 59, 120]",0,Mythic Seal,blue,"[78, 121, 75, 118, 117]","[98, 101, 4, 82, 76]",1,16:00,960,5,3,1,1,bracket
76,20231110,Falcon Esports,blue,"[106, 4, 112, 65, 29]","[117, 102, 111, 100, 62]",0,Mythic Seal,red,"[19, 12, 75, 118, 119]","[89, 120, 82, 55, 76]",1,13:57,837,5,4,1,2,bracket
76,20231109,Team Star Boyz,blue,"[59, 122, 120, 89, 44]","[118, 17, 55, 47, 52]",1,Team Mahar,red,"[78, 43, 102, 116, 82]","[95, 119, 112, 76, 111]",0,21:27,1287,3,1,0,0,bracket
76,20231109,Team Star Boyz,red,"[119, 47, 120, 12, 62]","[55, 118, 122, 95, 59]",1,Team Mahar,blue,"[102, 43, 75, 17, 112]","[58, 9, 89, 76, 111]",0,14:00,840,3,2,1,0,bracket
76,20231110,TX,red,"[106, 9, 92, 12, 102]","[120, 87, 112, 81, 82]",0,Team Star Boyz,blue,"[62, 89, 111, 122, 59]","[47, 117, 55, 76, 118]",1,21:42,1302,3,1,0,0,bracket
76,20231110,TX,blue,"[37, 17, 76, 43, 102]","[120, 87, 112, 62, 10]",0,Team Star Boyz,red,"[19, 89, 111, 58, 119]","[59, 106, 122, 55, 118]",1,14:57,897,3,2,0,1,bracket
76,20231109,GGWP,blue,"[95, 9, 111, 89, 19]","[118, 76, 75, 62, 26]",0,Zino Esports,red,"[10, 65, 52, 87, 119]","[117, 58, 47, 102, 112]",1,11:31,691,3,1,0,0,bracket
76,20231109,GGWP,red,"[82, 122, 76, 12, 78]","[118, 111, 119, 43, 65]",0,Zino Esports,blue,"[112, 31, 75, 58, 98]","[9, 48, 87, 47, 102]",1,12:03,723,3,2,0,1,bracket
76,20231110,Burmese Ghouls,blue,"[82, 122, 75, 40, 112]","[62, 117, 86, 89, 65]",1,Zino Esports,red,"[29, 105, 111, 87, 119]","[83, 12, 55, 26, 76]",0,12:26,746,3,1,0,0,bracket
76,20231110,Burmese Ghouls,red,"[98, 117, 111, 121, 6]","[62, 122, 86, 119, 65]",1,Zino Esports,blue,"[10, 31, 120, 87, 97]","[29, 89, 26, 76, 55]",0,17:51,1071,3,2,1,0,bracket
76,20231111,Team Star Boyz,blue,"[59, 117, 120, 89, 112]","[26, 76, 17, 111, 75]",0,Burmese Ghouls,red,"[29, 12, 56, 58, 106]","[119, 81, 102, 55, 122]",1,14:39,879,3,1,0,0,bracket
76,20231111,Team Star Boyz,red,"[37, 47, 111, 12, 29]","[122, 76, 26, 89, 121]",0,Burmese Ghouls,blue,"[78, 39, 55, 118, 119]","[95, 82, 86, 117, 102]",1,32:42,1962,3,2,0,1,bracket
76,20231111,Falcon Esports,blue,"[82, 4, 106, 100, 19]","[26, 29, 76, 10, 62]",1,Burmese Ghouls,red,"[104, 89, 111, 58, 119]","[120, 78, 102, 122, 55]",0,10:35,635,5,1,0,0,bracket
76,20231111,Falcon Esports,red,"[119, 58, 106, 12, 19]","[26, 55, 76, 81, 100]",1,Burmese Ghouls,blue,"[29, 121, 111, 122, 59]","[47, 118, 82, 4, 102]",0,24:14,1454,5,2,1,0,bracket
76,20231111,Falcon Esports,blue,"[82, 118, 23, 100, 78]","[26, 29, 76, 119, 98]",1,Burmese Ghouls,red,"[102, 43, 120, 117, 37]","[112, 19, 4, 122, 55]",0,24:46,1486,5,3,2,0,bracket
76,20231112,Mythic Seal,red,"[29, 80, 120, 121, 48]","[4, 82, 55, 19, 44]",1,Falcon Esports,blue,"[78, 89, 76, 117, 119]","[106, 59, 112, 102, 118]",0,18:36,1116,7,1,0,0,bracket
76,20231112,Mythic Seal,blue,"[59, 117, 75, 12, 78]","[4, 82, 76, 89, 43]",1,Falcon Esports,red,"[120, 105, 80, 58, 95]","[122, 47, 102, 118, 55]",0,24:26,1466,7,2,1,0,bracket
76,20231112,Mythic Seal,red,"[85, 80, 102, 89, 78]","[76, 82, 55, 106, 19]",1,Falcon Esports,blue,"[44, 12, 111, 118, 59]","[120, 119, 29, 75, 117]",0,14:06,846,7,3,2,0,bracket
76,20231112,Mythic Seal,blue,"[95, 80, 55, 121, 112]","[76, 82, 89, 120, 52]",1,Falcon Esports,red,"[29, 40, 86, 17, 117]","[59, 78, 118, 75, 102]",0,11:00,660,7,4,3,0,bracket
76,20231024,Zino Esports,unknown,"[87, 86, 26, 121, 97]",[],1,Team Mahar,unknown,"[14, 12, 117, 112, 111]",[],0,Game 1,,3,1,0,0,qualifiers
76,20231024,Zino Esports,unknown,"[111, 62, 58, 119, 65]",[],1,Team Mahar,unknown,"[85, 121, 120, 78, 122]",[],0,Game 2,,3,2,1,0,qualifiers
