tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
78,20231026,ONIC Prodigy,blue,"[82, 28, 86, 12, 14]","[102, 87, 112, 95, 119]",1,EVOS Icon,red,"[19, 100, 120, 117, 103]","[58, 76, 111, 55, 122]",0,17:37,1057,5,1,0,0,bracket
78,20231026,ONIC Prodigy,red,"[85, 118, 75, 65, 62]","[87, 55, 102, 12, 89]",1,EVOS Icon,blue,"[9, 43, 76, 122, 82]","[58, 17, 112, 117, 111]",0,22:26,1346,5,2,1,0,bracket
78,20231026,ONIC Prodigy,red,"[95, 117, 120, 43, 102]","[111, 87, 62, 75, 10]",1,EVOS Icon,blue,"[112, 12, 92, 58, 119]","[121, 89, 55, 76, 122]",0,23:32,1412,5,3,2,0,bracket
78,20231026,Bigetron Beta,blue,"[82, 117, 52, 100, 110]","[111, 87, 112, 75, 76]",0,RRQ Sena,red,"[14, 12, 70, 9, 44]","[58, 48, 122, 55, 102]",1,14:07,847,5,1,0,0,bracket
78,20231026,Bigetron Beta,red,"[95, 9, 111, 89, 55]","[122, 87, 82, 59, 103]",0,RRQ Sena,blue,"[26, 100, 102, 17, 85]","[12, 43, 86, 62, 112]",1,20:12,1212,5,2,0,1,bracket
78,20231026,Bigetron Beta,red,"[59, 58, 120, 43, 19]","[82, 122, 87, 95, 103]",1,RRQ Sena,blue,"[112, 65, 55, 84, 98]","[85, 118, 17, 62, 102]",0,23:56,1436,5,3,0,2,bracket
78,20231026,Bigetron Beta,red,"[83, 17, 23, 12, 44]","[122, 87, 62, 82, 103]",1,RRQ Sena,blue,"[110, 43, 76, 58, 97]","[118, 48, 86, 112, 102]",0,18:46,1126,5,4,1,2,bracket
78,20231026,Bigetron Beta,red,"[37, 80, 86, 40, 14]","[122, 87, 62, 89, 105]",0,RRQ Sena,blue,"[35, 13, 111, 117, 82]","[114, 121, 118, 112, 102]",1,15:07,907,5,5,2,2,bracket
78,20231028,ONIC Prodigy,blue,"[103, 58, 86, 12, 112]","[102, 55, 17, 87, 118]",1,RRQ Sena,red,"[14, 43, 82, 9, 81]","[48, 83, 111, 62, 122]",0,21:22,1282,5,1,0,0,bracket
78,20231028,ONIC Prodigy,red,"[98, 87, 55, 43, 78]","[122, 17, 112, 89, 12]",0,RRQ Sena,blue,"[102, 100, 86, 58, 85]","[26, 95, 82, 62, 111]",1,11:43,703,5,2,1,0,bracket
