tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
79,20231020,ECHO Proud,blue,"[112, 4, 55, 100, 19]","[117, 111, 62, 89, 102]",1,Omega Neos,red,"[14, 13, 120, 87, 95]","[9, 47, 122, 118, 17]",0,20:16,1216,3,1,0,0,bracket
79,20231020,ECHO Proud,red,"[82, 87, 75, 65, 62]","[117, 102, 76, 89, 73]",0,Omega Neos,blue,"[112, 43, 55, 9, 122]","[95, 12, 118, 100, 17]",1,14:37,877,3,2,1,0,bracket
79,20231020,ECHO Proud,blue,"[103, 122, 111, 12, 19]","[117, 55, 62, 87, 102]",0,Omega Neos,red,"[112, 43, 76, 47, 119]","[14, 48, 118, 17, 100]",1,10:54,654,3,3,1,1,bracket
79,20231020,RSG Mistah,red,"[112, 9, 111, 12, 78]","[118, 122, 55, 121, 120]",0,MHRLK Esports,blue,"[102, 100, 76, 87, 82]","[89, 40, 43, 47, 17]",1,18:19,1099,3,1,0,0,bracket
79,20231020,RSG Mistah,blue,"[119, 118, 76, 43, 44]","[111, 62, 55, 105, 65]",1,MHRLK Esports,red,"[102, 100, 86, 117, 82]","[26, 14, 47, 17, 122]",0,26:13,1573,3,2,0,1,bracket
79,20231020,RSG Mistah,blue,"[119, 58, 120, 43, 35]","[111, 62, 55, 112, 59]",1,MHRLK Esports,red,"[14, 40, 76, 47, 81]","[86, 87, 118, 122, 17]",0,10:54,654,3,3,1,1,bracket
79,20231021,TNCZ4,blue,"[112, 58, 111, 89, 19]","[9, 75, 102, 14, 76]",1,RSG Mistah,red,"[120, 43, 115, 117, 82]","[65, 121, 55, 122, 118]",0,17:45,1065,3,1,0,0,bracket
79,20231021,TNCZ4,blue,"[95, 117, 120, 65, 112]","[75, 102, 9, 19, 43]",1,RSG Mistah,red,"[44, 89, 76, 122, 119]","[58, 35, 111, 55, 118]",0,18:34,1114,3,2,1,0,bracket
79,20231020,ONIC Arsenals,blue,"[97, 58, 111, 12, 110]","[87, 75, 62, 120, 101]",1,GameLab,red,"[78, 40, 76, 117, 82]","[14, 48, 102, 122, 55]",0,13:54,834,3,1,0,0,bracket
79,20231020,ONIC Arsenals,red,"[95, 58, 111, 12, 14]","[87, 75, 62, 17, 120]",1,GameLab,blue,"[102, 105, 23, 47, 82]","[97, 103, 110, 55, 122]",0,19:12,1152,3,2,1,0,bracket
79,20231021,Euphoria Esports,blue,"[59, 47, 55, 100, 26]","[17, 102, 112, 119]",1,ONIC Arsenals,red,"[62, 12, 111, 58, 85]","[65, 52, 122, 75, 87]",0,24:04,1444,3,1,0,0,bracket
79,20231021,Euphoria Esports,red,"[82, 47, 120, 40, 10]","[102, 55, 17, 35, 119]",1,ONIC Arsenals,blue,"[112, 43, 111, 58, 95]","[65, 12, 122, 75, 87]",0,17:23,1043,3,2,1,0,bracket
79,20231021,TNCZ4,blue,"[117, 118, 111, 43, 19]","[17, 47, 75, 121, 76]",0,Euphoria Esports,red,"[26, 105, 120, 122, 82]","[119, 95, 112, 102, 55]",1,17:35,1055,3,1,0,0,bracket
79,20231021,TNCZ4,red,"[117, 58, 111, 105, 62]","[17, 102, 122, 26, 120]",1,Euphoria Esports,blue,"[78, 43, 55, 47, 59]","[119, 89, 75, 112, 82]",0,19:11,1151,3,2,0,1,bracket
79,20231021,TNCZ4,blue,"[119, 58, 111, 65, 62]","[17, 122, 75, 26, 10]",1,Euphoria Esports,red,"[19, 105, 120, 47, 82]","[95, 89, 112, 102, 55]",0,17:23,1043,3,3,1,1,bracket
79,20231022,ECHO Proud,blue,"[119, 118, 55, 43, 44]","[62, 102, 111, 87, 12]",0,TNCZ4,red,"[10, 65, 120, 58, 112]","[82, 76, 122, 17, 100]",1,12:18,738,3,1,0,0,bracket
79,20231022,ECHO Proud,blue,"[112, 47, 120, 12, 19]","[102, 55, 58, 119, 62]",1,TNCZ4,red,"[78, 65, 111, 118, 117]","[82, 10, 122, 17, 100]",0,10:50,650,3,2,0,1,bracket
79,20231022,ECHO Proud,blue,"[112, 47, 111, 12, 10]","[102, 58, 55, 119, 82]",1,TNCZ4,red,"[62, 65, 120, 117, 95]","[75, 76, 122, 17, 100]",0,13:20,800,3,3,1,1,bracket
79,20231022,Omega Neos,red,"[82, 117, 76, 43, 10]","[17, 100, 118, 12, 83]",0,ECHO Proud,blue,"[19, 65, 120, 47, 112]","[62, 14, 122, 55, 102]",1,17:53,1073,5,1,0,0,bracket
