tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
80,20230929,Pendekar Esports,blue,"[82, 47, 75, 105, 112]","[117, 87, 118, 98, 103]",0,AURA Fire,red,"[14, 43, 111, 58, 83]","[100, 12, 120, 55, 102]",1,19:14,1154,3,1,0,0,bracket
80,20230929,Pendekar Esports,blue,"[82, 11, 120, 12, 19]","[87, 117, 118, 83, 98]",0,AURA Fire,red,"[14, 43, 111, 58, 97]","[47, 78, 112, 55, 102]",1,14:00,840,3,2,0,1,bracket
80,20230929,EVOS Legends,red,"[95, 118, 14, 43, 19]","[55, 87, 17, 12, 100]",0,Rebellion Zion,blue,"[102, 105, 120, 117, 103]","[9, 58, 75, 82, 112]",1,20:56,1256,3,1,0,0,bracket
80,20230929,EVOS Legends,blue,"[95, 118, 14, 12, 19]","[10, 62, 17, 111, 120]",1,Rebellion Zion,red,"[110, 43, 101, 87, 82]","[59, 83, 112, 55, 102]",0,10:56,656,3,2,0,1,bracket
80,20230929,EVOS Legends,red,"[95, 87, 111, 43, 62]","[55, 102, 10, 105, 17]",1,Rebellion Zion,blue,"[112, 12, 120, 117, 103]","[26, 58, 14, 82, 19]",0,14:42,882,3,3,1,1,bracket
80,20230929,Glorious Dream,red,"[112, 21, 120, 100, 75]","[87, 117, 102, 111, 86]",0,KINGS Esports,blue,"[44, 43, 33, 17, 82]","[78, 9, 58, 55, 118]",1,14:21,861,3,1,0,0,bracket
80,20230929,Glorious Dream,red,"[82, 9, 111, 100, 110]","[87, 117, 102, 48, 120]",0,KINGS Esports,blue,"[62, 43, 75, 17, 112]","[105, 12, 58, 55, 118]",1,14:37,877,3,2,0,1,bracket
80,20230930,Rebellion Zion,red,"[95, 118, 111, 43, 112]","[102, 55, 75, 120, 101]",1,Glorious Dream,blue,"[78, 65, 52, 117, 103]","[105, 82, 87, 10, 62]",0,09:56,596,3,1,0,0,bracket
80,20230930,Rebellion Zion,red,"[82, 17, 111, 121, 78]","[55, 102, 117, 26, 112]",1,Glorious Dream,blue,"[75, 65, 29, 58, 118]","[19, 43, 87, 62, 10]",0,13:55,835,3,2,1,0,bracket
80,20230930,KINGS Esports,red,"[112, 117, 33, 43, 14]","[111, 87, 102, 100, 12]",1,Pendekar Esports,blue,"[75, 105, 120, 118, 82]","[51, 21, 55, 47, 17]",0,23:07,1387,3,1,0,0,bracket
80,20230930,KINGS Esports,red,"[112, 118, 55, 65, 54]","[111, 87, 82, 62, 10]",1,Pendekar Esports,blue,"[102, 43, 75, 117, 95]","[100, 12, 14, 47, 17]",0,15:50,950,3,2,1,0,bracket
80,20230930,AURA Fire,blue,"[103, 117, 23, 43, 14]","[118, 82, 95, 110, 75]",0,EVOS Legends,red,"[112, 12, 111, 87, 98]","[76, 52, 120, 102, 55]",1,27:09,1629,3,1,0,0,bracket
80,20230930,AURA Fire,red,"[82, 117, 52, 43, 110]","[102, 55, 112, 58, 19]",1,EVOS Legends,blue,"[14, 12, 111, 9, 95]","[97, 59, 87, 17, 118]",0,09:36,576,3,2,0,1,bracket
80,20230930,AURA Fire,blue,"[82, 99, 111, 43, 102]","[112, 87, 118, 83, 4]",1,EVOS Legends,red,"[19, 12, 14, 73, 103]","[75, 23, 52, 55, 117]",0,24:58,1498,3,3,1,1,bracket
80,20231001,KINGS Esports,blue,"[74, 17, 33, 43, 14]","[10, 87, 62, 110, 103]",0,Rebellion Zion,red,"[29, 105, 111, 117, 82]","[95, 75, 112, 55, 102]",1,14:09,849,3,1,0,0,bracket
80,20231001,KINGS Esports,blue,"[82, 58, 111, 43, 14]","[10, 87, 117, 105, 47]",0,Rebellion Zion,red,"[62, 121, 101, 21, 95]","[17, 78, 112, 55, 102]",1,18:29,1109,3,2,0,1,bracket
80,20231001,Glorious Dream,blue,"[117, 17, 111, 65, 19]","[87, 43, 14, 103, 58]",0,AURA Fire,red,"[110, 12, 52, 99, 77]","[82, 112, 55, 118, 102]",1,08:35,515,3,1,0,0,bracket
80,20231001,Glorious Dream,blue,"[37, 117, 52, 100, 62]","[87, 43, 102, 82, 103]",0,AURA Fire,red,"[14, 12, 75, 58, 95]","[19, 110, 55, 112, 118]",1,09:38,578,3,2,0,1,bracket
80,20231001,Pendekar Esports,blue,"[104, 47, 120, 65, 112]","[87, 118, 95, 14, 111]",0,EVOS Legends,red,"[119, 43, 75, 17, 117]","[12, 105, 82, 55, 102]",1,15:27,927,3,1,0,0,bracket
80,20231001,Pendekar Esports,blue,"[82, 21, 111, 43, 78]","[87, 118, 95, 17, 14]",0,EVOS Legends,red,"[112, 12, 75, 117, 103]","[9, 58, 47, 102, 55]",1,15:20,920,3,2,0,1,bracket
80,20231002,EVOS Legends,blue,"[97, 117, 75, 43, 62]","[17, 87, 55, 82, 59]",1,Glorious Dream,red,"[78, 105, 111, 58, 112]","[95, 103, 102, 14, 118]",0,12:40,760,3,1,0,0,bracket
80,20231002,EVOS Legends,red,"[95, 47, 111, 43, 26]","[102, 55, 82, 19, 75]",1,Glorious Dream,blue,"[14, 12, 120, 117, 59]","[112, 62, 17, 87, 118]",0,11:24,684,3,2,1,0,bracket
80,20231002,AURA Fire,red,"[83, 87, 52, 43, 14]","[17, 118, 55, 33, 110]",1,KINGS Esports,blue,"[112, 12, 120, 117, 82]","[75, 103, 102, 47, 111]",0,20:05,1205,3,1,0,0,bracket
