tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
82,20231020,Cicaraga,blue,"[98, 117, 120, 12, 112]","[82, 102, 17, 95, 9]",0,TODAK,red,"[19, 65, 111, 47, 104]","[83, 48, 62, 55, 122]",1,11:40,700,3,1,0,0,bracket
82,20231020,Cicaraga,red,"[83, 47, 111, 40, 14]","[122, 17, 112, 76, 58]",0,TODAK,blue,"[78, 43, 55, 118, 82]","[95, 65, 102, 75, 62]",1,10:47,647,3,2,0,1,bracket
82,20231020,HomeBois,blue,"[118, 47, 120, 12, 112]","[122, 17, 95, 103, 104]",1,RSG Malaysia,red,"[78, 43, 76, 58, 106]","[86, 23, 82, 55, 102]",0,18:26,1106,3,1,0,0,bracket
82,20231020,HomeBois,red,"[118, 58, 23, 12, 112]","[95, 17, 102, 73, 89]",1,RSG Malaysia,blue,"[110, 121, 55, 9, 37]","[43, 65, 122, 111, 82]",0,14:15,855,3,2,1,0,bracket
82,20231021,TODAK,blue,"[112, 118, 76, 12, 19]","[62, 58, 55, 48, 14]",1,HomeBois,red,"[35, 43, 120, 47, 82]","[65, 89, 102, 122, 17]",0,16:34,994,3,1,0,0,bracket
82,20231021,TODAK,red,"[106, 47, 76, 121, 19]","[82, 112, 55, 86, 111]",1,HomeBois,blue,"[78, 12, 23, 58, 97]","[95, 89, 102, 122, 17]",0,14:20,860,3,2,1,0,bracket
82,20231020,MPX NSEA,blue,"[112, 87, 120, 100, 110]","[111, 17, 117, 58, 86]",0,Alter Ego,red,"[14, 12, 75, 51, 82]","[98, 103, 122, 55, 102]",1,14:25,865,3,1,0,0,bracket
82,20231020,MPX NSEA,red,"[59, 117, 86, 65, 19]","[122, 102, 12, 47, 17]",0,Alter Ego,blue,"[14, 121, 120, 51, 82]","[95, 98, 112, 111, 55]",1,12:47,767,3,2,0,1,bracket
82,20231020,Team SR,red,"[37, 58, 75, 43, 112]","[122, 55, 82, 47, 118]",0,Red Giants Esports,blue,"[78, 12, 111, 9, 119]","[76, 120, 87, 17, 102]",1,11:07,667,3,1,0,0,bracket
82,20231020,Team SR,blue,"[83, 9, 120, 100, 112]","[17, 111, 43, 12, 121]",0,Red Giants Esports,red,"[19, 13, 75, 87, 118]","[89, 65, 76, 102, 122]",1,16:47,1007,3,2,0,1,bracket
82,20231021,Alter Ego,red,"[106, 117, 75, 12, 14]","[102, 55, 122, 121, 43]",0,Red Giants Esports,blue,"[112, 89, 76, 47, 119]","[86, 120, 111, 17, 82]",1,14:50,890,3,1,0,0,bracket
82,20231021,Alter Ego,blue,"[98, 47, 111, 12, 19]","[112, 55, 119, 100, 89]",1,Red Giants Esports,red,"[78, 43, 120, 87, 80]","[95, 85, 82, 102, 122]",0,12:57,777,3,2,0,1,bracket
82,20231021,Alter Ego,red,"[59, 51, 86, 43, 112]","[122, 102, 55, 100, 89]",1,Red Giants Esports,blue,"[78, 65, 111, 9, 119]","[75, 120, 12, 17, 82]",0,15:32,932,3,3,1,1,bracket
82,20231022,TODAK,blue,"[112, 118, 101, 43, 19]","[82, 17, 111, 14, 59]",1,Alter Ego,red,"[35, 12, 76, 47, 95]","[65, 121, 122, 55, 102]",0,16:27,987,3,1,0,0,bracket
82,20231022,TODAK,red,"[104, 47, 76, 65, 19]","[82, 122, 102, 48, 59]",0,Alter Ego,blue,"[112, 43, 111, 117, 119]","[12, 121, 55, 118, 17]",1,13:02,782,3,2,1,0,bracket
82,20231022,TODAK,blue,"[95, 87, 55, 89, 112]","[111, 17, 82, 86, 75]",1,Alter Ego,red,"[102, 43, 120, 117, 98]","[12, 121, 47, 118, 122]",0,14:11,851,3,3,1,1,bracket
82,20231021,Cicaraga,red,"[95, 58, 86, 43, 19]","[82, 102, 122, 65, 12]",0,Team HAQ,blue,"[112, 100, 55, 87, 103]","[120, 14]",1,14:37,877,3,1,0,0,bracket
82,20231021,Cicaraga,blue,"[82, 47, 101, 65, 55]","[102, 17, 14, 12, 103]",0,Team HAQ,red,"[112, 105, 76, 117, 59]","[86, 43, 118, 111, 122]",1,16:25,985,3,2,0,1,bracket
82,20231021,Team HAQ,blue,"[98, 87, 76, 100, 102]","[118, 111, 55, 110, 14]",1,MPX NSEA,red,"[120, 12, 82, 47, 95]","[119, 59, 17, 112, 122]",0,13:48,828,3,1,0,0,bracket
82,20231021,Team HAQ,red,"[98, 87, 76, 100, 44]","[122, 118, 55, 110, 14]",1,MPX NSEA,blue,"[112, 65, 120, 47, 119]","[59, 78, 102, 111, 17]",0,15:21,921,3,2,1,0,bracket
82,20231021,SEEC,blue,"[81, 87, 111, 105, 14]","[95, 102, 43, 12, 59]",0,RSG Malaysia,red,"[112, 121, 23, 17, 85]","[9, 65, 82, 55, 122]",1,9:14,554,3,1,0,0,bracket
82,20231021,SEEC,red,"[118, 17, 62, 43, 78]","[111, 9, 51, 76, 120]",0,RSG Malaysia,blue,"[112, 100, 102, 58, 77]","[86, 95, 122, 55, 82]",1,10:25,625,3,2,0,1,bracket
82,20231022,Red Giants Esports,blue,"[104, 47, 76, 12, 19]","[51, 67, 58, 120, 121]",1,HomeBois,red,"[112, 43, 101, 117, 82]","[83, 95, 122, 102, 17]",0,16:11,971,3,1,0,0,bracket
82,20231022,Red Giants Esports,red,"[85, 122, 76, 100, 10]",,0,HomeBois,blue,"[19, 12, 120, 118, 119]",,1,20:26,1226,3,2,1,0,bracket
82,20231022,Red Giants Esports,blue,"[119, 47, 111, 43, 19]",,0,HomeBois,red,"[112, 12, 76, 80, 103]",,1,14:42,882,3,3,1,1,bracket
82,20231022,Alter Ego,red,"[82, 47, 111, 121, 35]","[122, 58, 112, 103, 98]",1,HomeBois,blue,"[19, 12, 76, 51, 37]","[14, 48, 102, 95, 17]",0,16:12,972,3,1,0,0,bracket
82,20231022,Alter Ego,blue,"[82, 51, 111, 43, 26]","[112, 58, 76, 103, 19]",1,HomeBois,red,"[78, 12, 120, 47, 95]","[35, 89, 122, 102, 17]",0,15:46,946,3,2,1,0,bracket
82,20231022,TODAK,blue,"[106, 17, 76, 121, 19]","[111, 82, 112, 26, 98]",1,Alter Ego,red,"[29, 100, 75, 51, 117]","[65, 89, 102, 55, 122]",0,17:08,1028,5,1,0,0,bracket
82,20231022,TODAK,red,"[112, 51, 120, 43, 10]","[122, 82, 111, 76, 47]",0,Alter Ego,blue,"[102, 12, 86, 117, 59]","[89, 85, 55, 118, 17]",1,12:02,722,5,2,1,0,bracket
82,20231022,TODAK,blue,"[119, 9, 55, 43, 19]","[82, 111, 102, 59, 51]",0,Alter Ego,red,"[112, 121, 76, 117, 85]","[95, 47, 122, 118, 17]",1,17:32,1052,5,3,1,1,bracket
82,20231022,TODAK,red,"[112, 67, 120, 89, 102]","[122, 82, 59, 106, 62]",1,Alter Ego,blue,"[48, 12, 111, 47, 85]","[117, 51, 55, 118, 17]",0,15:21,921,5,4,1,2,bracket
82,20231022,TODAK,blue,"[112, 47, 120, 12, 102]","[82, 59, 111, 95, 19]",0,Alter Ego,red,"[26, 43, 55, 51, 104]","[67, 76, 122, 118, 17]",1,25:03,1503,5,5,2,2,bracket
