tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
83,20230903,Bigetron Era,blue,"[59, 47, 75, 105, 112]","[101, 82, 62, 120, 76]",1,Pssychology,red,"[110, 60, 57, 87, 83]","[17, 43, 115, 93, 84]",0,08:56,536,3,1,0,0,bracket
83,20230903,Bigetron Era,blue,"[103, 84, 55, 71, 44]","[62, 82, 76, 100, 87]",1,Pssychology,red,"[20, 60, 25, 58, 81]","[43, 120, 59, 75, 105]",0,09:54,594,3,2,1,0,bracket
83,20230903,Cosmo Enzi,red,"[82, 58, 115, 12, 48]","[118, 111, 110, 89, 95]",0,RRQ Mika,blue,"[62, 105, 52, 117, 37]","[68, 120, 75, 76, 101]",1,13:53,833,3,1,0,0,bracket
83,20230903,Cosmo Enzi,red,"[37, 87, 120, 107, 62]","[111, 118, 117, 89, 59]",0,RRQ Mika,blue,"[112, 43, 52, 58, 95]","[82, 100, 76, 75, 101]",1,10:22,622,3,2,0,1,bracket
83,20230903,Dewa United Eve,red,"[103, 9, 52, 105, 48]","[101, 111, 117, 69, 17]",0,MBR Delphyne,blue,"[78, 65, 75, 21, 112]","[100, 12, 82, 55, 58]",1,13:54,834,3,1,0,0,bracket
83,20230903,Dewa United Eve,blue,"[82, 97, 111, 12, 44]","[75, 112, 17, 65, 21]",0,MBR Delphyne,red,"[78, 100, 52, 117, 103]","[110, 19, 48, 55, 58]",1,16:12,972,3,2,0,1,bracket
83,20230903,Madura Prime,red,"[97, 117, 111, 40, 55]","[84, 101, 118, 86, 110]",1,White Eagles Ladies,blue,"[112, 12, 92, 58, 59]","[82, 10, 48, 120, 75]",0,23:17,1397,3,1,0,0,bracket
83,20230903,Madura Prime,blue,"[59, 47, 111, 105, 9]","[84, 112, 101, 110, 55]",1,White Eagles Ladies,red,"[48, 43, 86, 87, 83]","[10, 82, 118, 97, 75]",0,13:40,820,3,2,1,0,bracket
83,20230903,MBR Delphyne,blue,"[82, 69, 111, 105, 62]","[58, 97, 59, 48, 55]",1,Madura Prime,red,"[19, 12, 101, 87, 88]","[103, 100, 112, 84, 17]",0,15:27,927,3,1,0,0,bracket
83,20230903,MBR Delphyne,red,"[103, 69, 101, 100, 62]","[58, 97, 112, 59, 82]",1,Madura Prime,blue,"[48, 12, 92, 87, 81]","[114, 105, 84, 111, 17]",0,15:48,948,3,2,1,0,bracket
83,20230903,White Eagles Ladies,blue,"[95, 12, 86, 100, 20]","[111, 75, 65, 93, 78]",0,Bigetron Era,red,"[10, 105, 120, 103, 82]","[48, 62, 59, 101]",1,09:58,598,3,1,0,0,bracket
83,20230903,White Eagles Ladies,blue,"[59, 51, 68, 12, 19]","[111, 65, 120, 82, 20]",0,Bigetron Era,red,"[10, 100, 75, 103, 95]","[87, 78, 48, 62, 101]",1,08:53,533,3,2,0,1,bracket
83,20230904,RRQ Mika,blue,"[95, 117, 120, 105, 62]","[101, 76, 84, 58, 44]",1,Dewa United Eve,red,"[78, 12, 52, 21, 82]","[100, 65, 111, 112, 75]",0,23:01,1381,3,1,0,0,bracket
83,20230904,RRQ Mika,blue,"[104, 9, 111, 65, 112]","[101, 84, 76, 82, 78]",1,Dewa United Eve,red,"[48, 100, 52, 21, 117]","[95, 83, 58, 105, 75]",0,13:33,813,3,2,1,0,bracket
83,20230904,Pssychology,red,"[59, 17, 68, 12, 78]","[75, 65, 82, 43, 40]",0,Cosmo Enzi,blue,"[110, 105, 52, 117, 103]","[19, 111, 60, 55, 101]",1,13:46,826,3,1,0,0,bracket
83,20230904,Pssychology,blue,"[59, 25, 52, 114, 78]","[110, 75, 65, 62, 111]",0,Cosmo Enzi,red,"[19, 40, 120, 58, 83]","[43, 105, 101, 60, 55]",1,14:21,861,3,2,0,1,bracket
83,20230904,Madura Prime,blue,"[112, 87, 55, 13, 57]","[75, 118, 83, 104, 10]",0,RRQ Mika,red,"[20, 105, 52, 117, 37]","[65, 43, 111, 110, 101]",1,38:00,2280,3,1,0,0,bracket
83,20230904,Madura Prime,red,"[82, 87, 76, 105, 112]","[118, 83, 117, 9, 40]",1,RRQ Mika,blue,"[62, 43, 111, 28, 103]","[12, 52, 101, 55, 110]",0,24:22,1462,3,2,0,1,bracket
83,20230904,Dewa United Eve,red,"[95, 84, 115, 12, 62]","[111, 112, 101, 78, 117]",1,Pssychology,blue,"[44, 60, 52, 58, 59]","[93, 57, 103, 82, 75]",0,10:25,625,3,1,0,0,bracket
83,20230904,Dewa United Eve,blue,"[103, 11, 46, 100, 10]","[75, 111, 117, 110, 78]",1,Pssychology,red,"[19, 105, 76, 47, 81]","[17, 52, 84, 57, 101]",0,08:31,511,3,2,1,0,bracket
83,20230904,Bigetron Era,red,"[82, 58, 120, 105, 44]","[59, 48, 111, 95, 103]",1,Cosmo Enzi,blue,"[75, 12, 55, 87, 83]","[65, 112, 62, 118, 101]",0,10:41,641,3,1,0,0,bracket
83,20230904,Bigetron Era,blue,"[95, 87, 111, 43, 112]","[48, 62, 101, 10, 19]",1,Cosmo Enzi,red,"[78, 105, 115, 117, 103]","[100, 65, 75, 118, 120]",0,11:16,676,3,2,1,0,bracket
