tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
85,20231005,See You Soon,blue,"[59, 58, 55, 65, 26]","[112, 14, 102, 12, 43]",0,PRO Esports,red,"[48, 53, 86, 87, 82]","[44, 62, 111, 95, 47]",1,15:32,932,5,1,0,0,bracket
85,20231005,See You Soon,red,"[87, 118, 120, 89, 10]","[55, 102, 86, 43, 58]",1,PRO Esports,blue,"[19, 97, 14, 73, 82]","[112, 100, 111, 95, 47]",0,10:30,630,5,2,0,1,bracket
85,20231005,See You Soon,red,"[83, 87, 120, 121, 19]","[55, 102, 86, 43, 48]",1,PRO Esports,blue,"[110, 12, 76, 9, 82]","[10, 44, 111, 95, 47]",0,12:13,733,5,3,1,1,bracket
85,20231005,See You Soon,blue,"[37, 58, 75, 121, 82]","[102, 86, 87, 83, 104]",1,PRO Esports,red,"[48, 43, 111, 117, 98]","[62, 10, 55, 95, 47]",0,16:32,992,5,4,2,1,bracket
85,20231006,BURN x FLASH,red,"[82, 9, 111, 43, 10]","[95, 47, 62, 19, 121]",0,See You Soon,blue,"[78, 100, 55, 118, 83]","[117, 58, 102, 87, 48]",1,23:08,1388,5,1,0,0,bracket
85,20231006,BURN x FLASH,blue,"[59, 117, 111, 53, 102]","[95, 47, 118, 58, 100]",0,See You Soon,red,"[62, 105, 75, 8, 83]","[12, 43, 55, 87, 48]",1,16:10,970,5,2,0,1,bracket
85,20231006,BURN x FLASH,red,"[59, 117, 111, 100, 102]","[95, 47, 118, 43, 65]",0,See You Soon,blue,"[19, 121, 120, 58, 83]","[10, 62, 55, 87, 48]",1,10:56,656,5,3,0,2,bracket
85,20231005,DRoar Legends,red,"[103, 58, 55, 65, 26]","[17, 75, 117, 99, 9]",0,Team Max,blue,"[14, 43, 102, 49, 95]","[86, 82, 87, 111, 112]",1,11:20,680,5,1,0,0,bracket
85,20231005,DRoar Legends,blue,"[112, 58, 23, 43, 78]","[17, 75, 14, 65, 121]",0,Team Max,red,"[44, 100, 111, 117, 95]","[47, 82, 87, 55, 102]",1,18:16,1096,5,2,0,1,bracket
85,20231005,DRoar Legends,blue,"[82, 47, 111, 43, 19]","[17, 14, 95, 121, 100]",1,Team Max,red,"[112, 12, 120, 117, 83]","[44, 78, 87, 55, 102]",0,13:52,832,5,3,0,2,bracket
85,20231005,DRoar Legends,red,"[82, 117, 115, 12, 14]","[17, 102, 55, 43, 65]",0,Team Max,blue,"[19, 100, 111, 118, 95]","[121, 120, 87, 47, 78]",1,13:36,816,5,4,1,2,bracket
85,20231006,CFU Gaming,red,"[82, 80, 120, 12, 14]","[17, 117, 102, 100, 43]",1,Team Max,blue,"[19, 121, 111, 87, 95]","[48, 110, 55, 112, 75]",0,12:33,753,5,1,0,0,bracket
85,20231006,CFU Gaming,red,"[82, 87, 120, 12, 48]","[95, 17, 117, 100, 43]",1,Team Max,blue,"[19, 40, 102, 118, 83]","[14, 62, 55, 112, 75]",0,14:58,898,5,2,1,0,bracket
85,20231006,CFU Gaming,red,"[103, 87, 120, 65, 102]","[17, 117, 95, 118, 58]",1,Team Max,blue,"[14, 12, 111, 49, 82]","[43, 100, 55, 75, 112]",0,20:46,1246,5,3,2,0,bracket
85,20231006,See You Soon,red,"[83, 58, 120, 40, 44]","[102, 55, 87, 48, 14]",1,CFU Gaming,blue,"[110, 12, 75, 117, 82]","[121, 19, 118, 10, 47]",0,11:37,697,5,1,0,0,bracket
