tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
87,20230930,TheOhioBrothers,blue,"[82, 47, 76, 121, 102]","[58, 103, 87, 55, 57]",1,Area 77,red,"[112, 43, 56, 117, 81]","[101, 120, 84, 111, 17]",0,18:59,1139,3,1,0,0,bracket
87,20230930,TheOhioBrothers,red,"[82, 47, 55, 40, 19]","[58, 103, 102, 62, 14]",1,Area 77,blue,"[10, 43, 120, 87, 81]","[101, 89, 111, 84, 17]",0,13:30,810,3,2,1,0,bracket
87,20230930,Avalon,red,"[103, 117, 23, 40, 19]","[120, 87, 62, 100, 12]",0,BloodThirstyKings,blue,"[112, 105, 111, 9, 82]","[57, 10, 102, 55, 76]",1,16:42,1002,3,1,0,0,bracket
87,20230930,Avalon,blue,"[82, 80, 111, 100, 62]","[120, 87, 9, 121, 112]",0,BloodThirstyKings,red,"[10, 40, 75, 117, 83]","[103, 58, 55, 102, 14]",1,14:18,858,3,2,0,1,bracket
87,20230930,TheOhioBrothers,blue,"[82, 84, 86, 43, 102]","[117, 9, 75, 10, 62]",1,BloodThirstyKings,red,"[112, 12, 120, 87, 83]","[58, 47, 55, 111, 17]",0,22:23,1343,3,1,0,0,bracket
87,20230930,TheOhioBrothers,red,"[82, 47, 86, 40, 78]","[117, 9, 102, 83, 95]",1,BloodThirstyKings,blue,"[62, 43, 75, 87, 98]","[19, 112, 111, 55, 17]",0,17:43,1063,3,2,1,0,bracket
87,20230930,Area 77,red,"[82, 47, 42, 40, 102]","[62, 111, 112, 43, 100]",0,Avalon,blue,"[10, 105, 76, 117, 81]","[23, 57, 87, 120, 58]",1,10:52,652,3,1,0,0,bracket
87,20230930,Area 77,blue,"[81, 99, 56, 43, 55]","[111, 62, 120, 95, 100]",0,Avalon,red,"[14, 105, 75, 9, 85]","[57, 103, 117, 87, 58]",1,18:37,1117,3,2,0,1,bracket
87,20231001,BloodThirstyKings,blue,"[83, 47, 120, 43, 102]","[14, 55, 111, 75, 101]",0,Avalon,red,"[62, 105, 76, 117, 81]","[100, 40, 87, 82, 9]",1,14:57,897,3,1,0,0,bracket
87,20231001,BloodThirstyKings,red,"[95, 58, 111, 100, 62]","[14, 102, 55, 75, 81]",0,Avalon,blue,"[10, 105, 120, 117, 59]","[89, 40, 87, 82, 9]",1,22:35,1355,3,2,0,1,bracket
87,20231001,TheOhioBrothers,blue,"[112, 58, 76, 114, 78]","[117, 9, 87, 59, 81]",1,Avalon,red,"[62, 40, 111, 2, 83]","[12, 121, 82, 47, 102]",0,08:55,535,7,1,0,0,bracket
87,20231001,TheOhioBrothers,red,"[59, 47, 111, 105, 62]","[117, 9, 87, 55, 14]",1,Avalon,blue,"[78, 43, 120, 58, 81]","[100, 40, 102, 112, 82]",0,11:44,704,7,2,1,0,bracket
87,20231001,TheOhioBrothers,blue,"[119, 58, 111, 43, 10]","[117, 9, 87, 47, 105]",1,Avalon,red,"[62, 89, 75, 80, 103]","[40, 100, 102, 112, 82]",0,15:13,913,7,3,2,0,bracket
87,20231001,TheOhioBrothers,red,"[103, 17, 111, 12, 62]","[117, 9, 87, 75, 57]",1,Avalon,blue,"[10, 105, 86, 47, 37]","[89, 100, 102, 112, 82]",0,10:57,657,7,4,3,0,bracket
