tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
88,20230927,Team Lilgun,blue,"[98, 87, 76, 12, 19]","[112, 58, 17, 59, 48]",1,Afnnmi,red,"[34, 43, 55, 117, 37]","[10, 95, 82, 121, 102]",0,10:05,605,3,1,0,0,bracket
88,20230927,Team Lilgun,red,"[82, 47, 55, 53, 44]","[121, 102, 17, 112, 75]",1,Afnnmi,blue,"[10, 40, 33, 58, 95]","[62, 12, 117, 76, 87]",0,10:52,652,3,2,1,0,bracket
88,20230927,Team Lilgun,red,"[37, 58, 76, 100, 10]","[121, 112, 82, 28, 47]",1,Team Bosuul,blue,"[62, 12, 102, 118, 103]","[55, 14, 120, 117, 87]",0,12:01,721,3,1,0,0,bracket
88,20230927,Team Lilgun,blue,"[95, 58, 55, 121, 76]","[112, 82, 73, 21]",1,Team Bosuul,red,"[19, 105, 14, 116, 37]","[62, 48, 87, 117, 102]",0,16:13,973,3,2,1,0,bracket
88,20230927,Superior,blue,"[119, 73, 102, 40, 19]","[17, 120, 82, 121, 105]",0,GEUD Gaming,red,"[26, 12, 111, 117, 112]","[58, 87, 55, 62, 76]",1,9:59,599,3,1,0,0,bracket
88,20230927,Superior,red,"[103, 87, 120, 121, 29]","[17, 117, 111, 82, 40]",0,GEUD Gaming,blue,"[62, 105, 23, 28, 98]","[102, 19, 112, 55, 76]",1,17:29,1049,3,2,0,1,bracket
88,20230927,Last Chance,blue,"[82, 58, 120, 13, 19]","[118, 112, 62, 10, 37]",1,GEUD Gaming,red,"[44, 100, 111, 17, 59]","[76, 55, 117, 78, 12]",0,14:19,859,3,1,0,0,bracket
88,20230927,Last Chance,red,"[82, 47, 86, 12, 19]","[10, 43, 62, 120, 118]",1,GEUD Gaming,blue,"[55, 40, 111, 117, 112]","[9, 87, 17, 58, 76]",0,21:51,1311,3,2,1,0,bracket
88,20230928,Team Lilgun,red,"[119, 87, 102, 121, 76]","[48, 95, 17, 112, 120]",1,Last Chance,blue,"[44, 43, 55, 58, 37]","[19, 10, 82, 62, 118]",0,13:29,809,3,1,0,0,bracket
88,20230928,Team Lilgun,blue,"[82, 58, 86, 121, 78]","[112, 17, 120, 83, 47]",1,Last Chance,red,"[102, 40, 111, 117, 95]","[118, 76, 55, 19, 34]",0,21:13,1273,3,2,1,0,bracket
88,20230928,GEUD Gaming,red,"[98, 28, 111, 12, 19]","[121, 47, 58, 55, 76]",1,Team G2,blue,"[102, 13, 120, 87, 82]","[118, 103, 112, 62, 17]",0,10:53,653,3,1,0,0,bracket
88,20230928,GEUD Gaming,blue,"[95, 117, 55, 43, 26]","[76, 12, 19, 82]",1,Team G2,red,"[62, 121, 111, 87, 37]","[17, 102, 112, 103, 83]",0,14:25,865,3,2,1,0,bracket
88,20230928,Team Ego,blue,"[118, 87, 55, 12, 78]","[111, 120, 76, 100, 121]",1,Superior,red,"[62, 40, 42, 58, 119]","[47, 82, 112, 117, 17]",0,16:02,962,3,1,0,0,bracket
88,20230928,Team Ego,red,"[83, 117, 115, 12, 110]","[111, 55, 120, 62, 58]",1,Superior,blue,"[14, 121, 76, 21, 82]","[78, 86, 87, 112, 17]",0,10:28,628,3,2,1,0,bracket
88,20230928,GEUD Gaming,red,"[37, 118, 111, 12, 19]","[100, 10, 55, 102, 76]",1,Team Bosuul,blue,"[62, 105, 120, 58, 112]","[95, 82, 121, 117, 87]",0,11:56,716,3,1,0,0,bracket
88,20230928,GEUD Gaming,blue,"[98, 21, 111, 100, 19]","[76, 12, 102, 43, 95]",1,Team Bosuul,red,"[78, 105, 55, 118, 112]","[87, 121, 117, 82, 47]",0,22:31,1351,3,2,1,0,bracket
88,20231001,Last Chance,blue,"[82, 58, 23, 43, 55]","[111, 117, 87, 47, 86]",1,GEUD Gaming,red,"[19, 12, 120, 118, 95]","[76, 102, 17, 103, 112]",0,13:36,816,5,1,0,0,bracket
88,20231001,Last Chance,red,"[82, 47, 86, 121, 62]","[112, 55, 111, 117, 17]",1,GEUD Gaming,blue,"[14, 43, 44, 87, 83]","[103, 95, 58, 102, 76]",0,24:13,1453,5,2,1,0,bracket
88,20231001,Last Chance,blue,"[82, 117, 23, 89, 14]","[111, 87, 112, 62, 44]",1,GEUD Gaming,red,"[19, 121, 86, 58, 37]","[43, 100, 102, 55, 76]",0,17:45,1065,5,3,2,0,bracket
88,20231001,Team Lilgun,blue,"[37, 99, 111, 121, 76]","[17, 14, 58, 47, 19]",1,Last Chance,red,"[55, 43, 86, 118, 82]","[102, 87, 117, 103, 9]",0,12:39,759,7,1,0,0,bracket
88,20231001,Team Lilgun,red,"[82, 9, 75, 121, 48]","[40, 120, 14, 55, 102]",0,Last Chance,blue,"[112, 89, 57, 58, 103]","[86, 23, 87, 76, 111]",1,19:36,1176,7,2,1,0,bracket
88,20231001,Team Lilgun,blue,"[82, 47, 55, 100, 10]","[14, 112, 58, 62, 120]",1,Last Chance,red,"[78, 40, 111, 117, 103]","[76, 102, 87, 9, 23]",0,13:45,825,7,3,1,1,bracket
88,20231001,Team Lilgun,red,"[98, 87, 52, 100, 19]","[95, 9, 112, 58, 102]",0,Last Chance,blue,"[14, 43, 55, 117, 83]","[103, 75, 82, 111, 76]",1,30:11,1811,7,4,2,1,bracket
88,20231001,Team Lilgun,blue,"[82, 117, 102, 105, 10]","[14, 112, 55, 19, 83]",1,Last Chance,red,"[93, 43, 111, 58, 95]","[76, 100, 87, 12, 40]",0,15:23,923,7,5,2,2,bracket
88,20231001,Team Lilgun,red,"[82, 58, 57, 105, 19]","[83, 48, 14, 55, 102]",1,Last Chance,blue,"[10, 100, 120, 117, 112]","[43, 121, 87, 111, 76]",0,23:06,1386,7,6,3,2,bracket
