tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
89,20230901,Team Gryffin,blue,"[82, 58, 120, 65, 26]","[17, 48, 75, 110, 55]",1,Jordan Legends,red,"[19, 43, 111, 87, 83]","[117, 11, 101, 103, 118]",0,13:21,801,3,1,0,0,bracket
89,20230901,Team Gryffin,red,"[82, 87, 120, 100, 110]","[118, 65, 75, 26, 83]",1,Jordan Legends,blue,"[112, 40, 111, 58, 95]","[43, 105, 101, 48, 17]",0,18:07,1087,3,2,1,0,bracket
89,20230902,EVOS Icon,blue,"[83, 103, 101, 65, 26]","[110, 111, 34, 117, 52]",0,Team Gryffin,red,"[55, 43, 120, 87, 82]","[58, 47, 48, 17, 75]",1,13:15,795,3,1,0,0,bracket
89,20230902,EVOS Icon,red,"[44, 87, 111, 43, 78]","[82, 55, 110, 112, 26]",1,Team Gryffin,blue,"[19, 65, 120, 117, 119]","[59, 103, 48, 17, 75]",0,20:14,1214,3,2,0,1,bracket
89,20230902,EVOS Icon,blue,"[37, 118, 111, 105, 19]","[82, 55, 110, 117, 58]",0,Team Gryffin,red,"[34, 12, 76, 11, 112]","[78, 44, 87, 17, 75]",1,10:26,626,3,3,1,1,bracket
89,20230901,Tiger Wong Esports,blue,"[112, 17, 82, 105, 55]","[118, 120, 101, 78, 59]",1,RANS Esports,red,"[29, 65, 111, 117, 44]","[58, 87, 103, 75, 10]",0,19:08,1148,3,1,0,0,bracket
89,20230901,Tiger Wong Esports,red,"[112, 58, 86, 105, 62]","[118, 101, 120, 117, 19]",1,RANS Esports,blue,"[75, 65, 76, 9, 59]","[55, 40, 111, 103, 10]",0,10:59,659,3,2,1,0,bracket
89,20230902,AURA Esports,blue,"[82, 47, 86, 65, 78]","[55, 10, 112, 103, 62]",0,Tiger Wong Esports,red,"[44, 105, 101, 58, 59]","[120, 75, 17, 111, 118]",1,19:12,1152,3,1,0,0,bracket
89,20230902,AURA Esports,red,"[83, 117, 111, 65, 26]","[58, 10, 55, 11, 9]",0,Tiger Wong Esports,blue,"[62, 105, 75, 87, 112]","[82, 44, 120, 17, 118]",1,16:13,973,3,2,0,1,bracket
89,20230909,Team Gryffin,blue,"[95, 117, 101, 65, 75]","[17, 55, 10, 58, 87]",0,Tiger Wong Esports,red,"[112, 43, 120, 118, 103]","[81, 82, 111, 12, 110]",1,19:58,1198,3,1,0,0,bracket
89,20230909,Team Gryffin,red,"[112, 69, 76, 43, 78]","[55, 75, 17, 118, 65]",1,Tiger Wong Esports,blue,"[120, 114, 101, 117, 82]","[34, 48, 110, 111, 12]",0,14:00,840,3,2,0,1,bracket
89,20230909,Team Gryffin,blue,"[112, 117, 76, 12, 26]","[17, 55, 75, 118, 87]",0,Tiger Wong Esports,red,"[57, 43, 101, 58, 103]","[34, 48, 111, 120, 110]",1,14:05,845,3,3,1,1,bracket
89,20230901,Pajajaran Esports,blue,"[58, 51, 111, 65, 78]","[55, 117, 103, 87, 11]",1,Geek Fam ID Jr,red,"[44, 100, 75, 21, 112]","[9, 82, 118, 47, 17]",0,13:31,811,3,1,0,0,bracket
89,20230901,Pajajaran Esports,red,"[119, 47, 23, 65, 112]","[55, 103, 117, 87, 78]",0,Geek Fam ID Jr,blue,"[10, 12, 111, 58, 82]","[101, 75, 118, 62, 17]",1,15:27,927,3,2,1,0,bracket
89,20230901,Pajajaran Esports,blue,"[82, 51, 120, 65, 112]","[55, 103, 12, 58, 78]",1,Geek Fam ID Jr,red,"[62, 105, 76, 117, 83]","[52, 101, 111, 118, 17]",0,16:58,1018,3,3,1,1,bracket
89,20230903,Alter Ego X,blue,"[82, 17, 52, 65, 78]","[76, 112, 103, 119, 100]",1,Pajajaran Esports,red,"[9, 105, 111, 47, 26]","[101, 120, 75, 110, 55]",0,16:52,1012,3,1,0,0,bracket
89,20230903,Alter Ego X,red,"[112, 117, 101, 12, 75]","[17, 47, 84, 51, 118]",1,Pajajaran Esports,blue,"[26, 65, 76, 21, 82]","[43, 58, 111, 103, 55]",0,12:59,779,3,2,1,0,bracket
89,20230902,Pendekar Esports,blue,"[82, 118, 120, 65, 19]","[10, 62, 111, 87, 110]",1,Dewa United Rhodes,red,"[112, 43, 76, 47, 103]","[55, 26, 117, 101, 75]",0,15:59,959,3,1,0,0,bracket
89,20230902,Pendekar Esports,red,"[82, 47, 23, 105, 112]","[10, 101, 117, 83, 55]",1,Dewa United Rhodes,blue,"[26, 100, 111, 87, 103]","[51, 118, 62, 65, 75]",0,14:58,898,3,2,1,0,bracket
89,20230903,Bigetron Beta,blue,"[82, 58, 111, 65, 78]","[75, 62, 103, 117, 51]",1,Pendekar Esports,red,"[19, 53, 101, 47, 112]","[44, 21, 118, 10, 17]",0,12:57,777,3,1,0,0,bracket
89,20230903,Bigetron Beta,red,"[82, 47, 120, 65, 112]","[75, 103, 118, 19, 84]",1,Pendekar Esports,blue,"[55, 43, 52, 117, 37]","[101, 87, 10, 111, 17]",0,15:09,909,3,2,1,0,bracket
89,20230910,Alter Ego X,blue,"[82, 51, 120, 12, 19]","[55, 101, 118, 44, 103]",1,Bigetron Beta,red,"[20, 43, 111, 47, 112]","[119, 78, 17, 26, 75]",0,14:04,844,3,1,0,0,bracket
