tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
91,20230908,Nine Esports,blue,"[82, 58, 120, 43, 112]","[75, 62, 103, 68, 57]",1,Wawa Gaming,red,"[55, 73, 52, 117, 83]","[100, 12, 65, 101, 10]",0,14:20,860,5,1,0,0,bracket
91,20230908,Nine Esports,red,"[37, 58, 120, 43, 62]","[75, 112, 68, 57, 100]",1,Wawa Gaming,blue,"[55, 12, 111, 117, 103]","[95, 83, 101, 82, 10]",0,17:46,1066,5,2,1,0,bracket
91,20230908,Nine Esports,blue,"[95, 47, 52, 43, 112]","[75, 62, 68, 57, 100]",0,Wawa Gaming,red,"[55, 12, 120, 117, 103]","[87, 58, 101, 82, 10]",1,17:10,1030,5,3,2,0,bracket
91,20230908,Nine Esports,blue,"[103, 117, 52, 65, 55]","[75, 62, 112, 12, 100]",1,Wawa Gaming,red,"[120, 53, 57, 58, 37]","[43, 111, 101, 82, 10]",0,21:56,1316,5,4,2,1,bracket
91,20230908,ESB Legacy,red,"[82, 58, 92, 43, 91]","[120, 101, 103, 52, 111]",0,Nine Esports,blue,"[10, 105, 57, 117, 112]","[76, 23, 87, 75, 17]",1,14:53,893,5,1,0,0,bracket
91,20230908,ESB Legacy,red,"[82, 58, 76, 100, 19]","[120, 101, 117, 43, 105]",0,Nine Esports,blue,"[112, 114, 57, 103, 83]","[12, 78, 87, 75, 17]",1,16:57,1017,5,2,0,1,bracket
91,20230908,ESB Legacy,red,"[59, 69, 57, 43, 29]","[120, 101, 82, 105, 12]",0,Nine Esports,blue,"[10, 100, 52, 58, 112]","[47, 117, 87, 75, 17]",1,19:01,1141,5,3,0,2,bracket
91,20230909,Niightmare,blue,"[85, 47, 111, 100, 19]","[75, 112, 82, 10, 55]",0,Nine Esports,red,"[78, 12, 120, 117, 119]","[62, 26, 103, 101, 57]",1,23:26,1406,5,1,0,0,bracket
91,20230909,Niightmare,blue,"[95, 58, 23, 65, 55]","[112, 120, 75, 111, 76]",1,Nine Esports,red,"[10, 12, 52, 87, 82]","[43, 105, 103, 101, 57]",0,23:01,1381,5,2,0,1,bracket
91,20230909,Niightmare,blue,"[95, 87, 55, 105, 110]","[112, 120, 75, 47, 58]",0,Nine Esports,red,"[10, 12, 76, 117, 82]","[23, 111, 103, 101, 57]",1,26:14,1574,5,3,1,1,bracket
91,20230909,Niightmare,red,"[85, 47, 120, 12, 78]","[112, 75, 101, 65, 43]",1,Nine Esports,blue,"[10, 100, 111, 87, 82]","[37, 83, 55, 103, 57]",0,14:55,895,5,4,1,2,bracket
91,20230909,Niightmare,blue,"[37, 117, 101, 105, 78]","[57, 103, 55, 85, 111]",1,Nine Esports,red,"[10, 12, 86, 47, 82]","[65, 43, 120, 75, 112]",0,19:13,1153,5,5,2,2,bracket
91,20230908,MyWay Esports,blue,"[112, 117, 52, 43, 55]","[84, 101, 120, 21, 47]",1,AV Gaming TH,red,"[110, 105, 111, 87, 103]","[118, 51, 78, 59, 65]",0,21:49,1309,5,1,0,0,bracket
91,20230908,MyWay Esports,blue,"[82, 117, 52, 105, 55]","[84, 101, 47, 51, 48]",0,AV Gaming TH,red,"[62, 12, 120, 118, 103]","[10, 87, 78, 65, 112]",1,24:58,1498,5,2,1,0,bracket
91,20230908,MyWay Esports,red,"[85, 58, 75, 100, 62]","[120, 84, 103, 111, 55]",0,AV Gaming TH,blue,"[44, 12, 52, 118, 82]","[87, 51, 59, 112, 65]",1,17:24,1044,5,3,1,1,bracket
91,20230908,MyWay Esports,red,"[82, 117, 115, 100, 78]","[118, 84, 120, 48, 58]",1,AV Gaming TH,blue,"[44, 12, 52, 17, 103]","[43, 51, 112, 59, 65]",0,18:47,1127,5,4,1,2,bracket
91,20230908,MyWay Esports,red,"[103, 87, 23, 12, 48]","[118, 84, 120, 10, 62]",1,AV Gaming TH,blue,"[34, 105, 52, 83, 117]","[111, 82, 78, 65, 112]",0,14:42,882,5,5,2,2,bracket
