tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
92,20230908,MBR Delphyne,red,"[95, 117, 111, 43, 55]","[58, 87, 82, 105, 114]",0,Kagendra,blue,"[110, 100, 92, 9, 112]","[103, 65, 62, 78, 17]",1,15:48,948,5,1,0,0,bracket
92,20230908,MBR Delphyne,red,"[82, 21, 52, 65, 20]","[117, 87, 58, 95, 103]",1,Kagendra,blue,"[62, 40, 101, 47, 88]","[100, 105, 112, 78, 17]",0,12:28,748,5,2,0,1,bracket
92,20230908,MBR Delphyne,blue,"[81, 47, 120, 105, 62]","[58, 117, 87, 84, 51]",1,Kagendra,red,"[75, 13, 76, 11, 82]","[69, 118, 78, 112, 17]",0,14:46,886,5,3,1,1,bracket
92,20230908,MBR Delphyne,blue,"[103, 84, 101, 100, 26]","[58, 87, 117, 95, 104]",1,Kagendra,red,"[44, 105, 52, 109, 119]","[19, 10, 78, 112, 17]",0,16:31,991,5,4,2,1,bracket
92,20230908,GPX Basreng,red,"[59, 69, 120, 114, 78]","[62, 111, 17, 21, 40]",1,MBR Delphyne,blue,"[112, 65, 101, 118, 117]","[47, 84, 100, 55, 58]",0,19:49,1189,5,1,0,0,bracket
92,20230908,GPX Basreng,red,"[104, 87, 101, 105, 62]","[111, 52, 17, 21, 69]",1,MBR Delphyne,blue,"[78, 40, 120, 47, 82]","[43, 65, 100, 112, 58]",0,19:06,1146,5,2,1,0,bracket
92,20230908,GPX Basreng,red,"[83, 117, 76, 13, 48]","[111, 52, 17, 115, 68]",0,MBR Delphyne,blue,"[62, 114, 92, 58, 95]","[110, 55, 10, 100, 112]",1,25:56,1556,5,3,2,0,bracket
92,20230908,GPX Basreng,red,"[81, 21, 92, 12, 9]","[111, 52, 17, 68, 75]",1,MBR Delphyne,blue,"[19, 100, 115, 69, 103]","[65, 43, 82, 112, 58]",0,16:07,967,5,4,2,1,bracket
92,20230908,Tiger Wong Seiren,blue,"[82, 118, 112, 13, 55]","[119, 62, 75, 105, 103]",1,RRQ Mika,red,"[10, 100, 52, 117, 59]","[43, 76, 110, 111, 101]",0,14:13,853,5,1,0,0,bracket
92,20230908,Tiger Wong Seiren,red,"[83, 58, 86, 105, 75]","[119, 112, 62, 9, 87]",0,RRQ Mika,blue,"[44, 43, 101, 11, 103]","[78, 59, 111, 110, 117]",1,14:05,845,5,2,1,0,bracket
