tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
93,20230818,DRoar Legends,blue,"[112, 28, 101, 65, 120]","[55, 118, 62, 105, 110]",0,CFU Gaming,red,"[48, 53, 76, 117, 103]","[59, 82, 10, 58, 75]",1,20:05,1205,3,1,0,0,bracket
93,20230818,DRoar Legends,blue,"[112, 117, 57, 43, 78]","[62, 55, 65, 48, 110]",0,CFU Gaming,red,"[34, 114, 111, 9, 103]","[52, 115, 10, 101, 75]",1,12:41,761,3,2,0,1,bracket
93,20230818,PRO Esports,blue,"[104, 118, 92, 65, 78]","[105, 100, 10, 73, 59]",1,Max Academy,red,"[55, 43, 111, 117, 103]","[52, 120, 101, 62, 75]",0,17:24,1044,3,1,0,0,bracket
93,20230818,PRO Esports,blue,"[98, 87, 111, 100, 24]","[105, 82, 118, 78, 83]",1,Max Academy,red,"[55, 65, 52, 84, 59]","[44, 10, 101, 62, 75]",0,14:08,848,3,2,1,0,bracket
93,20230818,See You Soon,blue,"[81, 11, 101, 105, 10]","[58, 17, 117, 82, 21]",1,Team Max,red,"[78, 100, 111, 103, 95]","[112, 87, 47, 65, 118]",0,12:18,738,3,1,0,0,bracket
93,20230818,See You Soon,red,"[82, 103, 75, 65, 62]","[17, 117, 58, 44, 55]",1,Team Max,blue,"[35, 43, 111, 118, 83]","[47, 95, 78, 26, 10]",0,10:52,652,3,2,1,0,bracket
93,20230902,See You Soon,blue,"[83, 117, 101, 105, 10]","[17, 55, 111, 93, 48]",1,BURN x FLASH,red,"[78, 100, 120, 47, 82]","[21, 84, 65, 75, 62]",0,12:38,758,3,1,0,0,bracket
93,20230902,See You Soon,red,"[95, 47, 75, 105, 10]","[55, 117, 112, 48, 58]",1,BURN x FLASH,blue,"[110, 65, 76, 87, 82]","[103, 65, 84, 111, 62]",0,17:10,1030,3,2,1,0,bracket
93,20230902,CFU Gaming,red,"[83, 117, 52, 65, 110]","[10, 75, 101, 87, 98]",1,PRO Esports,blue,"[62, 105, 111, 9, 81]","[48, 55, 112, 118, 58]",0,12:13,733,3,1,0,0,bracket
93,20230902,CFU Gaming,blue,"[118, 117, 101, 65, 110]","[10, 75, 98, 62, 87]",1,PRO Esports,red,"[24, 105, 111, 49, 112]","[55, 48, 58, 82, 83]",0,18:25,1105,3,2,1,0,bracket
93,20230903,See You Soon,red,"[37, 84, 111, 13, 62]","[117, 58, 55, 110, 87]",1,CFU Gaming,blue,"[34, 65, 101, 99, 83]","[103, 105, 47, 75, 10]",0,14:09,849,5,1,0,0,bracket
93,20230903,See You Soon,red,"[37, 84, 118, 105, 62]","[58, 117, 55, 110, 76]",0,CFU Gaming,blue,"[112, 65, 52, 9, 83]","[82, 103, 111, 75, 10]",1,19:41,1181,5,2,1,0,bracket
93,20230903,See You Soon,blue,"[81, 47, 101, 105, 26]","[55, 117, 111, 83, 82]",1,CFU Gaming,red,"[112, 89, 52, 9, 103]","[43, 13, 65, 75, 10]",0,12:42,762,5,3,1,1,bracket
93,20230903,See You Soon,red,"[82, 84, 101, 105, 55]","[117, 58, 62, 110, 83]",1,CFU Gaming,blue,"[112, 65, 76, 87, 118]","[78, 26, 111, 75, 10]",0,18:26,1106,5,4,2,1,bracket
93,20230903,BURN x FLASH,blue,"[95, 47, 111, 65, 93]","[75, 62, 117, 105, 53]",0,PRO Esports,red,"[112, 43, 101, 58, 98]","[78, 44, 82, 10, 118]",1,18:06,1086,3,1,0,0,bracket
93,20230903,BURN x FLASH,red,"[117, 21, 76, 105, 112]","[75, 62, 98, 87, 58]",1,PRO Esports,blue,"[10, 65, 52, 9, 44]","[101, 53, 118, 111, 82]",0,15:08,908,3,2,0,1,bracket
93,20230903,BURN x FLASH,blue,"[82, 21, 76, 105, 10]","[98, 62, 75, 44, 24]",0,PRO Esports,red,"[78, 65, 101, 117, 35]","[120, 111, 83, 112, 118]",1,17:52,1072,3,3,1,1,bracket
93,20230809,CFU Gaming,red,"[44, 58, 111, 114, 78]","[95, 103, 118, 59, 47]",0,See You Soon,blue,"[10, 65, 75, 11, 81]","[53, 83, 62, 55, 117]",1,10:34,634,1,1,0,0,qualifiers
93,20230809,See You Soon,blue,"[83, 118, 76, 105, 26]","[55, 117, 62, 20, 89]",1,Brothers.Esports,red,"[110, 100, 75, 87, 119]","[82, 78, 65, 59, 17]",0,11:29,689,1,1,0,0,qualifiers
93,20230809,Brothers.Esports,blue,"[95, 47, 101, 105, 19]","[17, 76, 62, 82, 111]",1,Eternity Bright,red,"[110, 53, 52, 117, 83]","[20, 55, 59, 65, 75]",0,11:56,716,1,1,0,0,qualifiers
93,20230809,Eternity Bright,blue,"[112, 117, 76, 105, 19]","[10, 111, 82, 101, 40]",1,UnHappywithU,red,"[93, 43, 118, 58, 37]","[78, 110, 53, 59, 84]",0,13:42,822,1,1,0,0,qualifiers
