tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
95,20230823,Bigetron Sons,blue,"[82, 21, 101, 40, 78]","[62, 10, 76, 52, 75]",1,Randoms,red,"[44, 105, 23, 9, 59]","[34, 51, 117, 118, 65]",0,17:25,1045,5,1,0,0,bracket
95,20230823,Bigetron Sons,red,"[82, 21, 101, 114, 78]","[62, 10, 75, 59, 84]",0,Randoms,blue,"[26, 105, 111, 47, 117]","[87, 51, 118, 65, 34]",1,17:24,1044,5,2,1,0,bracket
95,20230823,Bigetron Sons,blue,"[59, 87, 25, 43, 34]","[62, 10, 76, 47, 101]",1,Randoms,red,"[26, 105, 57, 11, 103]","[120, 52, 117, 65, 118]",0,26:39,1599,5,3,1,1,bracket
95,20230823,Bigetron Sons,red,"[82, 49, 52, 100, 110]","[62, 10, 76, 26, 101]",1,Randoms,blue,"[44, 105, 111, 47, 117]","[87, 99, 34, 118, 65]",0,16:02,962,5,4,2,1,bracket
95,20230824,RRQ Akira,blue,"[82, 87, 101, 105, 78]","[59, 43, 34, 103, 110]",1,Bigetron Sons,red,"[20, 65, 111, 51, 117]","[44, 26, 118, 84, 62]",0,20:13,1213,5,1,0,0,bracket
95,20230824,RRQ Akira,red,"[117, 118, 111, 105, 93]","[59, 43, 103, 87, 99]",1,Bigetron Sons,blue,"[29, 40, 101, 21, 82]","[26, 65, 75, 84, 62]",0,24:09,1449,5,2,1,0,bracket
95,20230824,RRQ Akira,blue,"[37, 87, 111, 100, 10]","[43, 82, 44, 78, 104]",1,Bigetron Sons,red,"[110, 40, 52, 99, 117]","[103, 95, 59, 101, 62]",0,11:43,703,5,3,2,0,bracket
95,20230823,Team Zeus E-sports,blue,"[103, 47, 101, 105, 62]","[17, 76, 59, 87, 21]",0,DreamMax,red,"[78, 43, 75, 51, 112]","[65, 89, 52, 82, 117]",1,23:50,1430,5,1,0,0,bracket
95,20230823,Team Zeus E-sports,red,"[104, 103, 101, 65, 19]","[17, 59, 76, 48, 75]",0,DreamMax,blue,"[112, 43, 111, 21, 117]","[114, 105, 52, 82, 89]",1,26:13,1573,5,2,0,1,bracket
95,20230823,Team Zeus E-sports,blue,"[37, 44, 111, 105, 76]","[17, 59, 43, 65, 89]",0,DreamMax,red,"[112, 100, 75, 21, 103]","[62, 104, 52, 82, 117]",1,20:20,1220,5,3,0,2,bracket
95,20230824,Malvinas Brazil,blue,"[59, 47, 111, 40, 26]","[76, 103, 75, 120, 82]",0,DreamMax,red,"[78, 43, 25, 87, 112]","[104, 11, 17, 117, 29]",1,15:04,904,5,1,0,0,bracket
95,20230824,Malvinas Brazil,red,"[82, 117, 52, 43, 110]","[76, 103, 75, 78, 44]",1,DreamMax,blue,"[10, 100, 111, 87, 104]","[26, 47, 101, 17, 29]",0,13:45,825,5,2,0,1,bracket
95,20230824,Malvinas Brazil,blue,"[82, 11, 25, 43, 26]","[76, 103, 21, 65, 51]",1,DreamMax,red,"[78, 105, 111, 47, 112]","[101, 52, 117, 17, 29]",0,28:13,1693,5,3,1,1,bracket
95,20230824,Malvinas Brazil,red,"[37, 87, 52, 65, 34]","[103, 78, 43, 21, 75]",0,DreamMax,blue,"[62, 53, 111, 117, 44]","[104, 82, 26, 17, 29]",1,16:07,967,5,4,2,1,bracket
95,20230824,Malvinas Brazil,blue,"[37, 11, 111, 105, 29]","[76, 103, 78, 65, 89]",0,DreamMax,red,"[62, 53, 75, 87, 82]","[112, 104, 117, 43, 17]",1,12:48,768,5,5,2,2,bracket
95,20230825,RRQ Akira,blue,"[103, 87, 101, 89, 78]","[17, 43, 75, 62, 20]",1,DreamMax,red,"[112, 105, 76, 21, 59]","[82, 10, 52, 111, 117]",0,15:42,942,5,1,0,0,bracket
