tournament_code,date,t1_name,t1_side,t1_picks,t1_bans,t1_result,t2_name,t2_side,t2_picks,t2_bans,t2_result,game_time_str,game_time_sec,match_format_BON,game_no,t1_points,t2_points,tournament_stage
99,20230728,GPX Basreng,red,"[82, 11, 52, 53, 10]","[62, 111, 55, 95, 104]",0,RRQ Mika,blue,"[78, 65, 75, 117, 88]","[58, 69, 59, 84, 101]",1,18:53,1133,3,1,0,0,bracket
99,20230728,GPX Basreng,blue,"[117, 58, 4, 100, 55]","[10, 111, 62, 10, 95]",1,RRQ Mika,red,"[110, 105, 52, 87, 103]","[88, 19, 59, 84, 101]",0,14:06,846,3,2,0,1,bracket
99,20230728,GPX Basreng,red,"[81, 21, 86, 89, 9]","[111, 59, 62, 58, 100]",0,RRQ Mika,blue,"[10, 40, 55, 4, 104]","[88, 69, 76, 84, 101]",1,18:00,1080,3,3,1,1,bracket
99,20230729,Bigetron Era,red,"[104, 117, 68, 105, 62]","[118, 59, 103, 82, 88]",1,RRQ Mika,blue,"[44, 65, 111, 9, 95]","[52, 75, 55, 84, 101]",0,12:11,731,5,1,0,0,bracket
99,20230729,Bigetron Era,red,"[82, 87, 5, 65, 29]","[118, 59, 55, 89, 53]",1,RRQ Mika,blue,"[19, 105, 75, 117, 103]","[76, 58, 111, 84, 101]",0,21:02,1262,5,2,1,0,bracket
99,20230729,Bigetron Era,red,"[112, 103, 120, 100, 19]","[118, 55, 59, 52, 68]",1,RRQ Mika,blue,"[62, 40, 116, 58, 119]","[76, 75, 101, 111, 84]",0,14:26,866,5,3,2,0,bracket
99,20230728,MBR Delphyne,blue,"[117, 118, 52, 105, 62]","[53, 59, 65, 13, 114]",1,Kagendra,red,"[78, 100, 76, 58, 81]","[21, 69, 111, 101, 84]",0,24:25,1465,3,1,0,0,bracket
99,20230728,MBR Delphyne,red,"[82, 47, 111, 40, 10]","[53, 105, 65, 52, 92]",1,Kagendra,blue,"[20, 114, 68, 117, 59]","[58, 69, 101, 84, 17]",0,15:30,930,3,2,1,0,bracket
99,20230728,GPX Basreng,blue,"[59, 9, 111, 65, 55]","[75, 62, 117, 76, 68]",1,Tiger Wong Seiren,red,"[78, 105, 52, 58, 104]","[87, 69, 89, 101, 84]",0,16:57,1017,3,1,0,0,bracket
99,20230728,GPX Basreng,red,"[117, 17, 52, 89, 62]","[59, 55, 111, 9, 37]",1,Tiger Wong Seiren,blue,"[110, 100, 101, 83, 82]","[21, 69, 75, 58, 84]",0,28:27,1707,3,2,1,0,bracket
99,20230729,MBR Delphyne,blue,"[104, 84, 52, 100, 9]","[89, 55, 101, 65, 53]",1,GPX Basreng,red,"[78, 105, 76, 117, 88]","[82, 19, 111, 59, 62]",0,24:07,1447,3,1,0,0,bracket
99,20230729,MBR Delphyne,red,"[82, 118, 111, 105, 20]","[89, 55, 100, 65, 53]",1,GPX Basreng,blue,"[112, 114, 101, 58, 59]","[21, 69, 62, 117, 76]",0,13:21,801,3,2,1,0,bracket
99,20230729,RRQ Mika,blue,"[88, 58, 111, 40, 78]","[101, 84, 59, 69, 82]",1,MBR Delphyne,red,"[62, 100, 52, 21, 104]","[105, 65, 55, 9, 117]",0,16:04,964,5,1,0,0,bracket
99,20230729,RRQ Mika,red,"[103, 87, 52, 89, 62]","[84, 101, 111, 69, 29]",1,MBR Delphyne,blue,"[20, 105, 75, 47, 59]","[100, 65, 117, 55, 9]",0,15:47,947,5,2,1,0,bracket
99,20230729,RRQ Mika,red,"[59, 11, 68, 100, 44]","[101, 84, 111, 76, 82]",1,MBR Delphyne,blue,"[10, 40, 92, 69, 91]","[20, 65, 117, 55, 9]",0,16:41,1001,5,3,2,0,bracket
99,20230730,Bigetron Era,red,"[104, 47, 61, 65, 26]","[118, 59, 55, 89, 40]",1,RRQ Mika,blue,"[62, 100, 101, 11, 119]","[120, 52, 111, 75, 84]",0,14:47,887,9,1,0,0,bracket
99,20230730,Bigetron Era,red,"[117, 87, 111, 89, 112]","[118, 59, 103, 65, 40]",1,RRQ Mika,blue,"[78, 105, 55, 4, 81]","[10, 19, 62, 84, 101]",0,12:04,724,9,2,1,0,bracket
99,20230730,Bigetron Era,red,"[81, 58, 92, 100, 78]","[118, 59, 111, 89, 75]",1,RRQ Mika,blue,"[10, 40, 52, 87, 103]","[93, 62, 55, 101, 84]",0,16:06,966,9,3,2,0,bracket
