tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
1,MLBB Southeast Asia Cup 2023,S,20230610.0,20230618.0,1.7.82B,https://liquipedia.net/mobilelegends/MSC/2023,20231210,1_MLBB Southeast Asia Cup 2023.csv
2,M4 World Championship,S,20230101.0,20230115.0,1.7.44C,https://liquipedia.net/mobilelegends/M4_World_Championship,20231210,2_M4 World Championship.csv
3,M3 World Championship,S,20211206.0,20211219.0,1.6.34,https://liquipedia.net/mobilelegends/M3_World_Championship,20231210,3_M3 World Championship.csv
4,M2 World Championship,S,20210118.0,20210124.0,1.5.46,https://liquipedia.net/mobilelegends/M2_World_Championship,20231210,4_M2 World Championship.csv
5,M1 World Championship,S,20191110.0,20191117.0,1.4.20,https://liquipedia.net/mobilelegends/M1_World_Championship,20231210,5_M1 World Championship.csv
6,ONE Esports MPL Invitational 2023,A,20231115.0,20231119.0,1.8.30B,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2023,20231210,6_ONE Esports MPL Invitational 2023.csv
7,MPL Philippines Season 12,A,20230908.0,20231029.0,1.8.08 – 1.8.22,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_12,20231210,7_MPL Philippines Season 12.csv
8,MPL Singapore Season 6,A,20230909.0,20231022.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_6,20231210,8_MPL Singapore Season 6.csv
9,MPL MENA Fall 2023,A,20230908.0,20231021.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/MENA/2023/Fall,20231210,9_MPL MENA Fall 2023.csv
10,MPL Indonesia Season 12,A,20230713.0,20231015.0,1.7.94 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12,20231210,10_MPL Indonesia Season 12.csv
11,MPL Malaysia Season 12,A,20230818.0,20231008.0,1.8.08 – 1.8.20,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_12,20231210,11_MPL Malaysia Season 12.csv
12,Liga Latam 2023,A,20230927.0,20231001.0,1.8.20,https://liquipedia.net/mobilelegends/Liga_Latam/2023,20231210,12_Liga Latam 2023.csv
13,IESF World Esports Championship 2023,A,20230826.0,20230903.0,,https://liquipedia.net/mobilelegends/IESF/World_Esports_Championships/2023,20231210,13_IESF World Esports Championship 2023.csv
14,Snapdragon Pro Series Season 3 SEA - Challenge Finals,A,20230717.0,20230723.0,1.7.94,https://liquipedia.net/mobilelegends/ESL/Snapdragon_Pro_Series/Season_3/SEA/Challenge_Finals,20231210,14_Snapdragon Pro Series Season 3 SEA - Challenge Finals.csv
15,32nd SEA Games - Men's Tournament,A,20230512.0,20230514.0,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2023/Men,20231210,15_32nd SEA Games - Men's Tournament.csv
16,MPL MENA Spring 2023,A,20230323.0,20230513.0,1.7.68,https://liquipedia.net/mobilelegends/MPL/MENA/2023/Spring,20231210,16_MPL MENA Spring 2023.csv
17,32nd SEA Games - Women's Tournament,A,20230510.0,20230511.0,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2023/Women,20231210,17_32nd SEA Games - Women's Tournament.csv
18,MPL Philippines Season 11,A,20230217.0,20230507.0,1.7.58 – 1.7.68,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_11,20231210,18_MPL Philippines Season 11.csv
19,MPL Malaysia Season 11,A,20230310.0,20230430.0,,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_11,20231210,19_MPL Malaysia Season 11.csv
