,miya,balmond,saber,alice,nana,tigreal,alucard,karina,akai,franco,bane,bruno,clint,rafaela,eudora,zilong,fanny,layla,minotaur,lolita,hayabusa,freya,gord,natalia,kagura,chou,sun,alpha,ruby,yi sun-shin,moskov,johnson,cyclops,estes,hilda,aurora,lapu-lapu,vexana,roger,karrie,gatotkaca,harley,irithel,grock,argus,odette,lancelot,diggie,hylos,zhask,helcurt,pharsa,lesley,jawhead,angela,gusion,valir,martis,uranus,hanabi,chang'e,kaja,selena,aldous,claude,vale,leomord,lunox,hanzo,belerick,kimmy,thamuz,harith,minsitthar,kadita,faramis,badang,khufra,granger,guinevere,esmeralda,terizla,x.borg,ling,dyrroth,lylia,baxia,masha,wanwan,silvanna,cecilion,carmilla,atlas,popol and kupa,yu zhong,luo yi,benedetta,khaleed,barats,brody,yve,mathilda,paquito,gloo,beatrix,phoveus,natan,aulus,aamon,valentina,edith,floryn,yin,melissa,xavier,julian,fredrinn,joy,novaria,arlott,ixia,nolan,cici,pick_count
miya,0.0,0.013157894736842105,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.013157894736842105,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.039473684210526314,0.0,0.0,0.039473684210526314,0.013157894736842105,0.0,0.0,0.013157894736842105,0.039473684210526314,0.05263157894736842,0.0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.02631578947368421,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.039473684210526314,0.013157894736842105,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.013157894736842105,0.02631578947368421,0.013157894736842105,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.013157894736842105,0.0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.02631578947368421,0.013157894736842105,0.05263157894736842,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,38.0
balmond,0.0006693440428380187,0.0,0.002008032128514056,0.010040160642570281,0.0033467202141900937,0.0,0.0013386880856760374,0.0033467202141900937,0.004016064257028112,0.009370816599732263,0.002677376171352075,0.008032128514056224,0.01740294511378849,0.011378848728246318,0.0013386880856760374,0.0006693440428380187,0.0013386880856760374,0.0,0.002677376171352075,0.015394912985274432,0.011378848728246318,0.0,0.0,0.002008032128514056,0.014725568942436412,0.03145917001338688,0.002008032128514056,0.0006693440428380187,0.02744310575635877,0.01606425702811245,0.0,0.002008032128514056,0.004685408299866131,0.007362784471218206,0.004685408299866131,0.0,0.007362784471218206,0.0,0.012048192771084338,0.012048192771084338,0.002008032128514056,0.004685408299866131,0.01740294511378849,0.024096385542168676,0.0006693440428380187,0.0,0.004016064257028112,0.01606425702811245,0.002677376171352075,0.0006693440428380187,0.0006693440428380187,0.03681392235609103,0.002008032128514056,0.015394912985274432,0.012048192771084338,0.0013386880856760374,0.006693440428380187,0.0006693440428380187,0.01673360107095047,0.0,0.00535475234270415,0.004685408299866131,0.014725568942436412,0.0013386880856760374,0.030120481927710843,0.002008032128514056,0.0,0.024096385542168676,0.0,0.002677376171352075,0.0006693440428380187,0.006024096385542169,0.002677376171352075,0.0013386880856760374,0.008032128514056224,0.014725568942436412,0.0,0.014725568942436412,0.006024096385542169,0.0006693440428380187,0.04819277108433735,0.0006693440428380187,0.007362784471218206,0.0107095046854083,0.008701472556894244,0.023427041499330656,0.004016064257028112,0.008032128514056224,0.012717536813922356,0.002008032128514056,0.015394912985274432,0.002677376171352075,0.014725568942436412,0.01740294511378849,0.011378848728246318,0.0033467202141900937,0.020749665327978582,0.00535475234270415,0.002008032128514056,0.014056224899598393,0.029451137884872823,0.024765729585006693,0.03145917001338688,0.0033467202141900937,0.040829986613119144,0.004685408299866131,0.006024096385542169,0.0006693440428380187,0.0006693440428380187,0.02208835341365462,0.0,0.0,0.0,0.013386880856760375,0.008032128514056224,0.014056224899598393,0.008032128514056224,0.0,0.0013386880856760374,0.002008032128514056,0.0,0.0,0.0006693440428380187,747.0
saber,0.0039447731755424065,0.005917159763313609,0.0,0.03155818540433925,0.0019723865877712033,0.0039447731755424065,0.0,0.013806706114398421,0.04142011834319527,0.005917159763313609,0.005917159763313609,0.015779092702169626,0.0039447731755424065,0.011834319526627219,0.005917159763313609,0.009861932938856016,0.011834319526627219,0.0019723865877712033,0.021696252465483234,0.013806706114398421,0.029585798816568046,0.0,0.0,0.007889546351084813,0.023668639053254437,0.05325443786982249,0.0039447731755424065,0.005917159763313609,0.02564102564102564,0.007889546351084813,0.005917159763313609,0.01775147928994083,0.02564102564102564,0.0,0.015779092702169626,0.015779092702169626,0.0039447731755424065,0.0,0.021696252465483234,0.021696252465483234,0.011834319526627219,0.047337278106508875,0.0039447731755424065,0.021696252465483234,0.0,0.0,0.01972386587771203,0.0039447731755424065,0.029585798816568046,0.005917159763313609,0.007889546351084813,0.015779092702169626,0.007889546351084813,0.021696252465483234,0.005917159763313609,0.0039447731755424065,0.0,0.007889546351084813,0.0039447731755424065,0.0019723865877712033,0.0019723865877712033,0.007889546351084813,0.013806706114398421,0.0019723865877712033,0.007889546351084813,0.0039447731755424065,0.0,0.021696252465483234,0.0,0.0019723865877712033,0.0,0.009861932938856016,0.0,0.0039447731755424065,0.0019723865877712033,0.0039447731755424065,0.0,0.015779092702169626,0.007889546351084813,0.0,0.027613412228796843,0.0019723865877712033,0.021696252465483234,0.0039447731755424065,0.0,0.0039447731755424065,0.0,0.0,0.0019723865877712033,0.0,0.0,0.0019723865877712033,0.0,0.009861932938856016,0.0039447731755424065,0.0,0.007889546351084813,0.0,0.009861932938856016,0.0039447731755424065,0.0039447731755424065,0.01972386587771203,0.011834319526627219,0.0019723865877712033,0.015779092702169626,0.005917159763313609,0.0019723865877712033,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0039447731755424065,0.0,0.005917159763313609,0.0,0.0019723865877712033,0.0,0.0,0.0,0.0,253.5
alice,0.0,0.007537688442211055,0.008040201005025126,0.0,0.001507537688442211,0.0035175879396984926,0.001507537688442211,0.006030150753768844,0.009045226130653266,0.0020100502512562816,0.0035175879396984926,0.007035175879396985,0.005025125628140704,0.017587939698492462,0.007537688442211055,0.0,0.0010050251256281408,0.0,0.011557788944723618,0.01306532663316583,0.021105527638190954,0.0,0.0005025125628140704,0.0020100502512562816,0.021105527638190954,0.04170854271356784,0.001507537688442211,0.0,0.01306532663316583,0.022613065326633167,0.0035175879396984926,0.0010050251256281408,0.001507537688442211,0.010552763819095477,0.004522613065326633,0.0010050251256281408,0.020100502512562814,0.0,0.020100502512562814,0.016582914572864323,0.005025125628140704,0.005025125628140704,0.001507537688442211,0.022110552763819097,0.0,0.0,0.021105527638190954,0.009547738693467337,0.005527638190954774,0.0010050251256281408,0.004522613065326633,0.022110552763819097,0.0010050251256281408,0.027135678391959798,0.021105527638190954,0.004522613065326633,0.007035175879396985,0.007035175879396985,0.01507537688442211,0.0020100502512562816,0.008542713567839196,0.016582914572864323,0.01507537688442211,0.006030150753768844,0.022613065326633167,0.0035175879396984926,0.0020100502512562816,0.020100502512562814,0.0,0.002512562814070352,0.001507537688442211,0.013567839195979899,0.004522613065326633,0.001507537688442211,0.006030150753768844,0.003015075376884422,0.0,0.017587939698492462,0.022110552763819097,0.0005025125628140704,0.011557788944723618,0.0035175879396984926,0.008040201005025126,0.022110552763819097,0.0010050251256281408,0.005025125628140704,0.01507537688442211,0.002512562814070352,0.005025125628140704,0.008542713567839196,0.003015075376884422,0.0020100502512562816,0.0035175879396984926,0.023115577889447236,0.016582914572864323,0.006532663316582915,0.031155778894472363,0.006532663316582915,0.023115577889447236,0.010050251256281407,0.020100502512562814,0.022613065326633167,0.030653266331658293,0.008040201005025126,0.01256281407035176,0.005025125628140704,0.002512562814070352,0.0005025125628140704,0.0,0.010050251256281407,0.004020100502512563,0.0005025125628140704,0.0,0.005025125628140704,0.0010050251256281408,0.0010050251256281408,0.0035175879396984926,0.0035175879396984926,0.0,0.0035175879396984926,0.0,0.0,0.0,995.0
nana,0.0,0.009689922480620155,0.001937984496124031,0.005813953488372093,0.0,0.007751937984496124,0.0,0.0,0.013565891472868217,0.001937984496124031,0.0,0.03294573643410853,0.009689922480620155,0.009689922480620155,0.0,0.0,0.003875968992248062,0.0,0.04263565891472868,0.003875968992248062,0.009689922480620155,0.0,0.001937984496124031,0.003875968992248062,0.0,0.027131782945736434,0.0,0.001937984496124031,0.01937984496124031,0.001937984496124031,0.0,0.003875968992248062,0.0,0.005813953488372093,0.007751937984496124,0.0,0.013565891472868217,0.001937984496124031,0.003875968992248062,0.029069767441860465,0.0,0.001937984496124031,0.001937984496124031,0.029069767441860465,0.0,0.0,0.007751937984496124,0.011627906976744186,0.003875968992248062,0.0,0.003875968992248062,0.003875968992248062,0.0,0.02131782945736434,0.0,0.001937984496124031,0.007751937984496124,0.02131782945736434,0.040697674418604654,0.0,0.0,0.013565891472868217,0.001937984496124031,0.0,0.05232558139534884,0.0,0.0,0.015503875968992248,0.0,0.0,0.007751937984496124,0.029069767441860465,0.015503875968992248,0.0,0.0,0.0,0.001937984496124031,0.01937984496124031,0.01937984496124031,0.02131782945736434,0.01744186046511628,0.01744186046511628,0.02131782945736434,0.02131782945736434,0.005813953488372093,0.003875968992248062,0.015503875968992248,0.011627906976744186,0.011627906976744186,0.02131782945736434,0.003875968992248062,0.01937984496124031,0.001937984496124031,0.005813953488372093,0.007751937984496124,0.0,0.007751937984496124,0.009689922480620155,0.005813953488372093,0.02131782945736434,0.0,0.01937984496124031,0.009689922480620155,0.001937984496124031,0.009689922480620155,0.003875968992248062,0.005813953488372093,0.0,0.0,0.0,0.001937984496124031,0.0,0.0,0.001937984496124031,0.0,0.0,0.025193798449612403,0.001937984496124031,0.0,0.023255813953488372,0.003875968992248062,0.007751937984496124,0.023255813953488372,258.0
tigreal,0.0,0.0,0.0035460992907801418,0.012411347517730497,0.0070921985815602835,0.0,0.0,0.0017730496453900709,0.010638297872340425,0.0,0.0070921985815602835,0.03900709219858156,0.0035460992907801418,0.0,0.0035460992907801418,0.0017730496453900709,0.005319148936170213,0.0017730496453900709,0.0017730496453900709,0.0017730496453900709,0.015957446808510637,0.0017730496453900709,0.005319148936170213,0.0,0.01773049645390071,0.0070921985815602835,0.0017730496453900709,0.0,0.02304964539007092,0.01773049645390071,0.0,0.0,0.0,0.0,0.0,0.0,0.012411347517730497,0.008865248226950355,0.01950354609929078,0.02127659574468085,0.0035460992907801418,0.0017730496453900709,0.005319148936170213,0.0,0.0,0.0035460992907801418,0.012411347517730497,0.0017730496453900709,0.0,0.0017730496453900709,0.0017730496453900709,0.02127659574468085,0.0,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.0035460992907801418,0.012411347517730497,0.0,0.0070921985815602835,0.010638297872340425,0.012411347517730497,0.0017730496453900709,0.03723404255319149,0.0,0.015957446808510637,0.03900709219858156,0.0017730496453900709,0.0017730496453900709,0.012411347517730497,0.01950354609929078,0.02127659574468085,0.0017730496453900709,0.0,0.014184397163120567,0.0,0.0017730496453900709,0.010638297872340425,0.02127659574468085,0.014184397163120567,0.024822695035460994,0.03546099290780142,0.005319148936170213,0.005319148936170213,0.02127659574468085,0.008865248226950355,0.0,0.010638297872340425,0.0017730496453900709,0.0035460992907801418,0.0,0.0,0.0035460992907801418,0.026595744680851064,0.0035460992907801418,0.028368794326241134,0.008865248226950355,0.014184397163120567,0.02127659574468085,0.0035460992907801418,0.0017730496453900709,0.02127659574468085,0.0017730496453900709,0.012411347517730497,0.005319148936170213,0.012411347517730497,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0017730496453900709,0.0017730496453900709,0.024822695035460994,0.008865248226950355,0.015957446808510637,0.010638297872340425,0.005319148936170213,0.012411347517730497,0.010638297872340425,282.0
alucard,0.0,0.015151515151515152,0.0,0.022727272727272728,0.0,0.0,0.0,0.007575757575757576,0.015151515151515152,0.0,0.0,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.007575757575757576,0.015151515151515152,0.05303030303030303,0.0,0.007575757575757576,0.030303030303030304,0.0,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.030303030303030304,0.0,0.0,0.06818181818181818,0.007575757575757576,0.030303030303030304,0.015151515151515152,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.0,0.03787878787878788,0.0,0.0,0.0,0.007575757575757576,0.007575757575757576,0.0,0.007575757575757576,0.0,0.007575757575757576,0.0,0.0,0.015151515151515152,0.045454545454545456,0.007575757575757576,0.0,0.03787878787878788,0.007575757575757576,0.03787878787878788,0.007575757575757576,0.015151515151515152,0.045454545454545456,0.022727272727272728,0.007575757575757576,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.0,0.0,0.022727272727272728,0.007575757575757576,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,66.0
karina,0.0,0.002566735112936345,0.003593429158110883,0.006160164271047228,0.0,0.000513347022587269,0.000513347022587269,0.0,0.006673511293634497,0.022587268993839837,0.0,0.006160164271047228,0.02002053388090349,0.008213552361396304,0.002566735112936345,0.0,0.000513347022587269,0.0,0.002566735112936345,0.022587268993839837,0.001026694045174538,0.0,0.0,0.01026694045174538,0.01591375770020534,0.025154004106776182,0.0,0.0,0.025154004106776182,0.0,0.00513347022587269,0.000513347022587269,0.000513347022587269,0.003593429158110883,0.014373716632443531,0.001540041067761807,0.01026694045174538,0.0,0.000513347022587269,0.019507186858316223,0.003080082135523614,0.002566735112936345,0.011806981519507187,0.030800821355236138,0.0,0.0,0.0,0.0077002053388090345,0.002053388090349076,0.000513347022587269,0.000513347022587269,0.027720739219712527,0.002053388090349076,0.004620123203285421,0.011293634496919919,0.000513347022587269,0.001540041067761807,0.001540041067761807,0.018993839835728953,0.0,0.001540041067761807,0.006160164271047228,0.004620123203285421,0.001540041067761807,0.029774127310061602,0.001026694045174538,0.0,0.012833675564681724,0.0,0.001026694045174538,0.001540041067761807,0.008726899383983572,0.000513347022587269,0.001026694045174538,0.008726899383983572,0.01591375770020534,0.0,0.016940451745379878,0.0,0.000513347022587269,0.04568788501026694,0.001026694045174538,0.003080082135523614,0.000513347022587269,0.022587268993839837,0.033880903490759756,0.006673511293634497,0.018480492813141684,0.017967145790554414,0.000513347022587269,0.023100616016427104,0.0,0.014373716632443531,0.014373716632443531,0.022073921971252568,0.004106776180698152,0.008213552361396304,0.001540041067761807,0.004106776180698152,0.03747433264887064,0.043121149897330596,0.024640657084188913,0.025154004106776182,0.01642710472279261,0.048254620123203286,0.005646817248459959,0.001540041067761807,0.0,0.0,0.02053388090349076,0.002566735112936345,0.001540041067761807,0.0,0.017453798767967144,0.02053388090349076,0.002566735112936345,0.007186858316221766,0.000513347022587269,0.0,0.004106776180698152,0.0,0.0,0.0,974.0
akai,0.0006150061500615006,0.0012300123001230013,0.004305043050430504,0.0036900369003690036,0.0014350143501435015,0.0012300123001230013,0.0004100041000410004,0.0026650266502665026,0.0,0.013530135301353014,0.0006150061500615006,0.01107011070110701,0.007995079950799507,0.00984009840098401,0.0006150061500615006,0.0012300123001230013,0.003075030750307503,0.0,0.008610086100861008,0.013120131201312012,0.014145141451414513,0.0002050020500205002,0.0016400164001640015,0.004100041000410004,0.011890118901189012,0.027265272652726526,0.0006150061500615006,0.0012300123001230013,0.00922509225092251,0.004100041000410004,0.004100041000410004,0.0018450184501845018,0.002050020500205002,0.006765067650676507,0.004100041000410004,0.0014350143501435015,0.017630176301763018,0.0018450184501845018,0.0014350143501435015,0.035465354653546534,0.0018450184501845018,0.006355063550635506,0.016400164001640016,0.026445264452644526,0.0,0.0002050020500205002,0.00984009840098401,0.011480114801148012,0.004305043050430504,0.0004100041000410004,0.007175071750717507,0.026445264452644526,0.002870028700287003,0.004100041000410004,0.005945059450594506,0.00943009430094301,0.004100041000410004,0.006150061500615006,0.014555145551455515,0.0008200082000820008,0.003280032800328003,0.02234522345223452,0.013120131201312012,0.001025010250102501,0.039155391553915536,0.0004100041000410004,0.010865108651086511,0.01947519475194752,0.0002050020500205002,0.0014350143501435015,0.012095120951209511,0.013735137351373513,0.013940139401394014,0.002050020500205002,0.014350143501435014,0.012915129151291513,0.0012300123001230013,0.012710127101271012,0.005945059450594506,0.0034850348503485036,0.025215252152521524,0.02234522345223452,0.01025010250102501,0.006560065600656006,0.006355063550635506,0.01845018450184502,0.0016400164001640015,0.0036900369003690036,0.013530135301353014,0.001025010250102501,0.01107011070110701,0.0012300123001230013,0.0034850348503485036,0.0036900369003690036,0.017015170151701516,0.0014350143501435015,0.01066010660106601,0.004100041000410004,0.003895038950389504,0.019065190651906518,0.023985239852398525,0.014760147601476014,0.02152521525215252,0.008405084050840509,0.02993029930299303,0.006150061500615006,0.0018450184501845018,0.0002050020500205002,0.0004100041000410004,0.03690036900369004,0.008405084050840509,0.0024600246002460025,0.0006150061500615006,0.011275112751127511,0.005945059450594506,0.003895038950389504,0.006150061500615006,0.008405084050840509,0.008405084050840509,0.011890118901189012,0.002870028700287003,0.0002050020500205002,0.0016400164001640015,2439.0
franco,0.00032690421706440013,0.004576659038901602,0.0009807126511932004,0.0013076168682576005,0.00032690421706440013,0.0,0.0,0.014383785550833606,0.02157567832625041,0.0,0.005230467473030402,0.009807126511932003,0.011114743380189604,0.00032690421706440013,0.002288329519450801,0.0,0.011441647597254004,0.0,0.0006538084341288003,0.0009807126511932004,0.013729977116704805,0.00032690421706440013,0.002942137953579601,0.0016345210853220007,0.013729977116704805,0.012095456031382805,0.0,0.0016345210853220007,0.003922850604772802,0.0016345210853220007,0.004249754821837201,0.0,0.0006538084341288003,0.0009807126511932004,0.00032690421706440013,0.0006538084341288003,0.015364498202026806,0.0,0.002288329519450801,0.03236351748937561,0.00032690421706440013,0.002615233736515201,0.013403072899640406,0.011114743380189604,0.0,0.00032690421706440013,0.02517162471395881,0.0006538084341288003,0.0013076168682576005,0.0,0.005230467473030402,0.02876757110166721,0.004249754821837201,0.0016345210853220007,0.002615233736515201,0.002615233736515201,0.0009807126511932004,0.02451781627983001,0.014383785550833606,0.00032690421706440013,0.0016345210853220007,0.0016345210853220007,0.005884275907159202,0.0,0.019614253023864006,0.002288329519450801,0.002615233736515201,0.017325923504413206,0.00032690421706440013,0.00032690421706440013,0.004576659038901602,0.012422360248447204,0.005884275907159202,0.002942137953579601,0.016018306636155607,0.016672115070284408,0.0006538084341288003,0.001961425302386401,0.0049035632559660015,0.002288329519450801,0.03170970905524681,0.022229486760379207,0.008499509643674403,0.014383785550833606,0.010787839163125205,0.016018306636155607,0.017652827721477606,0.006864988558352402,0.017652827721477606,0.0006538084341288003,0.012749264465511605,0.0009807126511932004,0.0,0.007845701209545603,0.018306636155606407,0.0006538084341288003,0.012422360248447204,0.0032690421706440013,0.003922850604772802,0.034324942791762014,0.03236351748937561,0.002288329519450801,0.029421379535796013,0.016345210853220007,0.05916966328865642,0.0032690421706440013,0.0009807126511932004,0.0013076168682576005,0.0013076168682576005,0.04151683556717882,0.011768551814318405,0.0,0.0013076168682576005,0.009807126511932003,0.011114743380189604,0.004576659038901602,0.04543968617195162,0.010787839163125205,0.010787839163125205,0.010460934946060804,0.0006538084341288003,0.00032690421706440013,0.0,1529.5
